Date & Time,First posts,Inactivity,Questions,Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2008-07-18 10:00:00,0.0,408.0,0.0,2.0,0.9199999999999999,1.0,5.5
2008-07-18 15:00:00,0.0,4.0,0.0,7.0,-0.04642857142857142,0.4928571428571428,13.714285714285714
2008-07-31 15:00:00,0.0,311.0,0.0,4.0,0.0,0.175,13.0
2008-09-03 09:00:00,0.0,809.0,0.2,2.5,0.13666666666666666,0.29333333333333333,7.6
2008-09-04 16:00:00,0.0,30.0,0.0,1.0,0.7,1.0,5.0
2008-09-07 12:00:00,0.0,67.0,0.0,2.0,0.0,0.0,8.0
2008-09-07 19:00:00,0.0,6.0,0.0,1.0,0.55,0.9,7.0
2008-09-08 12:00:00,0.0,16.0,0.0,2.0,0.0,0.0,8.0
2008-09-11 18:00:00,0.0,77.0,0.0,3.0,0.08333333333333333,0.11666666666666665,13.666666666666666
2008-09-17 13:00:00,0.0,138.0,0.0,2.0,0.1,0.525,16.0
2008-09-17 19:00:00,0.0,5.0,0.0,13.0,0.09839743589743591,0.4771794871794872,15.615384615384615
2008-09-22 11:00:00,0.0,111.0,0.3333333333333333,3.0,-0.16666666666666666,0.3,5.0
2008-09-26 14:00:00,0.0,98.0,0.0,4.0,0.024999999999999994,0.4666666666666667,7.75
2008-09-29 14:00:00,0.0,71.0,0.0,1.0,0.13333333333333333,0.5666666666666668,9.0
2008-10-05 21:00:00,0.0,150.0,0.0,4.0,-0.12666666666666668,0.3916666666666667,17.25
2008-10-06 09:00:00,0.0,11.0,0.0,5.0,0.04,0.08,8.4
2008-10-06 10:00:00,0.0,0.0,0.0,5.0,0.185,0.43,10.8
2008-10-16 16:00:00,0.0,245.0,0.0,2.0,0.0,0.0,12.5
2008-10-20 12:00:00,0.0,91.0,0.0,3.0,0.12333333333333334,0.5083333333333333,13.0
2008-10-21 12:00:00,0.0,23.0,0.0,3.0,0.0,0.03333333333333333,14.0
2008-10-23 20:00:00,0.0,55.0,0.0,2.0,0.275,0.42500000000000004,10.0
2008-10-27 13:00:00,0.0,88.0,0.0,8.0,0.36354166666666665,0.7718750000000001,11.625
2008-10-29 10:00:00,0.0,44.0,0.0,1.0,0.0,0.0,11.0
2008-11-06 20:00:00,0.0,201.0,0.0,3.0,-0.016666666666666666,0.06666666666666667,8.666666666666666
2008-11-07 10:00:00,0.0,13.0,0.0,4.0,0.275,0.4375,13.25
2008-11-12 10:00:00,0.0,119.0,0.0,2.0,0.0,0.0,6.5
2008-11-12 11:00:00,0.0,0.0,0.0,2.0,-0.32499999999999996,0.45,16.0
2008-11-20 13:00:00,0.0,193.0,0.0,1.0,0.0,0.0,24.0
2008-11-21 22:00:00,0.0,32.0,0.0,1.0,0.10833333333333332,0.26666666666666666,8.666666666666666
2008-11-24 18:00:00,0.0,67.0,0.0,2.0,0.33749999999999997,0.4875,14.0
2008-11-26 10:00:00,0.0,39.0,0.0,3.0,0.22083333333333335,0.5527777777777778,10.333333333333334
2008-12-01 20:00:00,0.0,129.0,0.0,2.0,-0.025,0.1,9.0
2008-12-03 10:00:00,0.0,37.0,0.0,2.0,-0.15625,0.8125,15.0
2008-12-11 11:00:00,0.0,192.0,0.0,2.0,0.05555555555555556,0.20555555555555557,21.0
2008-12-11 21:00:00,0.0,9.0,0.0,4.0,0.025000000000000022,0.4,11.0
2008-12-11 22:00:00,0.0,0.0,0.0,3.0,0.18333333333333335,0.3,11.0
2008-12-12 20:00:00,0.0,21.0,0.0,3.0,0.18333333333333335,0.3,11.666666666666666
2008-12-15 12:00:00,0.0,63.0,0.5,2.0,0.07500000000000001,0.225,12.0
2008-12-28 10:00:00,0.0,309.0,0.0,2.0,0.85,1.0,5.0
2008-12-28 17:00:00,0.0,6.0,1.0,2.0,0.0,0.0,8.5
2008-12-31 00:00:00,0.0,54.0,0.0,3.0,0.47666666666666674,0.6833333333333332,11.0
2009-01-03 00:00:00,0.0,71.0,0.0,2.0,0.275,0.475,17.5
2009-01-03 16:00:00,0.0,15.0,0.0,2.0,0.0,0.0,7.0
2009-01-04 16:00:00,0.0,23.0,0.0,4.0,0.1340277777777778,0.5180555555555556,12.0
2009-01-08 09:00:00,0.0,88.0,0.0,9.0,-0.04166666666666666,0.3685185185185185,8.555555555555555
2009-01-12 12:00:00,0.0,98.0,0.0,6.0,0.1125,0.5388888888888889,16.0
