Date & Time,Churn in 3m,Churn in 6m,Churn in y,First posts,Inactivity,Posts in last 24H,Questions,Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2009-02-04 04:00:00,0,0,0,0.0,1617,0,0.2857142857142857,7.0,-0.08095238095238093,0.7,19.571428571428573
2009-02-17 04:00:00,0,0,0,0.0,12,1,0.09090909090909091,5.5,0.04284343434343435,0.42898989898989903,22.363636363636363
2009-04-10 04:00:00,0,0,0,0.0,51,0,0.55,20.0,0.030645833333333344,0.30854166666666666,11.0
2009-06-04 04:00:00,0,0,0,0.0,54,0,0.0,2.0,0.0,0.4,4.5
2009-07-10 04:00:00,0,0,0,0.0,35,0,0.26666666666666666,15.0,-0.034768518518518504,0.4444027777777777,25.466666666666665
2009-07-29 04:00:00,0,0,0,0.0,18,1,0.16666666666666666,12.0,0.009409722222222217,0.14842592592592593,23.75
2009-08-20 04:00:00,0,0,0,0.0,21,1,0.3333333333333333,6.0,-0.012500000000000002,0.15,12.5
2009-09-22 04:00:00,0,0,0,0.0,32,0,0.0,9.0,0.03333333333333333,0.2759259259259259,8.666666666666666
2009-09-25 04:00:00,0,0,0,0.0,2,1,0.2,5.0,-0.16555555555555557,0.2444444444444444,11.2
2009-11-05 04:00:00,0,0,1,0.0,40,0,0.2,15.0,0.06474074074074074,0.255,16.866666666666667
2010-02-15 04:00:00,0,0,1,0.5,101,0,0.2,12.5,-0.03156666666666667,0.46001666666666663,22.8
2010-02-16 04:00:00,0,0,1,0.0,0,2,0.1,4.5,-0.008346296296296291,0.4118129629629629,29.7
2010-03-14 04:00:00,0,0,1,0.3333333333333333,25,0,0.04411764705882353,22.666666666666668,0.05953022875816993,0.3589910130718954,18.352941176470587
2010-03-18 04:00:00,0,0,1,0.0,3,3,0.1,10.0,0.055694444444444435,0.29416666666666663,19.3
2010-03-19 04:00:00,0,0,1,0.0,0,4,0.2,2.5,0.005000000000000003,0.2816666666666666,9.2
2010-03-29 04:00:00,0,0,1,0.0,9,6,0.07142857142857142,14.0,0.0035714285714285704,0.10714285714285714,10.5
2010-03-30 04:00:00,0,0,1,0.0,0,7,0.0,7.0,-0.06428571428571428,0.26071428571428573,17.428571428571427
2010-04-01 04:00:00,0,0,1,0.0,1,8,0.09090909090909091,5.5,0.0984848484848485,0.24242424242424246,9.272727272727273
2010-06-03 04:00:00,0,1,1,0.0,62,0,0.0,9.0,0.0851851851851852,0.1925925925925926,6.888888888888889
2010-06-04 04:00:00,0,1,1,0.0,0,1,0.4,5.0,-0.006666666666666665,0.4866666666666667,17.0
2010-06-09 04:00:00,0,1,1,0.0,4,2,0.0,1.0,0.05,0.45,9.0
2010-06-18 04:00:00,0,1,1,0.0,8,3,0.0,2.0,-0.0958333333333333,0.6958333333333333,33.5
2010-06-28 04:00:00,0,1,1,0.0,9,3,0.0,6.0,0.1361111111111111,0.33055555555555555,16.666666666666668
2010-07-18 04:00:00,1,1,1,0.0,19,1,0.75,4.0,-0.14027777777777778,0.2777777777777778,18.5
2010-07-19 04:00:00,1,1,1,0.0,0,2,0.0,1.0,0.23333333333333334,0.8,52.0
2010-09-19 04:00:00,1,1,1,0.0,61,0,0.0,9.0,-0.015277777777777776,0.21944444444444444,17.444444444444443
