B/U;dependent;independent;AUC;eta;depth;f1
B;0;((3, 11),);0.566944444444;0.1;4;0.490909090909
B;0;((3, 11),);0.547767434741;0.1;4;0.0110837438424
B;0;((13, 14),);0.644305555556;0.2;8;0.451612903226
B;0;((13, 14),);0.603506428452;0.05;4;0.0158910329171
B;0;((6, 7),);0.532083333333;0.05;4;0.149253731343
B;0;((6, 7),);0.524947821005;0.05;4;0.0136612021858
B;0;((9, 10, 12),);0.665833333333;0.05;4;0.515463917526
B;0;((9, 10, 12),);0.660908192798;0.2;4;0.0220458553792
B;0;((4, 5, 8),);0.531666666667;0.2;8;0.149253731343
B;0;((4, 5, 8),);0.504730199811;0.1;8;0.0109589041096
B;0;((3, 11), (13, 14));0.650694444444;0.05;4;0.581196581197
B;0;((3, 11), (13, 14));0.647612984917;0.05;4;0.0152159319758
B;0;((3, 11), (6, 7));0.53625;0.05;4;0.468468468468
B;0;((3, 11), (6, 7));0.529362163967;0.05;4;0.0108832147342
B;0;((3, 11), (9, 10, 12));0.610694444444;0.05;4;0.551724137931
B;0;((3, 11), (9, 10, 12));0.631658735459;0.05;4;0.0146587265231
B;0;((3, 11), (4, 5, 8));0.535694444444;0.1;4;0.425925925926
B;0;((3, 11), (4, 5, 8));0.533213669505;0.05;6;0.0102207686018
B;0;((13, 14), (6, 7));0.655138888889;0.1;8;0.5
B;0;((13, 14), (6, 7));0.627935242389;0.1;8;0.018440261237
B;0;((13, 14), (9, 10, 12));0.7125;0.05;8;0.537634408602
B;0;((13, 14), (9, 10, 12));0.677674347415;0.05;4;0.0235183443086
B;0;((13, 14), (4, 5, 8));0.662916666667;0.2;6;0.515463917526
B;0;((13, 14), (4, 5, 8));0.648776228641;0.2;6;0.0193124758594
B;0;((6, 7), (9, 10, 12));0.661388888889;0.05;4;0.461538461538
B;0;((6, 7), (9, 10, 12));0.624683447431;0.1;4;0.0187313750532
B;0;((6, 7), (4, 5, 8));0.468055555556;0.05;4;0.0615384615385
B;0;((6, 7), (4, 5, 8));0.480462792898;0.1;4;0.00633914421553
B;0;((9, 10, 12), (4, 5, 8));0.6625;0.1;8;0.466666666667
B;0;((9, 10, 12), (4, 5, 8));0.615982078255;0.1;8;0.0176396472071
B;0;((3, 11), (13, 14), (6, 7));0.644444444444;0.05;4;0.598290598291
B;0;((3, 11), (13, 14), (6, 7));0.649248622475;0.05;6;0.0158838211936
B;0;((3, 11), (13, 14), (9, 10, 12));0.662777777778;0.05;4;0.578512396694
B;0;((3, 11), (13, 14), (9, 10, 12));0.673784577281;0.05;4;0.015923566879
B;0;((3, 11), (13, 14), (4, 5, 8));0.636111111111;0.05;4;0.576271186441
B;0;((3, 11), (13, 14), (4, 5, 8));0.648582122781;0.05;4;0.0154545454545
B;0;((3, 11), (6, 7), (9, 10, 12));0.606805555556;0.05;4;0.539130434783
B;0;((3, 11), (6, 7), (9, 10, 12));0.616777981856;0.05;4;0.0141843971631
B;0;((3, 11), (6, 7), (4, 5, 8));0.532361111111;0.2;6;0.407766990291
B;0;((3, 11), (6, 7), (4, 5, 8));0.528031251739;0.2;4;0.0103181427343
B;0;((3, 11), (9, 10, 12), (4, 5, 8));0.600138888889;0.05;8;0.522522522523
B;0;((3, 11), (9, 10, 12), (4, 5, 8));0.610017671286;0.05;8;0.013398013398
B;0;((13, 14), (6, 7), (9, 10, 12));0.685833333333;0.1;8;0.494382022472
B;0;((13, 14), (6, 7), (9, 10, 12));0.645435381533;0.1;4;0.0210224558051
B;0;((13, 14), (6, 7), (4, 5, 8));0.668611111111;0.1;6;0.515463917526
B;0;((13, 14), (6, 7), (4, 5, 8));0.633576139589;0.2;4;0.017617770969
B;0;((13, 14), (9, 10, 12), (4, 5, 8));0.684722222222;0.05;8;0.516129032258
B;0;((13, 14), (9, 10, 12), (4, 5, 8));0.646808732677;0.2;6;0.0212457749879
B;0;((6, 7), (9, 10, 12), (4, 5, 8));0.677222222222;0.2;8;0.488888888889
B;0;((6, 7), (9, 10, 12), (4, 5, 8));0.619931680303;0.05;6;0.0180475799836
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.657916666667;0.05;8;0.589285714286
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.658912868036;0.05;8;0.0157480314961
B;0;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.639166666667;0.05;4;0.6
B;0;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.64919157344;0.05;4;0.0160499331253
B;0;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.655833333333;0.05;4;0.559322033898
B;0;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.662987003952;0.05;4;0.0153488372093
B;0;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.594861111111;0.05;6;0.526315789474
B;0;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.608541353593;0.05;6;0.0135777325187
B;0;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.691111111111;0.2;8;0.5
B;0;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.640739967719;0.1;6;0.0195621797857
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.648194444444;0.05;8;0.603448275862
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.655681248956;0.05;8;0.0158586316266
B;1;((3, 11),);0.522368;0.05;8;0.528735632184
B;1;((3, 11),);0.560912952237;0.2;4;0.0232517174564
B;1;((13, 14),);0.628672;0.2;6;0.643533123028
B;1;((13, 14),);0.626370183833;0.1;6;0.0243989953355
B;1;((6, 7),);0.507136;0.1;6;0.0610687022901
B;1;((6, 7),);0.495340552338;0.1;6;0.0126984126984
B;1;((9, 10, 12),);0.671232;0.1;8;0.673015873016
B;1;((9, 10, 12),);0.641783933518;0.2;4;0.0251541903495
B;1;((4, 5, 8),);0.468896;0.05;4;0.030303030303
B;1;((4, 5, 8),);0.474665659364;0.05;4;0.00589101620029
B;1;((3, 11), (13, 14));0.611808;0.2;6;0.6015625
B;1;((3, 11), (13, 14));0.642137496852;0.05;8;0.031077489266
B;1;((3, 11), (6, 7));0.520512;0.05;4;0.509803921569
B;1;((3, 11), (6, 7));0.561301771174;0.05;4;0.0259844093544
B;1;((3, 11), (9, 10, 12));0.633312;0.05;6;0.613026819923
B;1;((3, 11), (9, 10, 12));0.658842608915;0.05;6;0.0328542094456
B;1;((3, 11), (4, 5, 8));0.5048;0.05;8;0.503875968992
B;1;((3, 11), (4, 5, 8));0.55529455217;0.05;8;0.0237399561724
B;1;((13, 14), (6, 7));0.645632;0.1;6;0.6625
B;1;((13, 14), (6, 7));0.645941408545;0.05;6;0.0255065554231
B;1;((13, 14), (9, 10, 12));0.6928;0.05;8;0.67731629393
B;1;((13, 14), (9, 10, 12));0.673955846554;0.1;8;0.026189005559
B;1;((13, 14), (4, 5, 8));0.641344;0.05;8;0.654088050314
B;1;((13, 14), (4, 5, 8));0.637519348611;0.05;8;0.0249759846302
B;1;((6, 7), (9, 10, 12));0.66528;0.05;6;0.668810289389
B;1;((6, 7), (9, 10, 12));0.645581465626;0.05;6;0.0254061316722
B;1;((6, 7), (4, 5, 8));0.485088;0.1;8;0.0597014925373
B;1;((6, 7), (4, 5, 8));0.487768991858;0.05;4;0.0112517580872
B;1;((9, 10, 12), (4, 5, 8));0.652224;0.05;4;0.662295081967
B;1;((9, 10, 12), (4, 5, 8));0.638077394443;0.2;6;0.0249101796407
B;1;((3, 11), (13, 14), (6, 7));0.62064;0.1;4;0.576
B;1;((3, 11), (13, 14), (6, 7));0.632352220264;0.05;4;0.0305927342256
B;1;((3, 11), (13, 14), (9, 10, 12));0.676736;0.05;8;0.631178707224
B;1;((3, 11), (13, 14), (9, 10, 12));0.686608243096;0.05;8;0.0345329727481
B;1;((3, 11), (13, 14), (4, 5, 8));0.629344;0.1;4;0.615384615385
B;1;((3, 11), (13, 14), (4, 5, 8));0.638756652397;0.05;6;0.0303925707049
B;1;((3, 11), (6, 7), (9, 10, 12));0.612352;0.1;4;0.57358490566
B;1;((3, 11), (6, 7), (9, 10, 12));0.649993788298;0.05;6;0.0322841000807
B;1;((3, 11), (6, 7), (4, 5, 8));0.507968;0.05;4;0.494023904382
B;1;((3, 11), (6, 7), (4, 5, 8));0.556970032737;0.2;4;0.0231729055258
B;1;((3, 11), (9, 10, 12), (4, 5, 8));0.613024;0.05;4;0.563492063492
B;1;((3, 11), (9, 10, 12), (4, 5, 8));0.645741626794;0.05;4;0.0319316393074
B;1;((13, 14), (6, 7), (9, 10, 12));0.692224;0.05;4;0.690095846645
B;1;((13, 14), (6, 7), (9, 10, 12));0.668605389071;0.05;8;0.0260352095214
B;1;((13, 14), (6, 7), (4, 5, 8));0.638528;0.1;6;0.658307210031
B;1;((13, 14), (6, 7), (4, 5, 8));0.636220935113;0.05;6;0.0250566758143
B;1;((13, 14), (9, 10, 12), (4, 5, 8));0.69472;0.2;8;0.681672025723
B;1;((13, 14), (9, 10, 12), (4, 5, 8));0.672936120205;0.2;8;0.026457007363
B;1;((6, 7), (9, 10, 12), (4, 5, 8));0.674048;0.1;8;0.675241157556
B;1;((6, 7), (9, 10, 12), (4, 5, 8));0.645751028288;0.2;8;0.0251979841613
B;1;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.674048;0.05;8;0.612403100775
B;1;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.684748426089;0.05;6;0.0340664079345
B;1;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.626656;0.05;8;0.599221789883
B;1;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.639769327625;0.05;6;0.0315406389001
B;1;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.666816;0.1;4;0.64367816092
B;1;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.682631075296;0.05;8;0.0335264900662
B;1;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.61536;0.1;4;0.603053435115
B;1;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.65146310753;0.05;4;0.0346975088968
B;1;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.709824;0.1;6;0.679611650485
B;1;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.671668261563;0.1;6;0.0259804528022
B;1;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.66048;0.1;4;0.641221374046
B;1;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.67870192227;0.1;4;0.0365774003919
B;2;((3, 11),);0.52886505375;0.2;4;0.533333333333
B;2;((3, 11),);0.544176182776;0.05;4;0.0371261601925
B;2;((13, 14),);0.623662306778;0.2;4;0.661322645291
B;2;((13, 14),);0.613809752737;0.1;8;0.0387884592362
B;2;((6, 7),);0.495522822684;0.2;4;0.0807174887892
B;2;((6, 7),);0.501469091636;0.2;4;0.0251396648045
B;2;((9, 10, 12),);0.677279235119;0.05;8;0.689938398357
B;2;((9, 10, 12),);0.618769367806;0.05;4;0.0393102616665
B;2;((4, 5, 8),);0.500012133272;0.1;6;0.0810810810811
B;2;((4, 5, 8),);0.502460973026;0.05;8;0.0261437908497
B;2;((3, 11), (13, 14));0.604358271251;0.05;6;0.577777777778
B;2;((3, 11), (13, 14));0.615308396861;0.05;6;0.0459003530796
B;2;((3, 11), (6, 7));0.536229949768;0.05;4;0.517948717949
B;2;((3, 11), (6, 7));0.543818431179;0.05;6;0.0362116991643
B;2;((3, 11), (9, 10, 12));0.652090562741;0.05;8;0.60349127182
B;2;((3, 11), (9, 10, 12));0.632855290624;0.05;4;0.0473623411629
B;2;((3, 11), (4, 5, 8));0.533281564707;0.05;4;0.520408163265
B;2;((3, 11), (4, 5, 8));0.538400544432;0.05;4;0.0361509835194
B;2;((13, 14), (6, 7));0.602987211531;0.2;6;0.647887323944
B;2;((13, 14), (6, 7));0.609822872377;0.2;6;0.0385121396962
B;2;((13, 14), (9, 10, 12));0.626780557645;0.2;6;0.657314629259
B;2;((13, 14), (9, 10, 12));0.648231741453;0.05;6;0.0411400247831
B;2;((13, 14), (4, 5, 8));0.612475430124;0.2;6;0.645030425963
B;2;((13, 14), (4, 5, 8));0.605405399781;0.2;6;0.0382257482871
B;2;((6, 7), (9, 10, 12));0.638343565726;0.1;4;0.672131147541
B;2;((6, 7), (9, 10, 12));0.612136082963;0.1;4;0.0393946673072
B;2;((6, 7), (4, 5, 8));0.509342619331;0.2;8;0.0900900900901
B;2;((6, 7), (4, 5, 8));0.507050765763;0.2;8;0.028328611898
B;2;((9, 10, 12), (4, 5, 8));0.652976291587;0.05;4;0.673469387755
B;2;((9, 10, 12), (4, 5, 8));0.626749996358;0.05;4;0.0398936170213
B;2;((3, 11), (13, 14), (6, 7));0.627945351744;0.05;4;0.610421836228
B;2;((3, 11), (13, 14), (6, 7));0.630087970681;0.05;4;0.0481220657277
B;2;((3, 11), (13, 14), (9, 10, 12));0.662561576355;0.05;8;0.601466992665
B;2;((3, 11), (13, 14), (9, 10, 12));0.662243783051;0.05;8;0.0486358244365
B;2;((3, 11), (13, 14), (4, 5, 8));0.615472348273;0.05;6;0.591478696742
B;2;((3, 11), (13, 14), (4, 5, 8));0.619919833674;0.1;6;0.0456126787785
B;2;((3, 11), (6, 7), (9, 10, 12));0.636681307481;0.05;8;0.593516209476
B;2;((3, 11), (6, 7), (9, 10, 12));0.634264236703;0.05;8;0.0455502392344
B;2;((3, 11), (6, 7), (4, 5, 8));0.527214928778;0.05;4;0.522167487685
B;2;((3, 11), (6, 7), (4, 5, 8));0.543230503162;0.05;4;0.0365139510851
B;2;((3, 11), (9, 10, 12), (4, 5, 8));0.638197966464;0.1;6;0.5960591133
B;2;((3, 11), (9, 10, 12), (4, 5, 8));0.638815736075;0.1;8;0.0464761904762
B;2;((13, 14), (6, 7), (9, 10, 12));0.636074643888;0.1;8;0.655804480652
B;2;((13, 14), (6, 7), (9, 10, 12));0.633766839195;0.1;8;0.0396942800789
B;2;((13, 14), (6, 7), (4, 5, 8));0.610073042297;0.05;6;0.658682634731
B;2;((13, 14), (6, 7), (4, 5, 8));0.619535026982;0.2;8;0.0393387233016
B;2;((13, 14), (9, 10, 12), (4, 5, 8));0.621514717659;0.1;8;0.653306613226
B;2;((13, 14), (9, 10, 12), (4, 5, 8));0.63665715576;0.2;6;0.0400885391048
B;2;((6, 7), (9, 10, 12), (4, 5, 8));0.653146157393;0.2;4;0.676288659794
B;2;((6, 7), (9, 10, 12), (4, 5, 8));0.619864682904;0.05;4;0.0397016361886
B;2;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.659212793322;0.1;8;0.614285714286
B;2;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.663205487606;0.1;8;0.0504497457959
B;2;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.614780751778;0.05;4;0.595
B;2;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.623583509712;0.1;6;0.046162507037
B;2;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.666735421874;0.05;4;0.638613861386
B;2;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.659640042372;0.05;6;0.0511119781506
B;2;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.63614744352;0.05;8;0.608272506083
B;2;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.636683170274;0.05;8;0.0469836496899
B;2;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.643718605159;0.2;8;0.668
B;2;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.649865869166;0.05;6;0.0413089461242
B;2;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.664939697639;0.05;4;0.632352941176
B;2;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.653485424588;0.2;6;0.0493193923851
B;0;((3, 11),);0.50461361015;0.1;8;0.490196078431
B;0;((3, 11),);0.521556032107;0.05;6;0.0093023255814
B;0;((13, 14),);0.531718569781;0.05;4;0.621212121212
B;0;((13, 14),);0.599782934781;0.05;4;0.00971218761104
B;0;((6, 7),);0.498654363706;0.05;4;0.634482758621
B;0;((6, 7),);0.497744288339;0.05;4;0.00816906410939
B;0;((9, 10, 12),);0.537485582468;0.05;8;0.595041322314
B;0;((9, 10, 12),);0.532787153403;0.1;4;0.00892746435214
B;0;((4, 5, 8),);0.480776624375;0.2;8;0.639455782313
B;0;((4, 5, 8),);0.488413919;0.1;8;0.00831784797806
B;0;((3, 11), (13, 14));0.532103037293;0.05;6;0.555555555556
B;0;((3, 11), (13, 14));0.591820059967;0.05;8;0.01160831305
B;0;((3, 11), (6, 7));0.536716647443;0.05;4;0.509803921569
B;0;((3, 11), (6, 7));0.519382108395;0.05;6;0.00985781990521
B;0;((3, 11), (9, 10, 12));0.541906958862;0.2;8;0.549019607843
B;0;((3, 11), (9, 10, 12));0.571422963112;0.2;4;0.011460185734
