B/U;dependent;independent;AUC;eta;depth;f1
B;0;((3, 11),);0.613657844991;0.05;6;0.601941747573
B;0;((3, 11),);0.613410752096;0.05;8;0.0105138205867
B;0;((13, 14),);0.65949905482;0.1;8;0.7
B;0;((13, 14),);0.643305682049;0.1;8;0.00976744186047
B;0;((6, 7),);0.522211720227;0.2;8;0.661654135338
B;0;((6, 7),);0.514455289033;0.2;8;0.00771456123433
B;0;((9, 10, 12),);0.645085066163;0.1;6;0.683333333333
B;0;((9, 10, 12),);0.659600965861;0.2;6;0.0102423182613
B;0;((4, 5, 8),);0.510869565217;0.1;8;0.661654135338
B;0;((4, 5, 8),);0.517450945558;0.1;8;0.00776561948465
B;0;((3, 11), (13, 14));0.680056710775;0.05;8;0.697247706422
B;0;((3, 11), (13, 14));0.685121602808;0.05;8;0.0132104988702
B;0;((3, 11), (6, 7));0.66847826087;0.05;8;0.66
B;0;((3, 11), (6, 7));0.633832881341;0.05;8;0.0112321307012
B;0;((3, 11), (9, 10, 12));0.684073724008;0.05;4;0.673267326733
B;0;((3, 11), (9, 10, 12));0.700653696667;0.05;6;0.0145211930926
B;0;((3, 11), (4, 5, 8));0.666587901701;0.05;8;0.666666666667
B;0;((3, 11), (4, 5, 8));0.636086195145;0.05;4;0.0105424247577
B;0;((13, 14), (6, 7));0.684310018904;0.05;8;0.72131147541
B;0;((13, 14), (6, 7));0.657692084578;0.1;4;0.0103045569041
B;0;((13, 14), (9, 10, 12));0.712665406427;0.1;6;0.713043478261
B;0;((13, 14), (9, 10, 12));0.662031934333;0.05;4;0.0101964685402
B;0;((13, 14), (4, 5, 8));0.679111531191;0.05;8;0.72131147541
B;0;((13, 14), (4, 5, 8));0.638505380399;0.2;4;0.00986012382481
B;0;((6, 7), (9, 10, 12));0.618147448015;0.2;6;0.661016949153
B;0;((6, 7), (9, 10, 12));0.644248339473;0.05;6;0.00980392156863
B;0;((6, 7), (4, 5, 8));0.511814744802;0.2;8;0.661654135338
B;0;((6, 7), (4, 5, 8));0.512276300142;0.1;8;0.00771794422031
B;0;((9, 10, 12), (4, 5, 8));0.633270321361;0.2;8;0.677966101695
B;0;((9, 10, 12), (4, 5, 8));0.64439245729;0.05;8;0.00978915662651
B;0;((3, 11), (13, 14), (6, 7));0.707230623819;0.05;4;0.666666666667
B;0;((3, 11), (13, 14), (6, 7));0.696343758158;0.05;6;0.0127431254192
B;0;((3, 11), (13, 14), (9, 10, 12));0.73156899811;0.05;8;0.704761904762
B;0;((3, 11), (13, 14), (9, 10, 12));0.72951532906;0.05;8;0.0140524116977
B;0;((3, 11), (13, 14), (4, 5, 8));0.683837429112;0.05;6;0.690909090909
B;0;((3, 11), (13, 14), (4, 5, 8));0.688070126461;0.05;6;0.0127132820341
B;0;((3, 11), (6, 7), (9, 10, 12));0.697306238185;0.05;4;0.693069306931
B;0;((3, 11), (6, 7), (9, 10, 12));0.701852865679;0.05;6;0.0140268848627
B;0;((3, 11), (6, 7), (4, 5, 8));0.672495274102;0.05;8;0.673469387755
B;0;((3, 11), (6, 7), (4, 5, 8));0.650214273284;0.05;6;0.0108126372698
B;0;((3, 11), (9, 10, 12), (4, 5, 8));0.67556710775;0.1;4;0.711538461538
B;0;((3, 11), (9, 10, 12), (4, 5, 8));0.70927538649;0.05;4;0.0136825645035
B;0;((13, 14), (6, 7), (9, 10, 12));0.710775047259;0.1;8;0.700854700855
B;0;((13, 14), (6, 7), (9, 10, 12));0.670858470865;0.05;4;0.0106858846918
B;0;((13, 14), (6, 7), (4, 5, 8));0.677693761815;0.1;8;0.716666666667
B;0;((13, 14), (6, 7), (4, 5, 8));0.660346934188;0.05;6;0.0103519668737
B;0;((13, 14), (9, 10, 12), (4, 5, 8));0.70179584121;0.05;8;0.706896551724
B;0;((13, 14), (9, 10, 12), (4, 5, 8));0.668755619688;0.05;8;0.0101812763844
B;0;((6, 7), (9, 10, 12), (4, 5, 8));0.649338374291;0.1;8;0.672413793103
B;0;((6, 7), (9, 10, 12), (4, 5, 8));0.638675783856;0.1;8;0.00972083748754
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.737240075614;0.05;8;0.703703703704
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.73465281202;0.05;8;0.0143126177024
B;0;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.700141776938;0.05;4;0.654205607477
B;0;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.687474620762;0.05;6;0.0126814617053
B;0;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.732041587902;0.05;8;0.691588785047
B;0;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.726564992604;0.05;6;0.013768115942
B;0;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.696597353497;0.05;4;0.693069306931
B;0;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.696617491371;0.05;6;0.0140550807217
B;0;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.697069943289;0.2;6;0.713043478261
B;0;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.658522348232;0.05;4;0.0101485148515
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.743383742911;0.05;4;0.685714285714
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.725793645039;0.05;6;0.0137407340445
B;1;((3, 11),);0.606958282274;0.05;8;0.545454545455
B;1;((3, 11),);0.573685153122;0.05;8;0.0258760107817
B;1;((13, 14),);0.67707389845;0.1;4;0.522522522523
B;1;((13, 14),);0.643577458068;0.2;8;0.0405549626467
B;1;((6, 7),);0.518381373541;0.05;8;0.106666666667
B;1;((6, 7),);0.507283936761;0.2;4;0.0216718266254
B;1;((9, 10, 12),);0.658772443923;0.2;6;0.524017467249
B;1;((9, 10, 12),);0.671861592935;0.05;8;0.0436205016358
B;1;((4, 5, 8),);0.520858863019;0.05;8;0.118421052632
B;1;((4, 5, 8),);0.519009320814;0.05;6;0.0256045519203
B;1;((3, 11), (13, 14));0.702674623049;0.2;4;0.649446494465
B;1;((3, 11), (13, 14));0.666657466679;0.1;6;0.0335865653739
B;1;((3, 11), (6, 7));0.615323139219;0.05;4;0.566037735849
B;1;((3, 11), (6, 7));0.581869768657;0.05;4;0.0279381635314
B;1;((3, 11), (9, 10, 12));0.710107091481;0.05;4;0.63670411985
B;1;((3, 11), (9, 10, 12));0.67403953664;0.05;4;0.038478949751
B;1;((3, 11), (4, 5, 8));0.607890670787;0.05;4;0.55938697318
B;1;((3, 11), (4, 5, 8));0.584971084439;0.05;4;0.0273305877948
B;1;((13, 14), (6, 7));0.667590175289;0.1;8;0.532751091703
B;1;((13, 14), (6, 7));0.659350836616;0.2;8;0.0438218390805
B;1;((13, 14), (9, 10, 12));0.731365549576;0.05;4;0.588744588745
B;1;((13, 14), (9, 10, 12));0.713927309059;0.05;4;0.0506706408346
B;1;((13, 14), (4, 5, 8));0.666471309073;0.2;8;0.532751091703
B;1;((13, 14), (4, 5, 8));0.664118270132;0.1;8;0.0417403608065
B;1;((6, 7), (9, 10, 12));0.657813415739;0.1;8;0.536796536797
B;1;((6, 7), (9, 10, 12));0.679231089579;0.2;8;0.0452586206897
B;1;((6, 7), (4, 5, 8));0.521205178752;0.2;8;0.106666666667
B;1;((6, 7), (4, 5, 8));0.512238130023;0.05;6;0.0225442834138
B;1;((9, 10, 12), (4, 5, 8));0.645665725398;0.2;4;0.525423728814
B;1;((9, 10, 12), (4, 5, 8));0.678342370788;0.05;8;0.0457516339869
B;1;((3, 11), (13, 14), (6, 7));0.690153977303;0.1;8;0.628352490421
B;1;((3, 11), (13, 14), (6, 7));0.66759279874;0.05;6;0.0340743818824
B;1;((3, 11), (13, 14), (9, 10, 12));0.75925728595;0.05;4;0.664092664093
B;1;((3, 11), (13, 14), (9, 10, 12));0.722741203739;0.05;4;0.0418797175554
B;1;((3, 11), (13, 14), (4, 5, 8));0.680164100378;0.1;6;0.616541353383
