B/U;dependent;independent;AUC;eta;depth;child
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.65503737985;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.683812312561;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.617963663096;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.631179819754;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.621088691832;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.650220764688;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.677393185506;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.634242950066;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.643860561915;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.627950919764;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.629938908697;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.637679210898;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.748512709573;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.759622711013;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.664674690683;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.654015616865;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.649061892376;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.653396851646;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.735020661157;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.721003494171;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.690269901281;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.689947935696;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.666479014199;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.690591266056;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.5869247626;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.569098971482;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.578979206049;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.566235153831;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.591518188961;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.587481584948;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.609396433471;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.666170634921;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.678950364888;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.667866715116;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.644669187146;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.647266959762;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.728238234069;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.704138657715;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.683552671114;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.667655756411;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.672207218793;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.660644467001;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.662064282481;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.637036287854;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.663339326679;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.658502330606;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.635035154137;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.666275430822;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.594008264463;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.655838335835;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.641719628899;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.641684895648;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.658700073964;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.67014882307;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.540656887755;0.05;8;5
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.601646517395;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.675525426909;0.05;8;5
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.65258473522;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.680256992902;0.05;8;5
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.678459585273;0.05;8;5
