B/U;dependent;independent;AUC;eta;depth;gamma
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.668396770473;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.711629592189;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.65803728899;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.623090161182;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.67764411772;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.673961021958;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.615;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.589358525192;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.621643066406;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.631975821264;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.674892974062;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.644929479533;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.695058891123;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.672761371949;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.701421929066;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.672954434252;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.658781090561;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.652456641938;0.05;8;0
