B/U;dependent;independent;AUC;eta;depth;gamma
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.692810457516;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.71693026923;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.664006779182;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.662393424523;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.682749768538;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.680280274453;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.679173553719;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.660775492554;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.696412475212;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.719003802088;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.652189391242;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.665407249457;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.62;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.658043007168;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.711648951451;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.681563530884;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.638822518725;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.662322267107;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.717037037037;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.746014804933;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.591400146484;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.629556307725;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.665517378827;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.689479718373;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.595793419409;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.59644725352;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.639246323529;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.658028618522;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.649959257583;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.643769074217;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.702827087442;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.618688309496;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.660972606956;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.668440326748;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.6580625;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.658947457341;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.725694444444;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.681907666111;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.690098261527;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.673493182812;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.70882962963;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.692689974322;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.548945375879;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.563347131072;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.650702802794;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.654062145985;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.627668467078;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.646626542166;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.737240075614;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.663387910781;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.67731138546;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.642181398403;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.675047603448;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.661799838181;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.689253826531;0.05;8;0.1
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.682349416983;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.629591836735;0.05;8;0.1
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.660292245996;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.669590587517;0.05;8;0.1
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.670164972982;0.05;8;0.1
