B/U;dependent;independent;AUC;eta;depth;f1
B;0;((3, 11),);0.523374726077;0.2;8;0.506666666667
B;0;((3, 11),);0.570863464081;0.1;4;0.0070959730353
B;0;((13, 14),);0.537983929876;0.1;6;0.254545454545
B;0;((13, 14),);0.541382812694;0.2;8;0.00486448922863
B;0;((6, 7),);0.474433893353;0.05;4;0.654545454545
B;0;((6, 7),);0.514932314199;0.05;4;0.00632744529396
B;0;((9, 10, 12),);0.602264426589;0.05;8;0.244897959184
B;0;((9, 10, 12),);0.520096298281;0.1;4;0.00415454923141
B;0;((4, 5, 8),);0.527027027027;0.05;4;0.1
B;0;((4, 5, 8),);0.527213948387;0.2;8;0.00677966101695
B;0;((3, 11), (13, 14));0.539444850256;0.1;6;0.527777777778
B;0;((3, 11), (13, 14));0.604210910352;0.05;4;0.00879648140744
B;0;((3, 11), (6, 7));0.512052593134;0.2;8;0.527777777778
B;0;((3, 11), (6, 7));0.563262746123;0.05;8;0.00755429650614
B;0;((3, 11), (9, 10, 12));0.607012417823;0.05;8;0.470588235294
B;0;((3, 11), (9, 10, 12));0.607558604351;0.05;4;0.00760135135135
B;0;((3, 11), (4, 5, 8));0.539444850256;0.2;8;0.520547945205
B;0;((3, 11), (4, 5, 8));0.565625161867;0.05;4;0.00698529411765
B;0;((13, 14), (6, 7));0.511687363039;0.2;6;0.254545454545
B;0;((13, 14), (6, 7));0.542263369944;0.1;8;0.00480109739369
B;0;((13, 14), (9, 10, 12));0.538714390066;0.1;8;0.259259259259
B;0;((13, 14), (9, 10, 12));0.558459092373;0.05;6;0.006416131989
B;0;((13, 14), (4, 5, 8));0.575967859752;0.05;8;0.290909090909
B;0;((13, 14), (4, 5, 8));0.551285140653;0.2;8;0.00528750826173
B;0;((6, 7), (9, 10, 12));0.570124178232;0.05;8;0.244897959184
B;0;((6, 7), (9, 10, 12));0.514946952619;0.05;8;0.00481734243276
B;0;((6, 7), (4, 5, 8));0.50073046019;0.05;4;0.0512820512821
B;0;((6, 7), (4, 5, 8));0.497823379583;0.05;4;0.00312989045383
B;0;((9, 10, 12), (4, 5, 8));0.59130752374;0.05;6;0.244897959184
B;0;((9, 10, 12), (4, 5, 8));0.51129410387;0.05;6;0.00475624256837
B;0;((3, 11), (13, 14), (6, 7));0.530679327977;0.05;8;0.506666666667
B;0;((3, 11), (13, 14), (6, 7));0.597612361132;0.05;4;0.00832507433102
B;0;((3, 11), (13, 14), (9, 10, 12));0.640978816654;0.05;6;0.588235294118
B;0;((3, 11), (13, 14), (9, 10, 12));0.6206374694;0.05;6;0.00884368781782
B;0;((3, 11), (13, 14), (4, 5, 8));0.536157779401;0.1;8;0.5
B;0;((3, 11), (13, 14), (4, 5, 8));0.575155899171;0.1;8;0.00703674745895
B;0;((3, 11), (6, 7), (9, 10, 12));0.626369612856;0.05;4;0.492753623188
B;0;((3, 11), (6, 7), (9, 10, 12));0.60682555733;0.05;4;0.00704809286899
B;0;((3, 11), (6, 7), (4, 5, 8));0.537253469686;0.2;4;0.513513513514
B;0;((3, 11), (6, 7), (4, 5, 8));0.568445872754;0.2;6;0.00684438040346
B;0;((3, 11), (9, 10, 12), (4, 5, 8));0.604455807159;0.05;4;0.5
B;0;((3, 11), (9, 10, 12), (4, 5, 8));0.593779347217;0.05;4;0.0072186836518
B;0;((13, 14), (6, 7), (9, 10, 12));0.566471877283;0.1;4;0.296296296296
B;0;((13, 14), (6, 7), (9, 10, 12));0.559766415862;0.05;6;0.00642496558054
B;0;((13, 14), (6, 7), (4, 5, 8));0.521183345508;0.1;6;0.285714285714
B;0;((13, 14), (6, 7), (4, 5, 8));0.548306785245;0.1;6;0.00534759358289
B;0;((13, 14), (9, 10, 12), (4, 5, 8));0.525566106647;0.2;8;0.259259259259
B;0;((13, 14), (9, 10, 12), (4, 5, 8));0.539968516137;0.05;8;0.0054844606947
B;0;((6, 7), (9, 10, 12), (4, 5, 8));0.556975894814;0.05;8;0.24
B;0;((6, 7), (9, 10, 12), (4, 5, 8));0.515763326029;0.2;6;0.00485829959514
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.637326515705;0.05;6;0.608695652174
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.617026283846;0.05;4;0.00852974186308
B;0;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.528853177502;0.1;6;0.533333333333
B;0;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.565236680727;0.1;6;0.00776246846497
B;0;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.646822498174;0.05;4;0.542857142857
