B/U;dependent;independent;AUC;eta;depth;f1
B;1;((3, 11), (9, 10, 12));0.661956295525;0.1;4;0.601351351351
B;1;((3, 11), (9, 10, 12));0.619071701781;0.1;4;0.0361715098557
B;1;((3, 11), (4, 5, 8));0.5296566077;0.05;4;0.536741214058
B;1;((3, 11), (4, 5, 8));0.552280704612;0.05;8;0.0288204945739
B;1;((13, 14), (6, 7));0.549552549428;0.2;4;0.361344537815
B;1;((13, 14), (6, 7));0.582766652279;0.05;4;0.0314355571079
B;1;((13, 14), (9, 10, 12));0.661352757544;0.2;4;0.41095890411
B;1;((13, 14), (9, 10, 12));0.612102949999;0.2;4;0.0371593724195
B;1;((13, 14), (4, 5, 8));0.572258064516;0.05;4;0.378151260504
B;1;((13, 14), (4, 5, 8));0.582481072174;0.05;4;0.0318809776833
B;1;((6, 7), (9, 10, 12));0.646035379813;0.05;6;0.37962962963
B;1;((6, 7), (9, 10, 12));0.587183642667;0.1;8;0.033320111067
B;1;((6, 7), (4, 5, 8));0.507180020812;0.05;4;0.113636363636
B;1;((6, 7), (4, 5, 8));0.516310098731;0.2;6;0.0233918128655
B;1;((9, 10, 12), (4, 5, 8));0.633111342352;0.2;8;0.396475770925
B;1;((9, 10, 12), (4, 5, 8));0.603241279898;0.2;8;0.0367647058824
B;1;((3, 11), (13, 14), (6, 7));0.598355879292;0.05;4;0.606811145511
B;1;((3, 11), (13, 14), (6, 7));0.605836475529;0.05;4;0.035831809872
B;1;((3, 11), (13, 14), (9, 10, 12));0.676982310094;0.1;4;0.613861386139
B;1;((3, 11), (13, 14), (9, 10, 12));0.645472930969;0.05;8;0.0384138785626
B;1;((3, 11), (13, 14), (4, 5, 8));0.623288241415;0.05;4;0.604938271605
B;1;((3, 11), (13, 14), (4, 5, 8));0.625223889916;0.05;4;0.0362225097025
B;1;((3, 11), (6, 7), (9, 10, 12));0.663350676379;0.05;4;0.606666666667
B;1;((3, 11), (6, 7), (9, 10, 12));0.616949939328;0.2;4;0.0353398058252
B;1;((3, 11), (6, 7), (4, 5, 8));0.533922996878;0.05;6;0.522292993631
B;1;((3, 11), (6, 7), (4, 5, 8));0.5460823676;0.05;8;0.027933912451
B;1;((3, 11), (9, 10, 12), (4, 5, 8));0.644516129032;0.05;4;0.618892508143
B;1;((3, 11), (9, 10, 12), (4, 5, 8));0.619929527951;0.2;8;0.0349865436371
B;1;((13, 14), (6, 7), (9, 10, 12));0.658772112383;0.05;4;0.398148148148
B;1;((13, 14), (6, 7), (9, 10, 12));0.595454607151;0.05;4;0.0349167681689
B;1;((13, 14), (6, 7), (4, 5, 8));0.566326742976;0.2;4;0.376569037657
B;1;((13, 14), (6, 7), (4, 5, 8));0.585169922877;0.05;8;0.032955715757
B;1;((13, 14), (9, 10, 12), (4, 5, 8));0.664682622268;0.1;4;0.418181818182
B;1;((13, 14), (9, 10, 12), (4, 5, 8));0.612273700841;0.2;6;0.0377358490566
B;1;((6, 7), (9, 10, 12), (4, 5, 8));0.657315296566;0.05;6;0.409090909091
B;1;((6, 7), (9, 10, 12), (4, 5, 8));0.602591666599;0.2;8;0.0369913686806
B;1;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.659479708637;0.05;4;0.627450980392
B;1;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.638667057575;0.05;8;0.0369255468593
B;1;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.621165452653;0.05;4;0.60736196319
B;1;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.621071848371;0.05;4;0.0355923063095
B;1;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.667700312175;0.05;4;0.625407166124
B;1;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.640310500498;0.05;6;0.037233000196
B;1;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.651300728408;0.05;4;0.609271523179
B;1;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.607643068303;0.2;4;0.0354323127287
B;1;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.647284079084;0.1;6;0.403587443946
B;1;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.599626194102;0.1;6;0.0353356890459
B;1;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.673777315297;0.1;4;0.615894039735
B;1;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.633633301029;0.05;8;0.0361635220126
B;2;((3, 11),);0.529527559055;0.1;4;0.497942386831
B;2;((3, 11),);0.52772209482;0.05;4;0.0431550317316
B;2;((13, 14),);0.589729679459;0.05;4;0.664556962025
B;2;((13, 14),);0.584344480171;0.05;6;0.0481154771451
B;2;((6, 7),);0.500984251969;0.05;4;0.086642599278
B;2;((6, 7),);0.493644291472;0.05;4;0.0321715817694
B;2;((9, 10, 12),);0.662362824726;0.05;8;0.6912
