B/U;dependent;independent;AUC;eta;depth;f1;cm
B;0;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.67086996057;0.05;10;0.0188846267335;[20718  3250    75    32]
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.751331994061;0.05;8;0.682692307692;[77 30 36 71]
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.749699950401;0.05;8;0.017908941859;[16217  7751    36    71]
B;1;((3, 11),);0.634546216997;0.05;12;0.602409638554;[150  99  99 150]
B;1;((3, 11),);0.615861414263;0.05;10;0.0283312008774;[13288 10538    94   155]
B;1;((13, 14),);0.635796196836;0.2;12;0.665594855305;[ 83 166  42 207]
B;1;((13, 14),);0.631886902938;0.1;8;0.024795377949;[ 7665 16161    43   206]
B;1;((6, 7),);0.507588587281;0.1;10;0.660167130919;[ 17 232  12 237]
B;1;((6, 7),);0.494644741983;0.05;12;0.0202848511006;[ 1140 22686    14   235]
B;1;((9, 10, 12),);0.690101772552;0.05;8;0.698412698413;[ 88 161  29 220]
B;1;((9, 10, 12),);0.698580690596;0.05;8;0.0278252071081;[ 8482 15344    29   220]
B;1;((4, 5, 8),);0.541555781358;0.1;10;0.677685950413;[ 18 231   3 246]
B;1;((4, 5, 8),);0.541116872425;0.1;10;0.0213847959317;[ 1314 22512     3   246]
B;1;((3, 11), (13, 14));0.705795067821;0.05;10;0.655935613682;[164  85  86 163]
B;1;((3, 11), (13, 14));0.68942200431;0.05;10;0.0335149583633;[14511  9315    86   163]
B;1;((3, 11), (6, 7));0.623199625812;0.05;10;0.584677419355;[147 102 104 145]
B;1;((3, 11), (6, 7));0.600072243983;0.05;8;0.026493598862;[12976 10850   100   149]
B;1;((3, 11), (9, 10, 12));0.745294430735;0.05;12;0.692759295499;[164  85  72 177]
B;1;((3, 11), (9, 10, 12));0.735996112377;0.05;12;0.0376756066411;[14856  8970    72   177]
B;1;((3, 11), (4, 5, 8));0.644828309221;0.05;10;0.624754420432;[148 101  90 159]
B;1;((3, 11), (4, 5, 8));0.622598595507;0.05;8;0.0283044058745;[12999 10827    90   159]
B;1;((13, 14), (6, 7));0.635949420171;0.2;8;0.664505672609;[ 86 163  44 205]
B;1;((13, 14), (6, 7));0.626470458346;0.2;8;0.0246246246246;[ 7630 16196    44   205]
B;1;((13, 14), (9, 10, 12));0.736197803261;0.05;10;0.720257234727;[100 149  25 224]
B;1;((13, 14), (9, 10, 12));0.719036727789;0.1;12;0.0287056703353;[ 8761 15065    26   223]
B;1;((13, 14), (4, 5, 8));0.644497669392;0.05;10;0.675241157556;[ 86 163  39 210]
B;1;((13, 14), (4, 5, 8));0.647253413891;0.1;8;0.0254631026368;[ 7713 16113    38   211]
B;1;((6, 7), (9, 10, 12));0.684134126869;0.1;8;0.692307692308;[ 90 159  33 216]
B;1;((6, 7), (9, 10, 12));0.686827558703;0.05;12;0.0271173614177;[ 8433 15393    34   215]
B;1;((6, 7), (4, 5, 8));0.538499379042;0.2;10;0.674965421853;[ 19 230   5 244]
B;1;((6, 7), (4, 5, 8));0.529333737198;0.2;8;0.0211166630458;[ 1303 22523     6   243]
B;1;((9, 10, 12), (4, 5, 8));0.678440670312;0.1;12;0.688995215311;[ 87 162  33 216]
B;1;((9, 10, 12), (4, 5, 8));0.689230775195;0.2;12;0.027135678392;[ 8371 15455    33   216]
B;1;((3, 11), (13, 14), (6, 7));0.697561329656;0.05;8;0.667992047714;[163  86  81 168]
B;1;((3, 11), (13, 14), (6, 7));0.677338498626;0.05;8;0.0340287624063;[14369  9457    81   168]
B;1;((3, 11), (13, 14), (9, 10, 12));0.775721359333;0.05;8;0.708661417323;[170  79  69 180]
B;1;((3, 11), (13, 14), (9, 10, 12));0.75555710629;0.05;8;0.0399068839375;[15234  8592    69   180]
B;1;((3, 11), (13, 14), (4, 5, 8));0.706174093966;0.2;8;0.644400785855;[153  96  85 164]
B;1;((3, 11), (13, 14), (4, 5, 8));0.702591023879;0.05;8;0.0358942065491;[14718  9108    78   171]
