Date & Time,First posts,Inactivity,Posts in last 24H,Questions,Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2010-06-30 21:00:00,0.0,51089,0,0.0,3.0,0.158541666667,0.603333333333,13.666666666700001
2010-06-30 23:00:00,0.0,1,1,0.1,4.5,-0.05833333333330001,0.168333333333,9.7
2010-07-04 23:00:00,0.0,95,0,0.0,1.0,0.0,0.0,7.0
2010-07-06 22:00:00,0.0,46,0,0.0,11.0,0.06666666666669999,0.25151515151500003,13.1818181818
2010-07-13 19:00:00,0.0,164,0,0.25,4.0,0.1,0.2,30.25
2010-07-17 23:00:00,0.0,99,0,0.25,4.0,0.0,0.025,10.75
2010-07-18 22:00:00,0.0,22,1,0.0,2.0,0.0,0.0,8.0
2010-07-28 22:00:00,0.0,239,0,0.0,7.0,-0.057910906298000005,0.511424731183,14.5714285714
2010-08-04 22:00:00,0.0,167,0,0.0,5.0,0.190722222222,0.334444444444,13.2
2010-08-31 20:00:00,0.0,645,0,0.0,6.0,0.0333333333333,0.09166666666670001,12.833333333299999
2010-09-01 11:00:00,0.0,14,1,0.0,6.0,0.0,0.166666666667,14.833333333299999
2010-09-01 18:00:00,0.0,6,2,0.0,2.0,-0.325,0.45,14.5
2010-09-01 22:00:00,0.0,3,2,0.0,10.0,0.0246666666667,0.528333333333,13.3
2010-09-02 08:00:00,0.0,9,3,0.0,3.0,-0.0333333333333,0.761111111111,10.3333333333
2010-09-09 22:00:00,0.0,181,0,0.0,7.666666666669999,0.023544685990299997,0.330338164251,12.043478260899999
2010-09-16 21:00:00,0.0,166,0,0.0,7.0,0.0857142857143,0.25,10.0
2010-09-19 13:00:00,0.0,63,0,0.33333333333299997,3.0,0.044444444444399996,0.288888888889,6.666666666669999
2010-09-20 13:00:00,0.0,23,1,0.0,2.0,0.2725,0.925,13.5
2010-09-22 22:00:00,0.0,56,0,0.0,3.0,0.0888888888889,0.37777777777800003,9.333333333330001
2010-10-04 21:00:00,0.0,286,0,0.0,3.0,0.0125,0.445833333333,12.333333333299999
2010-10-07 00:00:00,0.0,50,0,0.0,4.0,0.0166666666667,0.308333333333,11.0
2010-10-25 14:00:00,0.0,445,0,0.0,15.0,0.11448717948699999,0.386452991453,14.0
2010-11-02 07:00:00,0.0,184,0,0.0,8.0,0.053125,0.14375,10.0
2010-11-03 21:00:00,0.0,37,0,0.0,10.0,0.1105,0.2709375,16.6
2010-11-08 21:00:00,0.0,119,0,0.2,5.0,0.0975,0.245,9.2
2010-11-28 11:00:00,0.0,469,0,0.0,7.0,0.107142857143,0.278571428571,18.8571428571
2010-12-08 22:00:00,0.0,250,0,0.666666666667,3.0,0.06666666666669999,0.166666666667,7.666666666669999
2010-12-09 10:00:00,0.0,11,1,0.0,3.0,0.05833333333330001,0.33333333333299997,7.0
2010-12-09 20:00:00,0.0,9,2,0.33333333333299997,3.0,0.0,0.0,6.666666666669999
2010-12-09 21:00:00,0.0,0,3,0.0,1.0,0.0,0.0,5.0
2010-12-30 01:00:00,0.0,483,0,0.0,5.0,0.0165,0.3135,16.7
2011-01-03 20:00:00,0.0,114,0,0.0,3.0,0.133333333333,0.2,9.0
2011-01-05 12:00:00,0.0,39,0,0.0,3.0,-0.211111111111,0.34444444444399996,16.0
2011-01-06 20:00:00,0.0,31,0,0.07142857142860001,7.0,-0.0085119047619,0.250714285714,10.642857142899999
2011-01-06 21:00:00,0.0,0,2,0.0,8.0,0.2484375,0.5234375,9.375
2011-01-07 20:00:00,0.0,22,3,0.0,5.0,0.1,0.17,5.4
2011-01-09 02:00:00,0.0,29,0,0.0,13.0,0.0293269230769,0.416474358974,13.6923076923
2011-01-17 21:00:00,0.0,210,0,0.166666666667,6.0,-0.166666666667,0.366666666667,9.666666666669999
2011-01-18 07:00:00,0.0,9,1,0.0,4.0,0.15,0.4125,5.25
2011-01-25 20:00:00,0.0,180,0,0.0909090909091,11.0,0.00719696969697,0.329545454545,9.181818181819999
2011-01-28 21:00:00,0.0,72,0,0.166666666667,2.5,0.0611111111111,0.18888888888900002,10.3333333333
2011-02-01 21:00:00,0.0,95,0,0.0,3.0,0.583333333333,0.666666666667,8.666666666669999
2011-02-02 21:00:00,0.0,23,1,0.0,7.0,0.0199206349206,0.34603174603200004,9.35714285714
2011-02-07 11:00:00,0.0,109,0,0.0,2.0,0.0,0.15,12.5
2011-02-10 10:00:00,0.0,70,0,0.2,5.0,0.19666666666700003,0.578333333333,12.0
2011-02-10 14:00:00,0.0,3,1,0.0,7.0,0.20297619047600002,0.5261904761899999,9.28571428571
2011-02-10 15:00:00,0.0,0,2,0.0,7.0,0.21681547619000002,0.6220238095239999,13.142857142899999
2011-02-13 14:00:00,0.0,70,0,0.0,4.0,0.122916666667,0.31770833333299997,12.25
2011-02-17 14:00:00,0.0,95,0,0.0,10.0,0.07819444444439999,0.589722222222,16.1
2011-02-19 10:00:00,0.0,43,0,0.0,13.0,0.08775641025639999,0.335897435897,16.5384615385
2011-02-25 10:00:00,0.0,143,0,0.0,6.0,0.015972222222200003,0.245138888889,14.833333333299999
2011-02-25 23:00:00,0.0,12,2,0.0,8.0,0.231440972222,0.569444444444,22.0
2011-02-27 11:00:00,0.0,35,0,0.0,3.0,-0.08166666666669999,0.115,9.0
2011-03-03 16:00:00,0.0,100,0,0.0,3.0,0.0333333333333,0.1,14.666666666700001
2011-03-04 08:00:00,0.0,15,1,0.25,4.0,0.1875,0.25,8.25
2011-03-09 08:00:00,0.0,119,0,0.666666666667,3.0,0.17777777777800002,0.40555555555600004,13.0
2011-03-10 11:00:00,0.0,26,0,0.0,6.0,0.0986111111111,0.319444444444,16.0
2011-03-10 14:00:00,0.0,2,1,0.5,2.0,-0.15,0.3,9.0
2011-03-10 20:00:00,0.0,5,2,0.0,2.0,0.3,0.6,12.0
2011-03-12 01:00:00,0.0,28,0,0.0,1.0,0.55,0.9,12.0
2011-03-17 18:00:00,0.0,136,0,0.0,2.0,0.0,0.0,15.0
2011-03-17 22:00:00,0.0,3,1,0.0,2.0,0.425,0.7,9.5
2011-03-18 08:00:00,0.0,9,2,0.33333333333299997,3.0,-0.17222222222199998,0.48888888888899995,14.666666666700001
2011-03-21 18:00:00,0.0,81,0,0.0,4.0,0.15,0.25,12.0
2011-03-22 16:00:00,0.0,21,1,0.25,4.0,0.18333333333299998,0.366666666667,6.5
2011-03-22 17:00:00,0.0,0,2,0.0,3.0,0.116666666667,0.5,8.666666666669999
