Date & Time,Inactivity,First posts,Posts in last 24H,Questions,Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2012-01-11 22:00:00,157,0.0,0,0.0,3.0,0.1125,0.1625,8.666666666669999
2012-01-13 15:00:00,40,0.0,0,0.0,4.0,0.234375,0.25,6.0
2012-01-15 22:00:00,54,0.0,0,0.14285714285700002,7.0,-0.16034632034600002,0.45951298701300003,16.8571428571
2012-01-16 12:00:00,13,0.0,1,0.0,8.0,-0.04348958333330001,0.4875,13.0
2012-01-17 21:00:00,32,0.0,0,0.0,7.0,0.097380952381,0.364523809524,24.1428571429
2012-01-24 11:00:00,157,0.0,0,0.0,4.0,0.075,0.4575,12.0
2012-01-24 16:00:00,4,0.0,1,0.0,6.0,0.006944444444439999,0.133333333333,10.833333333299999
2012-01-24 22:00:00,5,0.0,2,0.0,1.0,0.0,0.0,5.0
2012-01-25 14:00:00,15,0.0,2,0.5,4.0,0.1,0.1,11.5
2012-01-26 11:00:00,20,0.0,1,0.102564102564,19.5,0.105213675214,0.385683760684,12.7948717949
2012-01-27 11:00:00,23,0.0,2,0.0,4.0,0.1375,0.2,15.5
2012-01-27 17:00:00,5,0.0,1,0.666666666667,3.0,0.0416666666667,0.33333333333299997,6.666666666669999
2012-02-01 17:00:00,119,0.0,0,0.0,4.0,0.233333333333,0.366666666667,14.75
2012-02-02 21:00:00,27,0.0,0,0.0,1.0,0.0,0.0,3.0
2012-02-07 22:00:00,120,0.0,0,0.166666666667,6.0,0.19305555555599999,0.4,11.0
2012-02-13 10:00:00,131,0.0,0,0.33333333333299997,3.0,0.0,0.0,13.0
2012-02-14 15:00:00,28,0.0,0,0.33333333333299997,6.0,-0.0416666666667,0.241666666667,11.833333333299999
2012-02-14 16:00:00,0,0.0,1,0.0,6.0,-0.0680555555556,0.27847222222199997,15.166666666700001
2012-02-15 15:00:00,22,0.0,2,0.0,20.0,0.0338545454545,0.387098484848,18.95
2012-02-15 16:00:00,0,0.0,2,0.0,5.0,0.21,0.33,11.4
2012-02-17 18:00:00,49,0.0,0,0.0,6.0,-0.0555555555556,0.255555555556,15.0
2012-02-26 21:00:00,218,0.0,0,0.0,8.0,0.195798611111,0.347604166667,10.75
2012-02-28 10:00:00,36,0.0,0,0.0,2.0,0.5,0.5,4.5
2012-02-28 21:00:00,10,0.0,1,0.181818181818,11.0,0.0416666666667,0.488636363636,11.1818181818
2012-02-29 10:00:00,12,0.0,2,0.0,3.0,0.25,0.33333333333299997,1.6666666666699999
2012-02-29 16:00:00,5,0.0,2,0.2,5.0,0.21833333333299998,0.313333333333,10.4
2012-03-02 15:00:00,46,0.0,0,0.2,10.0,0.149,0.19,5.0
2012-03-02 18:00:00,2,0.0,1,0.25,4.0,0.15,0.2375,8.75
2012-03-02 19:00:00,0,0.0,2,0.25,4.0,0.0825,0.1625,10.0
2012-03-04 22:00:00,50,0.0,0,0.0,3.0,-0.16527777777799998,0.584722222222,18.6666666667
2012-03-05 13:00:00,14,0.0,1,0.166666666667,12.0,0.04583333333330001,0.0872222222222,3.91666666667
2012-03-05 14:00:00,0,0.0,2,0.0,4.0,0.379166666667,0.6625,12.25
2012-03-05 16:00:00,1,0.0,3,0.0,4.0,0.0,0.0,8.5
2012-03-06 17:00:00,24,0.0,0,0.0769230769231,6.5,0.014102564102600001,0.294871794872,7.538461538460001
2012-03-10 12:00:00,90,0.0,0,0.0,3.0,0.0,0.0,13.0
2012-03-10 13:00:00,0,0.0,1,0.0,3.0,0.0,0.0,11.666666666700001
2012-03-12 16:00:00,50,0.0,0,0.0,4.0,0.05,0.2625,9.5
2012-03-12 17:00:00,0,0.0,1,0.0,7.0,0.18244047619000003,0.428571428571,11.5714285714
2012-03-12 18:00:00,0,0.0,2,0.0,7.0,0.327142857143,0.492857142857,14.4285714286
2012-03-19 17:00:00,166,0.0,0,0.166666666667,12.0,0.024305555555599996,0.0527777777778,6.0
2012-03-19 22:00:00,4,0.0,1,0.0,6.0,0.282361111111,0.447222222222,7.166666666669999
2012-03-22 20:00:00,69,0.0,0,0.0,1.0,0.0,0.0,0.0
2012-03-23 23:00:00,26,0.0,0,0.0,5.0,-0.0488888888889,0.288888888889,14.2
2012-03-26 19:00:00,67,0.0,0,0.0,4.5,0.115,0.176666666667,2.4
2012-03-31 18:00:00,118,0.0,0,0.0,10.0,0.11511111111099999,0.39294444444399995,9.9
2012-04-03 23:00:00,76,0.0,0,0.0,6.0,0.2875,0.495833333333,12.166666666700001
2012-04-04 15:00:00,15,0.0,1,0.0,2.0,0.316666666667,0.483333333333,6.5
2012-04-04 16:00:00,0,0.0,2,0.0,4.0,-0.020833333333299998,0.24583333333299998,7.625
2012-04-04 18:00:00,1,0.0,4,0.0,4.0,0.0,0.0,5.25
2012-04-04 22:00:00,3,0.0,5,0.0,4.0,0.0,0.0,8.0
2012-04-05 17:00:00,18,0.0,2,0.0,5.0,0.12,0.36,9.4
2012-04-05 20:00:00,2,0.0,2,0.0,4.0,0.03125,0.225,5.25
2012-04-06 10:00:00,13,0.0,2,0.125,8.0,0.0197916666667,0.25859375,10.75
2012-04-09 12:00:00,73,0.0,0,0.2,5.0,0.095,0.2,13.6
2012-04-09 13:00:00,0,0.0,1,0.08333333333330001,12.0,0.0453472222222,0.2925,9.666666666669999
2012-04-14 14:00:00,120,0.0,0,0.0,6.0,-0.0333333333333,0.26333333333299996,11.333333333299999
2012-04-17 10:00:00,67,0.0,0,0.1,10.0,0.16625,0.336583333333,11.15
2012-04-21 13:00:00,98,0.0,0,0.111111111111,9.0,0.10648148148099999,0.362962962963,11.1111111111
2012-04-22 12:00:00,22,0.0,1,0.428571428571,7.0,0.0142857142857,0.0571428571429,3.7142857142900003
2012-04-22 14:00:00,1,0.0,1,0.25,8.0,0.0375,0.06666666666669999,4.625
2012-04-22 22:00:00,7,0.0,2,0.0,2.0,0.08333333333330001,0.283333333333,8.5
2012-04-23 11:00:00,12,0.0,3,0.166666666667,12.0,0.13765625,0.19791666666700003,4.58333333333
2012-04-23 21:00:00,9,0.0,2,0.0,10.0,0.019166666666700003,0.155,8.1
2012-04-23 22:00:00,0,0.0,3,0.0,3.0,0.0,0.0,2.33333333333
2012-04-24 07:00:00,8,0.0,3,0.0,4.0,0.25,0.25,4.75
2012-04-25 16:00:00,32,0.0,0,0.6,5.0,0.0,0.0,4.8
2012-04-27 17:00:00,48,0.0,0,0.0,9.0,0.18194444444400001,0.366666666667,8.555555555560002
2012-05-01 22:00:00,100,0.0,0,0.0,3.0,0.0,0.0,1.33333333333
2012-05-04 17:00:00,66,0.0,0,0.0,5.0,-0.085,0.236666666667,12.8
2012-05-09 16:00:00,118,0.0,0,0.0,2.5,0.1225,0.381666666667,15.4
2012-05-17 10:00:00,185,0.0,0,0.0,3.0,0.1,0.1625,11.833333333299999
2012-05-24 21:00:00,178,0.0,0,0.0,7.0,0.0667857142857,0.24446428571400003,9.71428571429
2012-06-03 23:00:00,241,0.0,0,0.0,5.666666666669999,0.0656862745098,0.22941176470600003,11.647058823499998
2012-06-06 22:00:00,70,0.0,0,0.0,7.0,0.194642857143,0.321428571429,6.57142857143
2012-06-07 17:00:00,18,0.0,1,0.25,8.0,0.0875,0.125,3.0
2012-06-08 18:00:00,24,0.0,0,0.0,4.0,0.1875,0.15,3.5
2012-06-19 17:00:00,262,0.0,0,0.0,4.0,-0.24,0.35,16.0
2012-06-26 21:00:00,171,0.0,0,0.0,4.0,0.125,0.225,2.25
2012-06-27 16:00:00,18,0.0,1,0.0,10.0,0.125441176471,0.390980392157,16.5
2012-07-09 22:00:00,293,0.0,0,0.0,8.0,0.0484375,0.3659375,16.5
2012-07-28 11:00:00,444,0.0,0,0.0,5.0,0.0,0.0,3.8
2012-07-28 19:00:00,7,0.0,1,0.5,4.0,0.175,0.25,3.75
2012-08-02 09:00:00,109,0.0,0,0.0,1.0,0.0,0.0,4.0
2012-08-03 22:00:00,36,0.0,0,0.0,8.0,0.0804166666667,0.442604166667,13.375
2012-08-07 12:00:00,85,0.0,0,0.0,9.0,0.0703703703704,0.435648148148,17.7777777778
2012-08-09 23:00:00,58,0.0,0,0.0,4.0,-0.040625,0.0625,8.75
2012-08-10 23:00:00,23,0.0,2,0.0,2.5,0.227175925926,0.538703703704,17.1666666667
2012-08-11 13:00:00,13,0.0,2,0.0,10.0,0.14375,0.19083333333299998,7.3
2012-09-02 16:00:00,530,0.0,0,0.0,8.0,-0.00625,0.252083333333,15.625
2012-09-03 19:00:00,26,0.0,0,0.166666666667,6.0,0.0,0.0,10.3333333333
2012-09-04 22:00:00,26,0.0,0,0.0,5.0,0.075,0.1,4.0
2012-09-08 23:00:00,96,0.0,0,0.0,6.0,0.18541666666700002,0.360416666667,8.333333333330001
2012-09-10 17:00:00,41,0.0,0,0.08333333333330001,12.0,0.108541666667,0.301319444444,10.0
2012-09-11 21:00:00,27,0.0,0,0.33333333333299997,15.0,0.0057037037037,0.288666666667,11.5333333333
2012-10-30 20:00:00,1174,0.0,0,0.33333333333299997,6.0,-0.020555555555599996,0.32888888888900003,13.333333333299999
2012-11-26 21:00:00,648,0.0,0,0.0,5.0,0.2875,0.31,3.2
2013-01-05 21:00:00,959,0.0,0,0.0,5.5,0.100151515152,0.383939393939,12.2727272727
2013-01-05 23:00:00,1,0.0,2,0.0909090909091,11.0,0.0204545454545,0.435454545455,11.1818181818
2013-01-28 22:00:00,550,0.0,0,0.0,5.0,0.17,0.2,6.2
2013-02-17 20:00:00,477,0.0,0,0.0,4.0,-0.103125,0.6,9.0
2013-03-10 19:00:00,502,1.0,0,0.2,5.0,0.013333333333299998,0.45,19.0
2013-03-19 16:00:00,212,1.0,0,0.5,20.0,0.127386904762,0.234601190476,13.85
2013-03-19 20:00:00,3,0.0,1,0.0,6.0,0.0189814814815,0.218518518519,13.5
2013-03-22 19:00:00,70,0.0,0,0.0,7.0,0.220238095238,0.57380952381,13.857142857100001
2013-04-09 22:00:00,434,0.0,0,0.0,11.0,0.25428030303000004,0.5251262626259999,16.1818181818
2013-05-14 21:00:00,838,0.0,0,0.0,4.0,-0.008333333333329999,0.133333333333,3.75
2013-06-03 23:00:00,481,0.0,0,0.75,4.0,0.0,0.0,5.5
2013-06-08 11:00:00,107,0.0,0,0.214285714286,28.0,0.0134226190476,0.264241071429,12.7857142857
2013-06-23 22:00:00,370,0.0,0,0.0,2.0,0.0,0.0,5.5
