Date & Time,Subjectivity,Sentiment,Sentences/Post,Questions,Posts in last 24H,Inactivity,First posts,Words/Sentence
2008-06-30 18:00:00,0.31767676767700004,0.055946969697000005,11.0,0.181818181818,0,33566,0.0,15.8181818182
2008-07-12 10:00:00,0.15,0.06666666666669999,6.0,0.33333333333299997,0,279,0.0,8.666666666669999
2008-07-13 16:00:00,0.354301075269,0.04252016129030001,15.0,0.09677419354839999,0,29,0.0,17.5161290323
2008-07-18 14:00:00,0.38,0.265,5.0,0.0,0,117,0.0,8.2
2008-08-04 23:00:00,0.375,0.06875,4.0,0.0,0,416,0.0,9.5
2008-08-05 01:00:00,0.5,0.31,2.0,0.0,1,1,0.0,16.5
2008-08-09 16:00:00,0.444444444444,-0.0861111111111,3.0,0.0,0,110,0.0,18.3333333333
2008-08-13 21:00:00,0.125,0.0234375,8.0,0.0,0,100,0.0,5.0
2008-08-15 09:00:00,0.18,-0.04125,5.0,0.0,0,35,0.0,9.6
2008-08-18 13:00:00,0.316666666667,0.22083333333299998,6.0,0.0,0,75,0.0,10.3333333333
2008-08-25 18:00:00,0.345679012346,0.0307716049383,4.5,0.0,0,172,0.0,12.666666666700001
2008-08-27 14:00:00,0.251666666667,0.015333333333299998,10.0,0.3,0,43,0.0,11.0
2008-08-28 08:00:00,0.591666666667,0.2,3.0,0.0,1,17,0.0,16.3333333333
2008-08-28 15:00:00,0.45,0.1,1.0,0.0,1,6,0.0,32.0
2008-09-08 10:00:00,0.39,0.19,5.0,0.0,0,258,0.0,17.2
2008-09-08 13:00:00,0.225,0.1,4.0,0.0,1,2,0.0,8.25
2008-09-21 11:00:00,0.7444444444439999,0.048333333333300005,3.0,0.0,0,309,0.0,54.6666666667
2008-09-23 13:00:00,0.0,0.0,4.0,0.0,0,49,0.0,7.5
2008-10-29 18:00:00,0.610925925926,0.172037037037,9.0,0.0,0,868,0.0,22.1111111111
2008-10-30 15:00:00,0.4,0.248214285714,7.0,0.0,1,20,0.0,8.14285714286
2008-11-04 17:00:00,0.202272727273,-0.029545454545499998,11.0,0.909090909091,0,121,0.0,9.27272727273
2008-11-05 09:00:00,0.0,0.0,1.0,0.0,1,15,0.0,15.0
2008-11-06 21:00:00,0.773611111111,0.211458333333,4.0,0.0,0,35,0.0,32.5
2008-11-10 18:00:00,0.561111111111,-0.07291666666669999,2.0,0.0,0,92,0.0,30.0
2008-11-12 14:00:00,0.28869047619000004,0.152380952381,14.0,0.0,0,43,0.0,19.428571428599998
2008-11-24 19:00:00,0.3390625,0.13828125,8.0,0.0,0,292,0.0,16.375
2008-12-05 20:00:00,0.23946428571400002,-0.1375,7.0,0.357142857143,0,264,0.0,13.357142857100001
2008-12-06 17:00:00,0.25,0.1,6.0,0.33333333333299997,2,20,0.0,6.0
2008-12-10 01:00:00,0.5972222222219999,0.40833333333300004,6.0,0.0,0,79,0.0,13.333333333299999
