Date & Time,Words/Sentence,Subjectivity,Sentiment,Sentences/Post,Questions,Posts in last 24H,Inactivity,First posts
2011-02-11 21:00:00,14.8666666667,0.342694444444,-0.0966388888889,15.0,0.0,0,56513,0.0
2011-02-12 20:00:00,10.9,0.36708333333300003,-0.0175,20.0,0.0,1,22,0.0
2011-02-12 21:00:00,10.8,0.325,0.101875,10.0,0.05,2,0,0.0
2011-02-15 23:00:00,11.925,0.337569444444,0.02203125,40.0,0.05,0,73,0.0
2011-02-16 12:00:00,13.647058823499998,0.311004901961,0.00794117647059,17.0,0.0,1,12,0.0
2011-02-18 18:00:00,7.5,0.0,0.0,4.0,0.0,0,53,0.0
2011-02-18 20:00:00,12.151515151500002,0.39535521885499997,0.0131426767677,66.0,0.030303030303,1,1,0.0
2011-02-18 21:00:00,13.2,0.446666666667,-0.06666666666669999,5.0,0.0,2,0,0.0
2011-02-20 21:00:00,3.5,0.1,0.025,2.0,0.0,0,47,0.0
2011-02-20 22:00:00,11.0,0.1,0.05,4.0,0.0,1,0,0.0
2011-02-20 23:00:00,14.153846153800002,0.272094017094,0.0380341880342,13.0,0.0,2,0,0.0
2011-02-22 23:00:00,2.5,0.0,0.0,4.0,1.0,0,47,0.0
2011-02-23 22:00:00,12.846153846199998,0.451282051282,0.0362179487179,13.0,0.0769230769231,1,22,0.0
2011-02-24 10:00:00,15.666666666700001,0.5263888888889999,0.0972222222222,6.0,0.166666666667,1,11,0.0
2011-02-25 15:00:00,6.333333333330001,0.213888888889,0.09166666666670001,3.0,0.0,0,28,0.0
2011-02-25 16:00:00,11.166666666700001,0.325,0.062962962963,6.0,0.5,1,0,0.0
2011-02-25 23:00:00,14.0612244898,0.349172335601,-0.061489512471699995,9.2,0.0408163265306,2,6,0.0
2011-02-26 11:00:00,13.5483870968,0.356370967742,0.041868279569900003,10.3333333333,0.0322580645161,7,11,0.0
2011-02-27 12:00:00,17.111111111099998,0.43888888888899996,0.0416666666667,9.0,0.0,0,24,0.0
2011-02-27 21:00:00,10.6,0.0,0.0,5.0,0.2,1,8,0.0
2011-02-28 11:00:00,9.47826086957,0.241123188406,0.0545289855072,7.333333333330001,0.130434782609,2,13,0.0
2011-02-28 22:00:00,11.166666666700001,0.586805555556,0.253472222222,6.0,0.0,3,10,0.0
2011-03-01 23:00:00,13.0,0.311941489362,0.00174645390071,23.5,0.212765957447,0,24,0.0
2011-03-02 23:00:00,10.2631578947,0.271783625731,0.0505116959064,9.5,0.315789473684,2,23,0.0
2011-03-03 20:00:00,2.5,0.0,0.0,4.0,0.0,2,20,0.0
2011-03-04 19:00:00,6.4,0.24666666666700002,0.08,5.0,0.2,1,22,0.0
2011-03-05 22:00:00,9.6,0.4,-0.04375,2.5,0.4,0,26,0.0
