Date & Time,Questions,Posts in last 24H,Inactivity,First posts,Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2007-01-07 21:00:00,0.07142857142860001,0,20609,0.0,4.0,0.0093253968254,0.178273809524,9.78571428571
2007-01-07 22:00:00,0.0,3,0,0.0,10.0,-0.0421428571429,0.24404761904800001,6.19047619048
2007-01-08 13:00:00,0.25,5,14,0.0,8.0,0.196875,0.475,14.75
2007-01-09 13:00:00,0.0,1,23,0.0,6.0,-0.015277777777799999,0.302777777778,14.5
2007-01-11 11:00:00,0.0,0,45,0.0,16.0,0.0270833333333,0.1778125,6.75
2007-01-18 11:00:00,0.0,0,167,0.0,10.0,-0.0036944444444400003,0.33916666666699996,11.3
2007-01-19 14:00:00,0.0,0,26,0.0,3.0,0.116666666667,0.5,16.0
2007-01-26 18:00:00,0.0,0,171,0.0,27.0,0.00532407407407,0.12407407407400001,3.18518518519
2007-02-12 09:00:00,0.0,0,398,0.0,5.0,0.08,0.36,9.4
2007-03-02 10:00:00,0.0,0,432,0.0,9.0,0.14444444444399998,0.311111111111,16.2222222222
2007-03-12 17:00:00,0.0,0,246,0.0,2.0,0.275,0.45,7.0
2007-03-15 09:00:00,0.0,0,63,0.0,5.0,0.12,0.23,8.6
2007-03-20 16:00:00,0.0,0,126,0.0,5.0,0.19,0.355,7.6
2007-04-06 10:00:00,0.0,0,401,0.0,22.0,0.053787878787900006,0.30196969697,6.1363636363600005
2007-09-14 11:00:00,0.0,0,3864,0.0,7.0,-0.0630952380952,0.270238095238,9.57142857143
2007-09-24 13:00:00,0.14285714285700002,0,241,0.0,14.0,0.0190476190476,0.18869047619000004,11.7857142857
2007-09-24 14:00:00,0.0,1,0,0.0,3.0,0.0333333333333,0.133333333333,13.0
2007-09-25 15:00:00,0.08333333333330001,0,24,0.0,12.0,-0.0346527777778,0.210416666667,13.25
2007-09-27 16:00:00,0.272727272727,0,48,0.0,16.5,0.0765151515152,0.158838383838,7.12121212121
2007-09-28 10:00:00,0.0434782608696,2,17,0.0,11.5,0.06648550724640001,0.20985507246399998,6.39130434783
2007-09-30 20:00:00,0.0,0,57,0.0,13.0,0.052884615384599994,0.0692307692308,1.84615384615
2012-09-05 11:00:00,0.46153846153800004,0,43238,0.0,13.0,-0.00870726495726,0.29391025641,14.2307692308
2012-09-10 13:00:00,0.0,0,121,0.0,6.0,0.0,0.008333333333329999,9.333333333330001
2012-10-12 09:00:00,0.08333333333330001,0,763,0.0,12.0,0.09305555555560001,0.311111111111,13.166666666700001
2012-10-12 10:00:00,0.0,1,0,0.0,11.0,-0.0685037878788,0.20757575757599997,9.45454545455
