Date & Time,Sentiment,Sentences/Post,Questions,Posts in last 24H,Inactivity,First posts,Subjectivity,Words/Sentence
2008-12-23 23:00:00,0.061875,4.0,0.0,0,37795,0.0,0.4225,13.5
2009-04-15 00:00:00,0.15,5.0,0.4,0,2688,0.0,0.19,14.0
2009-08-14 01:00:00,0.1875,4.0,0.0,0,2904,0.0,0.5,17.5
2009-08-20 13:00:00,0.0389409722222,20.0,0.25,0,155,0.0,0.47548611111100003,17.95
2009-08-23 17:00:00,0.170192307692,13.0,0.153846153846,0,75,0.0,0.374358974359,14.153846153800002
2009-08-26 16:00:00,0.0,1.0,0.0,0,70,0.0,0.0,4.5
2009-08-28 21:00:00,0.025,2.0,0.0,0,52,0.0,0.4,5.0
2009-09-02 23:00:00,0.31,5.0,0.2,0,121,0.0,0.38,13.2
2009-09-03 00:00:00,-0.375,2.0,0.0,1,0,0.0,0.633333333333,10.0
2009-09-04 11:00:00,0.141666666667,3.0,0.0,0,34,0.0,0.266666666667,14.666666666700001
2009-09-04 14:00:00,0.0125,4.0,0.0,1,2,0.0,0.05,14.75
2009-09-12 00:00:00,0.159722222222,3.0,0.0,0,177,0.0,0.269444444444,11.666666666700001
2009-09-14 23:00:00,0.10375,4.0,0.0,0,70,0.0,0.533333333333,11.5
2009-09-15 16:00:00,0.0,1.0,0.0,1,16,0.0,0.0,17.0
2009-09-19 23:00:00,0.161111111111,3.0,0.0,0,102,0.0,0.411111111111,8.0
2009-09-20 23:00:00,0.3,4.0,0.0,1,23,0.0,0.491666666667,6.75
2009-09-21 23:00:00,0.5,2.0,0.0,1,23,0.0,0.5,10.0
2009-09-22 10:00:00,0.559166666667,1.0,0.0,1,10,0.0,0.8416666666670001,17.0
2009-09-28 00:00:00,0.06666666666669999,2.0,0.0,0,133,0.0,0.283333333333,3.5
2009-09-28 19:00:00,0.0,2.0,0.0,1,18,0.0,0.0,9.5
2009-09-30 16:00:00,0.233333333333,3.0,0.0,0,44,0.0,0.46666666666699996,4.66666666667
2009-10-04 13:00:00,0.65,2.0,0.0,0,92,0.0,0.925,10.0
2009-10-06 00:00:00,0.0,1.0,0.0,0,34,0.0,0.0,14.0
2009-10-09 12:00:00,0.240416666667,2.0,0.0,0,83,0.0,0.472916666667,11.0
2009-10-09 16:00:00,0.075,2.0,0.0,2,3,0.0,0.5,9.5
2009-10-14 01:00:00,0.14,5.0,0.0,0,104,0.0,0.32,10.8
2009-10-24 01:00:00,0.9,1.0,0.0,0,239,0.0,1.0,2.0
2009-10-29 00:00:00,0.0,3.0,0.0,0,118,0.0,0.0,13.333333333299999
2009-11-17 23:00:00,0.0,1.0,1.0,0,478,0.0,0.0,5.0
2009-11-24 11:00:00,-0.0854166666667,4.0,0.0,0,155,0.0,0.454166666667,16.75
2009-12-21 14:00:00,0.04583333333330001,6.0,0.0,0,650,0.0,0.133333333333,8.833333333330001
2009-12-21 21:00:00,0.17777777777800002,6.0,0.0,1,6,0.0,0.388888888889,11.166666666700001
2010-01-11 18:00:00,0.55,1.0,0.0,0,500,0.0,0.85,13.0
2010-01-16 00:00:00,0.0,3.0,0.33333333333299997,0,101,0.0,0.111111111111,11.666666666700001
2010-04-25 12:00:00,0.24583333333299998,4.0,0.0,0,2387,0.0,0.491666666667,15.75
2010-05-06 13:00:00,0.4,1.0,0.0,0,264,0.0,0.9,10.0
2010-05-08 14:00:00,0.64,1.0,0.0,0,48,0.0,1.0,12.0
2010-05-10 12:00:00,0.0,3.0,0.0,0,45,0.0,0.0,6.333333333330001
2010-05-11 12:00:00,0.0,1.0,0.0,1,23,0.0,0.0,13.0
2010-05-12 01:00:00,0.55,1.0,0.0,1,12,0.0,0.9,11.0
2010-07-13 13:00:00,0.0,3.0,0.0,0,1499,0.0,0.0,9.333333333330001
2010-09-08 00:00:00,0.0,2.0,0.0,0,1354,0.0,0.0,5.5
2010-09-10 14:00:00,0.00625,8.0,0.125,0,61,0.0,0.2625,12.0
2010-09-22 11:00:00,0.19666666666700003,5.0,0.0,0,284,0.0,0.40333333333300003,10.4
2010-09-23 00:00:00,-0.05,1.0,0.0,1,12,0.0,0.7,16.0
2010-10-29 23:00:00,0.14,5.0,0.0,0,886,0.0,0.2,5.2
2010-11-11 19:00:00,0.32,2.0,0.0,0,307,0.0,0.5,6.5
2010-11-12 10:00:00,0.0,1.0,0.0,1,14,0.0,0.0,16.0
2010-11-16 14:00:00,0.433333333333,3.0,0.0,0,99,0.0,0.6,6.0
2010-11-17 15:00:00,0.19416666666700003,4.0,0.0,0,24,0.0,0.7166666666670001,8.75
2011-03-25 13:00:00,0.23600000000000002,5.0,0.0,0,3069,0.0,0.352222222222,9.5
2011-04-05 00:00:00,0.2025,4.0,0.0,0,250,0.0,0.467083333333,19.25
2011-05-13 16:00:00,0.0,6.0,0.0,0,927,0.0,0.116666666667,7.833333333330001
2011-06-05 13:00:00,0.44111111111100004,5.0,0.0,0,548,0.0,0.7166666666670001,18.0
2011-06-09 01:00:00,0.383333333333,3.0,0.0,0,83,0.0,0.516666666667,9.333333333330001
2011-06-11 00:00:00,0.2,3.0,0.0,0,46,0.0,0.322222222222,11.333333333299999
2011-06-11 11:00:00,0.03125,6.0,0.0,1,10,0.0,0.075,4.83333333333
2011-06-12 00:00:00,0.34583333333300004,4.0,0.0,2,12,0.0,0.545833333333,13.75
2011-06-16 10:00:00,0.06666666666669999,3.0,0.0,0,105,0.0,0.33333333333299997,4.66666666667
2011-07-15 15:00:00,0.4,1.0,0.0,0,700,0.0,0.75,14.0
2011-07-25 00:00:00,0.0,2.0,0.0,0,224,0.0,0.0,4.0
2011-08-02 17:00:00,0.0,1.0,0.0,0,208,0.0,0.0,14.0
2011-08-06 17:00:00,0.0333333333333,4.0,0.25,0,95,0.0,0.141666666667,6.25
2011-08-14 12:00:00,-0.25,2.0,0.0,0,186,0.0,0.45,2.0
2011-09-01 12:00:00,0.044444444444399996,3.0,0.0,0,431,0.0,0.255555555556,7.666666666669999
2012-01-23 22:00:00,0.4,3.0,0.0,0,3465,0.0,0.655555555556,6.0
2012-01-26 00:00:00,0.0,4.0,0.0,0,49,0.0,0.05,10.5
2012-01-29 22:00:00,-0.133333333333,1.5,0.0,0,93,0.0,0.233333333333,10.3333333333
2012-02-09 10:00:00,0.06666666666669999,3.0,0.0,0,251,0.0,0.33333333333299997,24.6666666667
2012-02-29 14:00:00,0.0625,8.0,0.0,0,483,0.0,0.38125,10.5
2012-03-01 10:00:00,0.2075,4.0,0.0,1,19,0.0,0.4,10.25
2012-03-03 14:00:00,0.55,1.0,0.0,0,51,0.0,0.9,12.0
2012-03-04 15:00:00,0.19895833333299998,6.0,0.166666666667,0,24,0.0,0.316666666667,6.166666666669999
2012-03-08 11:00:00,0.225,4.0,0.0,0,91,0.0,0.3,11.25
2012-03-08 18:00:00,-0.233333333333,2.0,0.0,1,6,0.0,0.366666666667,9.5
2012-03-18 20:00:00,-0.198333333333,6.0,0.0,0,241,0.0,0.5616666666669999,15.666666666700001
2012-03-19 17:00:00,-0.0622222222222,3.0,0.0,1,20,0.0,0.316666666667,12.666666666700001
2012-03-26 16:00:00,0.06666666666669999,2.0,0.0,0,166,0.0,0.283333333333,4.0
2012-04-09 00:00:00,0.06666666666669999,3.0,0.0,0,319,0.0,0.45,12.333333333299999
2012-04-09 18:00:00,0.18666666666700002,5.0,0.0,1,17,0.0,0.373333333333,5.6
2012-04-27 23:00:00,0.0,1.0,0.0,0,436,0.0,0.0,0.0
2012-04-28 12:00:00,0.02,5.0,0.0,1,12,0.0,0.22,11.4
2012-05-14 17:00:00,0.0,2.0,0.0,0,388,0.0,0.0,7.5
2012-06-29 14:00:00,-0.043377976190499996,4.0,0.0,0,1100,0.0,0.41755208333300003,17.5
2012-07-28 17:00:00,0.133333333333,1.0,0.0,0,698,0.0,0.5666666666669999,8.0
2012-08-05 00:00:00,0.64,1.0,0.0,0,174,0.0,1.0,6.0
2012-08-26 02:00:00,0.133333333333,1.0,0.0,0,505,0.0,0.5666666666669999,19.0
2012-09-07 12:00:00,0.133333333333,1.0,0.0,0,297,0.0,0.5666666666669999,6.0
2012-10-24 17:00:00,0.5,2.0,0.0,0,1132,0.0,0.933333333333,12.0
2012-12-21 23:00:00,0.00875,5.0,0.0,0,1397,1.0,0.282083333333,23.2
2013-07-02 23:00:00,0.0,1.0,0.0,0,4631,0.0,0.0,13.0
