Date & Time,Sentences/Post,Questions,Posts in last 24H,Inactivity,First posts,Sentiment,Subjectivity,Words/Sentence
2016-07-13 20:00:00,11.0,0.0,0,104008,0.0,0.0602272727273,0.177272727273,12.4545454545
2016-07-14 11:00:00,8.0,0.25,1,14,1.0,-0.193125,0.5030208333330001,17.125
2016-07-15 21:00:00,4.0,0.0,0,33,0.0,0.0375,0.075,16.0
2016-07-17 23:00:00,2.0,0.5,0,49,0.0,0.0,0.166666666667,10.5
2016-07-18 11:00:00,2.5,0.33333333333299997,1,11,0.5,0.09166666666670001,0.269444444444,13.5
2016-07-28 22:00:00,8.0,0.0,0,250,0.0,-0.1625,0.29375,13.625
2016-08-01 18:00:00,10.0,0.3,0,91,1.0,0.0933333333333,0.24333333333299997,11.6
2016-08-04 14:00:00,8.0,0.125,0,67,0.0,0.022916666666700003,0.514583333333,13.25
2016-08-07 22:00:00,3.0,0.0,0,79,0.0,0.142222222222,0.33333333333299997,15.333333333299999
2016-08-08 08:00:00,1.0,0.0,1,9,0.0,0.0,0.0,12.0
2016-08-08 12:00:00,8.0,0.375,2,3,0.0,-0.025,0.234375,17.125
2016-08-09 09:00:00,6.0,0.166666666667,1,20,1.0,-0.028333333333299997,0.416666666667,17.5
2016-08-09 11:00:00,6.0,0.0,2,1,0.0,0.142592592593,0.613888888889,15.333333333299999
2016-08-13 11:00:00,10.0,0.2,0,95,1.0,0.040069444444400006,0.36888888888899996,16.8
2016-08-16 09:00:00,3.0,0.33333333333299997,0,69,1.0,0.131111111111,0.205138888889,27.3333333333
2016-08-17 09:00:00,1.0,0.0,1,23,0.0,0.1,0.433333333333,24.0
2016-08-17 11:00:00,6.0,0.166666666667,1,1,0.0,-0.129166666667,0.1625,13.5
2016-08-17 12:00:00,8.0,0.125,2,0,0.0,0.00416666666667,0.120833333333,13.75
2016-08-17 19:00:00,1.0,0.0,3,6,0.0,-0.1,0.9,5.0
2016-08-18 19:00:00,2.0,0.5,1,23,1.0,0.0,0.15,14.0
2016-08-19 10:00:00,1.0,0.0,1,14,0.0,0.275,0.375,23.0
2016-08-19 11:00:00,3.0,0.666666666667,2,0,1.0,-0.0333333333333,0.5666666666669999,15.666666666700001
2016-08-19 20:00:00,3.0,0.33333333333299997,2,8,0.0,0.111111111111,0.222222222222,20.6666666667
2016-08-19 21:00:00,2.0,0.0,3,0,0.0,0.0,0.0,10.0
2016-08-20 19:00:00,1.0,0.0,2,21,0.0,0.0,0.0,13.0
2016-08-25 22:00:00,8.0,0.125,0,122,1.0,0.003125,0.35625,15.375
2016-08-30 16:00:00,3.0,0.0,0,113,0.0,0.18333333333299998,0.283333333333,15.666666666700001
2016-08-31 09:00:00,4.0,0.25,1,16,1.0,-0.0724609375,0.278125,14.75
2016-09-01 21:00:00,13.0,0.111111111111,0,35,0.5,-0.06439300411519999,0.402890946502,11.518518518499999
2016-09-03 18:00:00,3.0,0.0,0,44,0.0,0.134814814815,0.7618518518520001,20.3333333333
2016-09-04 19:00:00,3.0,0.0,0,24,0.0,0.0681481481481,0.45629629629600005,10.6666666667
2016-09-05 00:00:00,9.0,0.33333333333299997,1,4,1.0,0.0,0.0333333333333,6.666666666669999
2016-09-06 11:00:00,12.0,0.5,0,34,1.0,0.10120659722200001,0.428819444444,14.75
2016-11-30 20:00:00,9.0,0.111111111111,0,2048,1.0,0.0333333333333,0.166666666667,17.444444444400002
2016-12-01 09:00:00,4.0,0.25,1,12,0.0,-0.1125,0.3875,12.0
2017-06-02 12:00:00,8.0,0.5,0,4394,1.0,0.08125,0.16875,15.0
2017-06-05 16:00:00,3.0,0.0,0,75,0.0,-0.325,0.33333333333299997,8.333333333330001
2017-07-03 08:00:00,1.0,0.0,0,663,1.0,0.15,0.45,14.0
2017-07-16 16:00:00,12.0,0.583333333333,0,319,1.0,0.0027777777777800005,0.0513888888889,8.083333333330001
2017-07-17 15:00:00,11.0,0.0,1,22,0.0,0.0536363636364,0.235454545455,11.3636363636
2017-07-19 12:00:00,20.0,0.25,0,44,0.0,-0.020833333333299998,0.24416666666700002,12.4
2017-07-27 10:00:00,9.0,0.222222222222,0,189,1.0,-0.0824814814815,0.376666666667,17.7777777778
2017-08-07 10:00:00,7.0,0.28571428571400004,0,263,0.0,-0.0261904761905,0.164285714286,14.142857142899999
2017-08-09 16:00:00,23.0,0.08695652173910001,0,53,1.0,-0.024637681159399998,0.253019323671,13.173913043499999
2017-08-10 08:00:00,1.0,0.0,1,15,0.0,0.0,0.0,5.0
2017-08-11 09:00:00,1.0,1.0,0,24,0.0,0.05,0.8,14.0
2017-08-18 22:00:00,2.0,0.0,0,180,0.0,0.2,0.4875,11.5
