Date & Time,Posts in last 24H,Inactivity,First posts,Questions,Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2006-10-07 11:00:00,3,0,0.0,0.125,8.0,0.025,0.05625,3.625
2006-10-13 21:00:00,0,153,0.0,0.193548387097,31.0,0.0362903225806,0.107258064516,4.1935483871
2006-10-14 08:00:00,1,10,0.0,0.357142857143,14.0,0.064880952381,0.135714285714,4.8571428571399995
2006-10-14 09:00:00,2,0,0.0,0.0,1.0,0.0,0.0,7.0
2006-10-16 11:00:00,0,49,0.0,0.133333333333,15.0,0.015833333333299997,0.19,6.666666666669999
2006-10-16 17:00:00,1,5,0.0,0.0,9.0,0.0777777777778,0.14444444444399998,5.33333333333
2006-10-20 21:00:00,0,99,0.0,0.1875,16.0,-0.0311197916667,0.147395833333,6.125
2006-11-01 22:00:00,0,288,0.0,0.619047619048,21.0,-0.0190476190476,0.0333333333333,3.0
2006-11-02 12:00:00,1,13,0.0,0.0,5.0,0.14,0.233333333333,7.0
2006-11-05 16:00:00,0,75,0.0,0.833333333333,12.0,0.0,0.0,3.58333333333
2006-11-05 20:00:00,1,3,0.5,0.0,5.5,0.145833333333,0.283333333333,7.75
2006-11-06 08:00:00,3,11,0.0,0.0,43.0,-0.00581395348837,0.0587209302326,2.7441860465099994
2006-11-07 11:00:00,0,26,0.0,0.611111111111,36.0,0.0328935185185,0.131018518519,5.08333333333
2006-11-07 18:00:00,1,6,0.0,0.4,15.0,-0.021666666666700002,0.05083333333330001,4.8
2006-11-08 18:00:00,1,23,0.0,0.14285714285700002,7.0,-0.113095238095,0.40952380952399997,15.5714285714
2006-11-13 09:00:00,0,110,0.0,0.0,10.0,0.13,0.15,2.5
2006-11-13 12:00:00,1,2,0.0,0.28571428571400004,7.0,-0.00119047619048,0.4875,14.0
2006-11-17 08:00:00,0,91,0.0,0.428571428571,7.0,0.0,0.114285714286,11.4285714286
2006-11-17 11:00:00,1,2,0.0,0.0,8.0,0.19270833333299997,0.398958333333,8.25
2006-11-20 10:00:00,0,70,0.0,0.666666666667,9.0,0.0166666666667,0.141666666667,10.1111111111
2006-11-23 19:00:00,0,80,0.0,0.0,7.0,0.22380952380999997,0.325,9.14285714286
2006-11-24 08:00:00,1,12,0.0,0.2,5.0,0.00925,0.264166666667,15.0
2006-12-07 11:00:00,0,314,0.0,0.132075471698,26.0,0.026830637915500003,0.10646900269500001,5.8679245283000006
