Date & Time,Subjectivity,Sentiment,Sentences/Post,Questions,Posts in last 24H,Inactivity,First posts,Words/Sentence
2005-11-17 22:00:00,0.26041666666700003,-0.158333333333,3.0,0.0,5,3,0.0,6.0
2005-11-18 15:00:00,0.0416666666667,0.0166666666667,12.0,0.08333333333330001,3,16,0.0,2.91666666667
2005-11-18 17:00:00,0.145238095238,-0.0797619047619,10.5,0.0952380952381,4,1,0.0,7.04761904762
2005-11-19 12:00:00,0.0,0.0,2.0,0.0,3,18,0.0,6.5
2005-11-19 19:00:00,0.166666666667,-0.075,6.0,0.0,1,6,0.0,7.833333333330001
2005-11-19 23:00:00,0.305555555556,-0.105555555556,12.0,0.0,2,3,0.0,10.916666666700001
2005-11-20 16:00:00,0.2,-0.025,1.5,0.0,2,16,0.0,8.25
2005-11-21 17:00:00,0.181481481481,0.06574074074070001,5.666666666669999,0.555555555556,0,24,0.0,4.94444444444
2005-11-22 18:00:00,0.25833333333299996,0.005555555555560001,4.0,0.0,0,24,0.0,9.75
2005-11-29 17:00:00,0.311111111111,0.0317361111111,18.0,0.0277777777778,0,166,0.0,11.0555555556
2005-11-30 14:00:00,0.14944444444399999,0.024305555555599996,12.0,0.08333333333330001,2,20,0.0,10.1666666667
2005-12-01 15:00:00,0.4,0.005555555555560001,3.0,0.0,0,24,0.0,7.0
2005-12-05 10:00:00,0.105909090909,0.0,11.0,0.0,0,90,0.0,8.45454545455
2005-12-05 11:00:00,0.0,0.0,1.0,0.0,1,0,0.0,0.0
2005-12-05 16:00:00,0.0,0.0,2.66666666667,0.222222222222,2,4,0.0,3.11111111111
2005-12-06 16:00:00,0.06875,0.034375,4.0,0.125,3,23,0.0,5.125
2005-12-08 16:00:00,0.30666666666700004,-0.04666666666669999,5.0,0.0,0,47,0.0,6.2
2005-12-09 17:00:00,0.21666666666700002,0.15,6.0,0.0,0,24,0.0,4.16666666667
2005-12-20 17:00:00,0.0,0.0,1.0,0.0,0,263,0.0,32.0
2005-12-22 15:00:00,0.344074074074,-0.0194444444444,4.0,0.111111111111,0,45,0.0,8.22222222222
2006-01-02 15:00:00,0.0,0.0,4.0,0.0,0,263,0.0,5.0
2006-01-08 17:00:00,0.233333333333,0.0,3.0,0.0,0,145,0.0,6.333333333330001
2006-01-09 18:00:00,0.123550724638,-0.028695652173900004,11.5,0.434782608696,0,24,0.0,4.739130434780001
2006-01-09 19:00:00,0.311666666667,0.158333333333,6.0,0.166666666667,2,0,0.0,11.333333333299999
2006-01-11 18:00:00,0.20600000000000002,-0.04,6.333333333330001,0.05,0,46,0.0,9.1
2006-01-12 13:00:00,0.207692307692,0.0692307692308,13.0,0.692307692308,3,18,0.0,3.4615384615400004
2006-01-12 14:00:00,0.0,0.0,4.0,0.0,4,0,0.0,1.75
2006-01-13 16:00:00,0.06666666666669999,0.0,5.5,0.25,0,25,0.0,6.416666666669999
2006-01-13 17:00:00,0.071875,0.04375,8.0,0.625,2,0,0.0,12.25
2006-01-14 11:00:00,0.2465,0.0905,5.0,0.2,3,17,0.0,8.2
2006-01-14 14:00:00,0.461705882353,0.027999999999999997,17.0,0.0588235294118,4,2,0.0,11.4117647059
2006-01-14 16:00:00,0.276666666667,0.155333333333,10.0,0.1,5,1,0.0,7.1
2006-01-14 17:00:00,0.38230769230800005,-0.115,6.5,0.0,4,0,0.0,8.53846153846
2006-01-14 18:00:00,0.37791666666699997,0.02875,10.0,0.0,5,0,0.0,15.2
2006-01-15 14:00:00,0.132142857143,0.0392857142857,6.5,0.07142857142860001,5,19,0.0,7.214285714289999
2006-01-16 18:00:00,0.47083333333300004,0.0188194444444,6.0,0.0,0,27,0.0,14.5
