Date & Time,First posts,Inactivity,Posts in last 24H,Questions,Sentences/Post,Sentiment,Subjectivity,Words/Sentence,ETD
2006-08-17 12:00:00,0.0,17168,0,0.166666666667,6.0,-0.116666666667,0.34166666666699996,10.833333333299999,795
2006-08-17 17:00:00,0.0,4,1,0.0,3.0,0.0,0.0,3.33333333333,794
2006-08-24 21:00:00,0.0,171,0,0.0,7.0,0.0047619047619,0.0571428571429,19.0,787
2006-08-31 22:00:00,0.0,168,0,0.125,8.0,0.06666666666669999,0.108333333333,10.125,780
2006-09-28 16:00:00,0.0,665,0,0.5,6.0,-0.08125,0.25833333333299996,19.1666666667,752
2006-09-28 20:00:00,0.0,3,1,0.2,5.0,-0.162083333333,0.34583333333300004,21.6,752
2006-10-19 21:00:00,0.0,504,0,0.307692307692,13.0,-0.0384615384615,0.183205128205,9.07692307692,731
2006-10-31 14:00:00,0.0,280,0,0.0,2.0,-0.125,0.3,14.0,719
2006-10-31 16:00:00,0.0,1,1,0.0,3.0,0.0,0.0,2.66666666667,719
2006-11-05 10:00:00,0.0,113,0,0.0,8.0,0.039583333333300004,0.20833333333299997,18.625,715
2006-11-05 20:00:00,0.0,9,1,0.0,1.0,0.0,0.0,14.0,714
2006-11-05 23:00:00,0.0,2,2,0.0,6.5,0.10897435897399999,0.253846153846,9.46153846154,714
2006-11-06 18:00:00,0.0,18,3,0.2,10.0,0.025,0.1275,9.9,713
2006-12-02 10:00:00,0.0,615,0,0.666666666667,3.0,0.05416666666669999,0.458333333333,23.3333333333,688
2006-12-11 09:00:00,0.0,214,0,0.0,4.0,0.0,0.0,8.5,679
2006-12-14 23:00:00,0.0,85,0,0.0,11.0,0.09962121212120001,0.318181818182,8.72727272727,675
2006-12-15 17:00:00,0.0,17,1,0.0,2.0,0.19791666666700003,0.386458333333,67.5,674
2006-12-15 19:00:00,0.0,1,2,0.0,3.5,0.059375,0.289285714286,12.5714285714,674
2006-12-15 23:00:00,0.0,3,4,0.0,1.0,0.0,0.0,8.0,674
2006-12-16 16:00:00,0.0,16,4,0.0,4.0,0.0375,0.31875,12.75,673
2006-12-17 19:00:00,0.0,26,0,0.181818181818,11.0,0.152146464646,0.31338383838399997,11.5454545455,672
2006-12-20 10:00:00,0.0,62,0,0.0,5.0,0.085,0.38,12.4,670
2006-12-27 10:00:00,0.0,167,0,0.0,4.0,0.18958333333299998,0.375,6.0,663
2007-01-03 19:00:00,0.0,176,0,0.1875,8.0,0.00447916666667,0.23229166666700002,10.5625,655
2007-01-06 16:00:00,0.0,68,0,0.0,8.0,0.04140625,0.075,9.75,652
2007-01-06 19:00:00,0.0,2,1,0.0,4.0,0.0,0.025,5.5,652
2007-01-11 17:00:00,0.0,117,0,0.0,3.5,0.3140625,0.557291666667,14.75,647
2007-01-11 18:00:00,0.0,0,2,0.0,4.0,0.0,0.0,5.75,647
2007-01-13 17:00:00,0.0,46,0,0.0,3.0,0.0,0.0333333333333,25.0,645
2007-01-17 17:00:00,0.0,95,0,0.0,2.0,0.05,0.5,18.5,641
2007-01-17 22:00:00,0.0,4,1,0.2,5.0,0.1175,0.32,16.6,641
2007-01-21 19:00:00,0.0,92,0,0.0,3.0,0.27083333333299997,0.383333333333,11.333333333299999,637
2007-01-25 16:00:00,0.0,92,0,0.0,4.0,0.0,0.0625,22.25,633
2007-01-29 20:00:00,0.0,99,0,0.0,3.0,0.33333333333299997,0.33333333333299997,2.33333333333,629
2007-02-02 20:00:00,0.0,95,0,0.0,2.0,-0.1375,0.35,13.5,625
2007-02-07 22:00:00,0.0,121,0,0.0,5.0,0.005,0.07,15.6,620
2007-02-12 12:00:00,0.0,109,0,0.0,1.0,-0.233333333333,0.7,72.0,616
2007-03-01 10:00:00,0.0,405,0,0.5,2.0,0.0,0.05,46.5,599
2007-03-06 08:00:00,0.0,117,0,0.0,1.0,0.0,0.7,25.0,594
2007-03-06 13:00:00,0.0,4,1,0.0,1.0,0.0,0.0,42.0,594
2007-03-06 15:00:00,0.0,1,2,0.14285714285700002,3.5,-0.0457142857143,0.14285714285700002,24.285714285700003,593
2007-03-06 16:00:00,0.0,0,4,1.0,1.0,0.1,0.35,26.0,593
2007-03-06 17:00:00,0.0,0,5,0.0,3.0,0.22916666666700003,0.3,2.33333333333,593
2007-03-09 17:00:00,0.0,71,0,0.2,5.0,0.2175,0.34,12.4,590
2007-03-10 08:00:00,0.0,14,1,0.0,2.0,0.3125,0.35,30.75,590
2007-03-14 19:00:00,0.0,106,0,0.4,5.0,0.008333333333329999,0.40166666666699996,20.8,585
2007-04-22 17:00:00,0.0,933,0,0.0,2.0,0.166979166667,0.275,31.5,546
2007-04-23 11:00:00,0.0,17,1,0.0,1.0,0.62,1.0,21.0,546
2007-09-13 13:00:00,0.0,3433,0,0.33333333333299997,3.0,-0.0625,0.25833333333299996,28.3333333333,403
2007-10-23 12:00:00,0.0,958,0,0.14285714285700002,7.0,0.047619047619,0.233333333333,8.28571428571,363
2008-10-19 15:00:00,0.0,8690,0,0.0,2.0,-0.0942708333333,0.3,16.5,0
2008-10-20 13:00:00,0.0,21,2,0.0,1.0,0.0,0.0,22.0,0
