Date & Time,First posts,Inactivity,Questions,Recent posts (xH),Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2017-09-05 13:00:00,0.0,114057.0,0.05,1.0,20.0,0.018250000000000016,0.371,9.65
2017-09-05 14:00:00,1.0,0.0,0.0,2.0,24.0,-0.008211805555555554,0.28954861111111113,12.791666666666666
2017-09-05 20:00:00,0.25,5.0,0.0,6.0,9.0,0.03475975975975977,0.35186186186186186,10.513513513513514
2017-09-06 09:00:00,0.0,12.0,0.0,7.0,11.0,0.1568181818181818,0.30909090909090914,10.090909090909092
2017-09-06 12:00:00,0.0,2.0,0.05555555555555555,8.0,18.0,-0.06597222222222222,0.47083333333333344,13.38888888888889
2017-09-06 20:00:00,0.0,7.0,0.0,3.0,9.0,0.23333333333333334,0.5555555555555556,11.666666666666666
2017-09-08 09:00:00,0.5,36.0,0.04,2.0,12.0,0.045666666666666675,0.41940000000000005,13.52
2017-09-08 14:00:00,0.0,4.0,0.0,3.0,12.0,0.004861111111111105,0.4256944444444444,12.5
2017-09-08 19:00:00,0.0,4.0,0.0,4.0,6.0,0.26805555555555555,0.6236111111111111,12.166666666666666
2017-09-10 16:00:00,0.0,44.0,0.0,1.0,14.0,0.042440476190476195,0.23214285714285715,10.142857142857142
2017-09-11 16:00:00,0.0,23.0,0.0,1.0,10.0,-0.006249999999999955,0.5050000000000001,10.7
2017-09-11 18:00:00,0.0,1.0,0.0,2.0,16.0,0.05598958333333333,0.33472222222222225,14.25
2017-09-11 23:00:00,0.0,4.0,0.0,3.0,19.0,0.026491228070175437,0.4326754385964912,13.368421052631579
2017-09-12 19:00:00,0.0,19.0,0.0,2.0,10.0,0.17625,0.39875,12.5
2017-09-13 09:00:00,0.0,13.0,0.0,2.0,16.0,-0.06567708333333334,0.3503645833333333,13.25
2017-09-13 16:00:00,0.0,6.0,0.045454545454545456,3.0,22.0,0.07992424242424243,0.3011363636363636,13.045454545454545
2017-09-13 20:00:00,0.0,3.0,0.0,3.0,11.0,0.008459595959595965,0.32449494949494945,10.181818181818182
2017-09-15 23:00:00,0.0,50.0,0.0,2.0,12.5,0.12692307692307692,0.4216346153846154,12.961538461538462
2017-09-19 22:00:00,0.0,94.0,0.18181818181818182,2.0,5.0,0.05950757575757575,0.4707575757575757,8.363636363636363
2017-09-19 23:00:00,0.0,0.0,0.02702702702702703,3.0,74.0,0.09259572072072071,0.378048048048048,10.72972972972973
2017-09-20 08:00:00,0.0,8.0,0.0,4.0,9.0,0.21296296296296294,0.38814814814814813,14.88888888888889
2017-09-20 20:00:00,0.0,11.0,0.06666666666666667,6.0,7.5,0.14194444444444446,0.39722222222222225,12.533333333333333
2017-09-21 09:00:00,0.0,12.0,0.0,3.0,12.0,-0.008680555555555552,0.2777777777777778,10.75
2017-09-22 10:00:00,0.0,24.0,0.0,1.0,10.0,-0.04499999999999999,0.15,9.0
2017-09-22 14:00:00,0.0,3.0,0.0,2.0,9.0,-0.06555555555555555,0.26666666666666666,12.11111111111111
2017-09-24 19:00:00,0.0,52.0,0.05263157894736842,2.0,9.5,0.06152046783625732,0.4126023391812866,14.105263157894736
2017-09-24 20:00:00,0.0,0.0,0.0,3.0,11.0,0.08631313131313131,0.5275757575757576,18.636363636363637
2017-09-25 16:00:00,0.0,19.0,0.0,4.0,10.0,0.017500000000000005,0.4756666666666667,13.4
2017-10-01 19:00:00,0.0,146.0,0.0,1.0,7.0,0.16904761904761906,0.26666666666666666,8.142857142857142
