Date & Time,Churn in 3m,Churn in 6m,Churn in y,First posts,Inactivity,Posts in last 24H,Questions,Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2012-06-25 04:00:00,0,0,0,0.0,2854,0,0.6666666666666666,3.0,0.05000000000000001,0.48037634408602153,27.333333333333332
2012-12-29 04:00:00,0,0,0,1.0,186,0,0.375,8.0,-0.006250000000000002,0.12708333333333333,11.375
2012-12-30 04:00:00,0,0,0,0.0,0,1,0.0,3.0,0.09013888888888888,0.4877777777777778,14.166666666666666
2012-12-31 04:00:00,0,0,0,0.0,0,3,0.2,5.0,0.14333333333333334,0.32666666666666666,11.2
2013-01-02 04:00:00,0,0,0,0.0,1,4,0.0,7.0,0.0,0.0,10.571428571428571
2013-01-07 04:00:00,0,0,0,0.0,4,5,0.0,9.0,-0.033333333333333326,0.27740740740740744,13.333333333333334
2013-01-08 04:00:00,0,0,0,0.0,0,6,0.0,10.0,0.08075000000000002,0.30674999999999997,8.5
2013-01-09 04:00:00,0,0,0,0.0,0,7,0.0,20.0,0.12045833333333336,0.2885416666666666,10.95
2013-01-13 04:00:00,0,0,0,0.0,3,8,0.0,7.0,0.26642857142857146,0.5177678571428571,7.0
2013-01-19 04:00:00,0,0,0,0.5,5,9,0.07142857142857142,7.0,-0.031150793650793644,0.3128174603174604,12.285714285714286
2013-01-20 04:00:00,0,0,0,0.0,0,11,0.4,3.0,-0.0875,0.22999999999999998,8.2
2013-01-21 04:00:00,0,0,0,0.0,0,14,0.0,12.0,0.007407407407407418,0.23217592592592592,8.416666666666666
2013-01-22 04:00:00,0,0,0,0.0,0,15,0.1875,16.0,0.17994791666666668,0.4083333333333333,12.75
2013-01-23 04:00:00,0,0,0,0.0,0,15,0.16666666666666666,6.0,0.018055555555555564,0.23055555555555554,9.333333333333334
2013-01-24 04:00:00,0,0,0,0.0,0,15,0.0,2.0,0.0,0.0,3.5
2013-01-25 04:00:00,0,0,0,0.0,0,15,0.0,2.5,0.02833333333333334,0.22999999999999998,18.2
2013-01-30 04:00:00,0,0,0,0.0,4,16,0.0,4.0,-0.15000000000000002,0.1875,8.0
2013-02-01 04:00:00,0,0,0,0.0,1,16,0.0,12.0,0.002083333333333335,0.24444444444444446,10.833333333333334
2013-02-02 04:00:00,0,0,0,0.0,0,16,0.0,11.0,0.001304347826086953,0.3997826086956522,16.08695652173913
2013-02-04 04:00:00,0,0,0,0.0,1,17,0.08695652173913043,22.5,0.0382427536231884,0.3052234299516908,15.41304347826087
2013-02-05 04:00:00,0,0,0,0.0,0,19,0.07142857142857142,14.0,-0.0029761904761904496,0.36059523809523814,15.857142857142858
2013-02-07 04:00:00,0,0,0,0.0,1,19,0.0,8.0,0.203125,0.24375,5.375
2013-02-12 04:00:00,0,0,0,0.3333333333333333,4,20,0.07142857142857142,9.0,0.031104710701484888,0.19235919098822324,8.857142857142858
2013-02-13 04:00:00,0,0,0,0.0,0,21,0.2,5.0,0.19916666666666666,0.5508333333333333,14.6
2013-02-19 04:00:00,0,0,0,0.0,5,12,0.0,5.0,-0.024999999999999998,0.32,13.6
2013-02-25 04:00:00,0,0,0,0.0,5,12,0.0,5.0,0.0,0.0,1.8
2013-02-26 04:00:00,0,0,0,0.0,0,12,0.0,4.0,0.31375,0.59125,15.25
2013-03-27 04:00:00,0,0,0,0.0,28,0,0.0,9.0,-0.022222222222222216,0.2111111111111111,9.11111111111111
2013-03-31 04:00:00,0,0,0,0.0,3,1,0.1111111111111111,9.0,0.01574074074074074,0.20370370370370372,9.777777777777779
2013-04-01 04:00:00,0,0,0,0.0,0,2,0.4,2.5,0.0,0.0,10.6
2013-04-02 04:00:00,0,0,0,0.0,0,4,0.08333333333333333,5.5,-0.01805555555555556,0.2027777777777778,12.083333333333334
2013-04-04 04:00:00,0,0,0,0.0,1,6,0.0,4.0,0.13749999999999998,0.25,17.5
2013-04-05 04:00:00,0,0,0,0.0,0,7,0.5,2.0,0.41666666666666663,0.7333333333333334,16.0
2013-04-07 04:00:00,0,0,0,0.0,1,8,0.0,4.0,-0.05312499999999998,0.4666666666666667,7.0
2013-04-12 04:00:00,0,0,0,0.0,4,9,0.0,5.0,0.2,0.2,2.2
2013-05-10 04:00:00,0,0,0,0.0,27,0,0.11764705882352941,17.0,-0.09697712418300652,0.2583006535947712,14.764705882352942
2013-05-15 04:00:00,0,0,0,0.0,4,1,0.2,5.0,-0.072,0.32199999999999995,15.2
2013-05-18 04:00:00,0,0,0,0.0,2,2,0.0,5.5,0.2474074074074074,0.5493518518518518,12.5
