Date & Time,First posts,Inactivity,Posts in last 24H,Questions,Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2006-11-15 14:00:00,0.0,19330,0,0.0,10.0,-0.0291666666667,0.409722222222,14.6
2006-11-15 16:00:00,0.0,1,1,0.0,8.0,-0.05625,0.466666666667,7.125
2007-11-10 11:00:00,0.0,8634,0,0.0,3.0,-0.0277777777778,0.0888888888889,8.0
2011-01-20 18:00:00,0.0,28014,0,0.4,5.0,0.075,0.215,15.8
2011-01-21 09:00:00,0.0,14,1,0.285714285714,7.0,-0.0214285714286,0.1,7.71428571429
2011-01-21 20:00:00,0.0,10,1,0.2,5.0,0.143333333333,0.356666666667,14.2
2011-04-09 15:00:00,0.0,1866,0,0.117647058824,8.5,0.0794117647059,0.152941176471,7.94117647059
2011-04-09 16:00:00,0.0,0,2,0.2,5.0,0.35,0.62,9.0
2011-04-09 17:00:00,0.0,0,3,0.0,7.0,-0.109523809524,0.190476190476,7.42857142857
2011-04-09 20:00:00,0.0,2,4,0.125,4.0,-0.10625,0.460416666667,10.375
2011-04-09 21:00:00,0.0,0,6,0.5,4.0,0.0,0.04,5.75
2011-04-09 23:00:00,0.0,1,7,0.0,9.0,-0.1,0.311111111111,10.1111111111
2011-04-10 12:00:00,0.0,12,8,0.0,2.0,0.0,0.0,5.5
2011-04-12 14:00:00,0.0,49,0,0.0,5.0,-0.065,0.11,7.0
2011-06-05 09:00:00,0.0,1290,0,0.0,8.0,1.38777878078e-17,0.328125,9.875
2011-06-05 10:00:00,0.0,0,1,0.0,5.0,-0.100666666667,0.38,8.6
2011-06-05 12:00:00,0.0,1,2,0.125,8.0,0.0,0.0,7.375
2011-06-07 11:00:00,0.0,46,0,0.125,8.0,0.1125,0.31875,14.5
2011-06-07 15:00:00,0.0,3,1,0.166666666667,6.0,0.0458333333333,0.241666666667,11.5
2011-06-07 16:00:00,0.0,0,2,0.0,5.0,0.243333333333,0.306666666667,11.4
2011-06-08 10:00:00,0.0,17,3,0.166666666667,6.0,0.0,0.0,7.0
2011-06-10 09:00:00,0.0,46,0,0.111111111111,9.0,0.0255555555556,0.231944444444,6.66666666667
2011-06-27 18:00:00,0.0,416,0,0.0,9.0,0.04,0.190555555556,9.55555555556
2011-07-25 16:00:00,0.0,669,0,0.25,3.5,0.0515625,0.209375,8.625
2011-07-25 18:00:00,0.0,1,2,0.25,4.0,0.109375,0.3125,12.625
2011-07-26 09:00:00,0.0,14,4,0.333333333333,6.0,0.0361111111111,0.233333333333,10.3333333333
2011-07-30 19:00:00,0.0,105,0,0.2,5.0,-0.05,0.19,12.6
2011-08-01 10:00:00,0.0,38,0,0.222222222222,9.0,-0.00740740740741,0.2,11.1111111111
2011-08-01 19:00:00,0.0,8,1,0.333333333333,6.0,0.0263888888889,0.491666666667,11.3333333333
2011-09-24 09:00:00,0.0,1285,0,0.0,2.0,0.0125,0.125,13.0
2011-10-23 08:00:00,0.0,694,0,0.0,8.0,-0.0671875,0.19375,7.75
2011-12-08 19:00:00,0.0,1114,0,0.0,9.0,-0.0166666666667,0.32962962963,10.2222222222
2011-12-12 16:00:00,0.0,92,0,0.0,9.0,-0.0037037037037,0.244444444444,11.5555555556
2011-12-22 12:00:00,0.0,235,0,0.0,3.0,-0.216666666667,0.3,16.6666666667
2011-12-24 13:00:00,0.0,48,0,0.333333333333,9.0,0.0777777777778,0.366666666667,15.2222222222
2011-12-24 14:00:00,0.0,0,1,0.0,9.0,-0.00833333333333,0.491666666667,17.1111111111
2012-03-25 10:00:00,0.0,2203,0,0.0,1.0,0.0,0.0,9.0
2012-10-09 19:00:00,0.0,4760,0,0.0666666666667,7.0,0.103333333333,0.14,14.0
2012-10-10 10:00:00,0.0,14,2,0.0,5.0,0.126666666667,0.526666666667,11.2
2012-11-08 17:00:00,0.0,702,0,0.0,13.0,0.0154487179487,0.203846153846,16.2307692308
2013-03-05 10:00:00,0.0,2800,0,0.25,8.0,0.069375,0.490208333333,11.25
2013-08-03 10:00:00,0.0,3623,0,0.0,8.0,0.124270833333,0.352083333333,10.5
2013-11-30 09:00:00,0.0,2854,0,0.0,11.0,-0.15,0.472727272727,10.1818181818
