Date & Time,First posts,Inactivity,Posts in last 24H,Questions,Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2011-03-22 15:00:00,1.0,57443,0,0.0,5.0,0.03,0.26,14.6
2011-05-27 13:00:00,0.0,1581,0,0.307692307692,26.0,0.00400641025641,0.335576923077,14.1153846154
2011-06-15 22:00:00,0.0,464,0,0.0,4.0,0.4275,0.615,14.0
2011-07-14 10:00:00,0.0,683,0,0.0,1.0,0.675,0.975,18.0
2011-07-14 11:00:00,0.0,0,1,0.0,1.5,0.0375,0.545833333333,20.0
2011-07-14 16:00:00,0.0,4,3,0.0,3.0,0.0625,0.341666666667,10.6666666667
2011-07-14 18:00:00,0.0,1,4,0.0,1.0,-0.05,0.1,17.0
2011-07-14 21:00:00,0.0,2,5,0.0,3.0,0.125416666667,0.266666666667,14.0
2011-07-28 14:00:00,0.0,328,0,0.0,2.0,0.0916666666667,0.358333333333,8.5
2011-07-30 12:00:00,0.0,45,0,0.0,1.0,0.0,0.0,16.0
2012-03-02 14:00:00,1.0,5185,0,0.1,10.0,0.0507222222222,0.22,7.9
2012-04-22 14:00:00,0.0,1223,0,0.0,1.0,0.0,0.0,6.0
2012-04-23 11:00:00,0.0,20,1,0.133333333333,15.0,0.152708333333,0.246527777778,8.33333333333
2012-05-08 11:00:00,0.0,359,0,0.0,1.0,0.58,0.7,25.0
2012-05-13 10:00:00,0.0,118,0,0.0,1.0,-0.15,0.35,15.0
2012-05-20 13:00:00,0.0,170,0,0.0,6.0,0.10025462963,0.253564814815,19.6666666667
2012-06-05 17:00:00,0.0,387,0,0.0,2.0,0.54,0.804166666667,9.5
2012-06-07 09:00:00,0.0,39,0,0.0,3.0,0.0,0.2,22.6666666667
2012-06-07 18:00:00,0.0,8,1,0.0,1.0,0.0,0.0,6.0
2012-06-07 22:00:00,0.0,3,2,0.0,1.0,0.55,0.8,16.0
2012-06-11 23:00:00,0.0,96,0,0.0,1.0,0.0,0.05,22.0
2012-07-25 23:00:00,0.0,1055,0,0.0,1.0,0.0,0.0,9.0
2012-07-30 09:00:00,0.0,105,0,0.0,1.0,-0.05,0.1,14.0
2012-07-31 09:00:00,0.0,23,1,0.0,2.0,0.2,0.3,16.0
2013-06-05 11:00:00,0.5,7417,0,0.0,5.0,-0.0175925925926,0.468518518519,19.1111111111
2013-08-06 17:00:00,0.0,1493,0,0.0,2.0,0.1,0.3375,17.0
2015-06-03 23:00:00,1.0,15989,0,0.0,5.0,0.1175,0.246666666667,8.6
2015-06-13 20:00:00,0.0,236,0,0.0,8.0,0.0944444444444,0.403472222222,15.0
2015-08-06 23:00:00,0.0,1298,0,0.0,4.0,0.295833333333,0.404166666667,12.75
2016-07-19 09:00:00,1.0,8337,0,0.0,4.0,-0.0375,0.3875,19.75
2017-05-03 22:00:00,0.0,6924,0,0.0,8.0,0.059375,0.210416666667,6.625
