Included features&0&1&2\\
I&0.560 $\pm$ 0.035&0.557 $\pm$ 0.048&0.535 $\pm$ 0.026\\
T&0.520 $\pm$ 0.020&0.519 $\pm$ 0.017&0.509 $\pm$ 0.013\\
O&0.504 $\pm$ 0.017&0.503 $\pm$ 0.012&0.508 $\pm$ 0.014\\
T\_r&0.623 $\pm$ 0.062&0.638 $\pm$ 0.029&0.625 $\pm$ 0.027\\
O\_r&0.597 $\pm$ 0.071&0.602 $\pm$ 0.021&0.606 $\pm$ 0.025\\
I, T\_r&0.645 $\pm$ 0.047&0.640 $\pm$ 0.042&0.627 $\pm$ 0.023\\
I, O&0.576 $\pm$ 0.037&0.562 $\pm$ 0.046&0.538 $\pm$ 0.031\\
I, T&0.580 $\pm$ 0.034&0.567 $\pm$ 0.042&0.537 $\pm$ 0.032\\
I, O\_r&0.612 $\pm$ 0.059&0.624 $\pm$ 0.039&0.611 $\pm$ 0.025\\
O, T\_r&0.620 $\pm$ 0.069&0.645 $\pm$ 0.035&0.626 $\pm$ 0.024\\
O, T&0.513 $\pm$ 0.020&0.511 $\pm$ 0.023&0.512 $\pm$ 0.008\\
T\_r, T&0.629 $\pm$ 0.068&0.644 $\pm$ 0.034&0.626 $\pm$ 0.019\\
O\_r, T&0.607 $\pm$ 0.074&0.602 $\pm$ 0.028&0.610 $\pm$ 0.028\\
O\_r, O&0.604 $\pm$ 0.068&0.603 $\pm$ 0.027&0.609 $\pm$ 0.029\\
O\_r, T\_r&0.636 $\pm$ 0.054&0.653 $\pm$ 0.029&0.653 $\pm$ 0.028\\
I, O\_r, T\_r&0.661 $\pm$ 0.046&0.666 $\pm$ 0.031&0.662 $\pm$ 0.024\\
I, O, T\_r&0.647 $\pm$ 0.047&0.645 $\pm$ 0.044&0.627 $\pm$ 0.023\\
I, O, T&0.574 $\pm$ 0.030&0.568 $\pm$ 0.044&0.537 $\pm$ 0.034\\
I, T\_r, T&0.651 $\pm$ 0.048&0.642 $\pm$ 0.038&0.626 $\pm$ 0.020\\
I, O\_r, O&0.613 $\pm$ 0.059&0.621 $\pm$ 0.040&0.606 $\pm$ 0.027\\
I, O\_r, T&0.624 $\pm$ 0.055&0.625 $\pm$ 0.042&0.612 $\pm$ 0.029\\
O, T\_r, T&0.624 $\pm$ 0.062&0.638 $\pm$ 0.036&0.625 $\pm$ 0.020\\
O\_r, T\_r, T&0.636 $\pm$ 0.052&0.657 $\pm$ 0.026&0.648 $\pm$ 0.030\\
O\_r, O, T\_r&0.633 $\pm$ 0.049&0.653 $\pm$ 0.031&0.652 $\pm$ 0.032\\
O\_r, O, T&0.605 $\pm$ 0.070&0.601 $\pm$ 0.028&0.609 $\pm$ 0.028\\
I, O\_r, T\_r, T&0.666 $\pm$ 0.046&0.665 $\pm$ 0.035&0.658 $\pm$ 0.024\\
I, O\_r, O, T&0.622 $\pm$ 0.054&0.625 $\pm$ 0.038&0.612 $\pm$ 0.030\\
I, O, T\_r, T&0.649 $\pm$ 0.048&0.643 $\pm$ 0.041&0.626 $\pm$ 0.021\\
I, O\_r, O, T\_r&0.665 $\pm$ 0.045&0.662 $\pm$ 0.036&0.661 $\pm$ 0.024\\
O\_r, O, T\_r, T&0.634 $\pm$ 0.056&0.654 $\pm$ 0.034&0.649 $\pm$ 0.028\\
I, O\_r, O, T\_r, T&0.663 $\pm$ 0.050&0.666 $\pm$ 0.033&0.660 $\pm$ 0.024\\
\\
