,Date & Time,ETD,Sentiment
7259,2005-06-30 15:00:00,746.0,0.0
8216,2005-08-09 12:00:00,706.0,0.13333333333333333
8265,2005-08-11 13:00:00,704.0,0.19166666666666668
8266,2005-08-11 14:00:00,704.0,-0.16666666666666666
9951,2005-10-20 19:00:00,634.0,0.039322916666666666
9974,2005-10-21 18:00:00,633.0,0.08541666666666667
9992,2005-10-22 12:00:00,632.0,0.325
10091,2005-10-26 15:00:00,628.0,0.0
10092,2005-10-26 16:00:00,628.0,0.3
10402,2005-11-08 14:00:00,615.0,0.03875
11075,2005-12-06 15:00:00,587.0,0.028750000000000005
11432,2005-12-21 12:00:00,572.0,-0.031666666666666655
11800,2006-01-05 20:00:00,557.0,-0.034375
11815,2006-01-06 11:00:00,556.0,0.04799382716049383
11962,2006-01-12 14:00:00,550.0,-0.09
12082,2006-01-17 14:00:00,545.0,-0.025
12419,2006-01-31 15:00:00,531.0,0.016840277777777784
12633,2006-02-09 13:00:00,522.0,0.01672979797979798
12634,2006-02-09 14:00:00,522.0,0.004613095238095238
13067,2006-02-27 15:00:00,504.0,0.1
13282,2006-03-08 14:00:00,495.0,0.2289725378787879
13403,2006-03-13 15:00:00,490.0,0.018218750000000002
13761,2006-03-28 13:00:00,475.0,0.07
13762,2006-03-28 14:00:00,475.0,0.07515873015873015
14077,2006-04-10 17:00:00,462.0,-0.12499999999999999
14123,2006-04-12 15:00:00,460.0,-0.1586904761904762
15107,2006-05-23 15:00:00,419.0,0.07619047619047618
21749,2007-02-24 09:00:00,142.0,0.0
21755,2007-02-24 15:00:00,142.0,-0.016666666666666663
21831,2007-02-27 19:00:00,139.0,-0.18874999999999997
22025,2007-03-07 21:00:00,131.0,-0.6499999999999999
22239,2007-03-16 19:00:00,122.0,-0.05500000000000001
7594,2005-07-14 14:00:00,654.0,-0.2
7639,2005-07-16 11:00:00,652.0,0.0
7665,2005-07-17 13:00:00,651.0,0.05
7795,2005-07-22 23:00:00,646.0,0.10277777777777779
7796,2005-07-23 00:00:00,646.0,0.0
7806,2005-07-23 10:00:00,645.0,0.0071428571428571435
7843,2005-07-24 23:00:00,644.0,-0.2125
7866,2005-07-25 22:00:00,643.0,0.125
7893,2005-07-27 01:00:00,641.0,0.15833333333333335
8178,2005-08-07 22:00:00,630.0,0.0
8276,2005-08-12 00:00:00,626.0,0.0
8319,2005-08-13 19:00:00,624.0,0.0
8660,2005-08-28 00:00:00,610.0,-0.06944444444444443
8706,2005-08-29 22:00:00,608.0,0.06190476190476191
8707,2005-08-29 23:00:00,608.0,0.0
8948,2005-09-09 00:00:00,598.0,0.10069444444444446
