user,activity,active days
1555,9,4163
1554,68,4133
1557,45,4162
1559,1,4160
1558,11,4161
2992,26,2559
2993,46,2563
2994,5,2561
3033,6,2543
2990,30,2566
1906,8,3788
5609,2,750
5608,5,751
4690,29,1440
5134,2,1214
1419,12,4297
1399,2,757
1396,2,4314
1395,8,4237
1393,1,4306
1392,164,4298
1390,1,4319
3811,2,2069
3814,5,2049
3818,19,2027
3819,62,2067
4295,14,1796
4294,3,1797
5125,4,1224
1422,26,4293
4741,2,683
4740,2,1526
4745,3,1526
5869,1,503
5865,2,325
5864,1,506
5861,4,450
5860,49,511
4714,2,1548
6138,1,2945
2183,7,3036
6139,14,4033
2186,1,3468
2185,1,3474
2184,29,3478
4607,28,1623
2189,155,3446
4602,412,1626
2213,1,3431
2210,36,3437
2216,4,3431
2215,2,3434
2214,3,3428
2219,16,3406
2218,235,3429
2433,12,3166
2432,18,3171
2430,45,2471
4922,14,1382
4519,13,1421
4514,1,1681
4515,56,1680
5760,2,616
2509,136,3057
2507,1,3060
2506,50,3061
2505,17,3029
2502,2,3022
2501,3,3066
2727,2,2133
5288,35,1050
2724,2,2865
2720,4,2870
5282,91,1066
5284,3,1057
2728,11,2854
5049,2,1297
5046,7,1299
5045,4,1231
5043,4,1300
5041,8,1284
3782,27,2082
3783,44,2085
3786,29,2117
3787,3,2076
1801,434,3930
1800,147,3828
4996,9,1330
4994,1,1332
4992,4,1323
4990,1,1333
3258,179,2404
1942,5,3736
1940,164,3748
0,4,2088
1527,395,4191
1521,12,3972
3206,6,2435
2851,1,2711
2850,2,1174
2852,239,2716
2854,2,897
2857,1,2670
2856,9,2704
3332,9,2293
1493,336,4216
5467,14,885
1497,4,4217
1498,1,4216
1499,46,4219
1702,175,4041
1703,2,4041
1704,16,4041
5184,7,1158
5261,15,1072
3200,2,2209
4572,1,1636
5269,1,1069
5268,2,1069
3658,4,2149
2989,7,2567
2983,7,2607
3026,39,2516
3025,3,2531
2980,210,2565
3023,107,2543
3022,1,2525
2984,29,2487
1018,771,4719
1015,926,4719
1016,51,4714
1011,4,4729
1012,95,4704
1234,32,4448
1236,144,4442
1237,14,4446
1230,1,4450
1231,2,4450
1238,10,4446
5053,1,1276
4359,64,1764
5678,1,688
4356,4,1700
6000,1,311
4903,1,1404
3809,11,1475
3808,149,2071
4905,2,1401
3801,16,2077
2483,129,3090
4670,4,845
5709,1,657
5705,1,664
5707,1,659
5702,1,666
4776,7,1500
4777,8,1496
4775,20,1500
3163,5,2408
4778,10,1498
4174,11,1862
4175,1,1862
4176,2,1838
4177,1,1855
4179,1,1861
5818,1,567
5810,1,572
5811,19,572
5816,1,567
5817,6,524
2464,44,3108
2949,1,2593
2948,21,2169
2466,1,3106
4610,23,1623
4614,107,1522
2461,1,3036
2228,50,3392
2227,21,3408
2225,8,3417
2223,460,3418
2220,5,3425
2221,1,3036
1,4379,4843
5927,11,427
5922,1,441
5923,2,440
5929,3,315
5356,3,1000
2469,1,3104
4506,8,1684
4501,1,1688
4500,1,1688
4503,10,1686
5352,1,1001
2089,112,3604
2080,68,3592
2086,6,3612
2087,1,3601
5450,1,903
2533,4,3032
2530,10,3031
2536,1,3032
2712,5,2878
5453,6,885
2717,2,2865
2714,2,2277
5454,5,901
2718,13,2853
5455,22,900
5072,1,1189
5070,1,1277
5457,1,890
5076,1,1236
5077,1,1272
5074,5,1274
5075,14,1273
1832,207,3874
1833,49,3887
1830,4,3891
1835,66,3884
3791,1,2081
3792,26,2081
3054,1,2282
2156,3,3514
938,83,4767
2150,15,3530
4984,3,1321
2152,3,3519
2401,4,3205
933,354,4821
932,23,4809
931,13,4184
930,802,4796
2158,54,3509
936,17,4813
2408,350,3184
934,278,4825
5383,1,971
1952,3,3731
3249,4,2333
3248,6,2415
3242,109,2376
3240,22,2418
3247,181,2404
3244,1,2414
4404,1,1723
829,1161,3867
4407,4,1736
1176,4,4480
1482,8,4146
1480,110,4215
5498,4,858
1486,45,4220
1485,15,4212
3305,12,2376
5490,2,870
3303,45,2379
5492,3,868
5493,1,842
5252,1,805
928,192,4824
1711,7,3398
1710,23,4033
5256,38,1073
5254,2,1086
1719,7,4029
4319,2,1785
2414,1,3202
1139,1,4432
1132,44,4553
1131,1,4545
18186,3,43
1136,40,4518
1134,16,4524
4974,3,1345
4257,2,1823
4975,13,1281
1178,2,3970
2791,4,2788
4064,2,1908
3012,3,2492
3013,7,2556
3017,2,2553
1008,62,4733
1006,2,4525
1004,136,4710
1003,6,4740
1002,5,4736
1001,6,4705
1000,1748,4738
1225,189,4451
1224,61,4129
1222,9,4318
4183,13,1817
4182,4,1856
4185,136,1858
1228,2,4442
5663,3,596
5661,27,700
5667,5,695
5666,2,695
5665,13,696
4347,11,1714
5669,2,694
5668,2,693
4342,14,1772
4341,34,1770
2882,1,2668
2887,53,2662
2884,8,2672
2889,15,2645
17888,4,124
3871,17,2010
3875,228,2012
3876,1,1905
3276,1,2399
5718,1,635
5717,28,581
5711,1,656
5710,4,657
3275,12,2361
3272,2,2397
3904,73,1990
3901,6,1804
3903,170,1991
3908,58,1989
3909,59,1952
4761,5,1409
4760,1,1510
4767,1,1506
4769,6,1505
4162,3,1869
4169,2,1865
5802,8,582
5805,1,578
5804,2,578
2745,13,2847
2239,2,3084
2238,159,3389
2231,77,3405
2230,1,3407
2235,3,1231
2234,4,3403
5090,1,878
5935,10,423
5934,15,419
5932,1,428
3574,4,2197
5939,2,418
3576,14,2183
3499,2,2253
3496,20,2195
3497,15,2226
3495,12,2214
3493,1,2062
2097,2,3573
4573,3,1643
2091,2,3599
2090,25,3603
4576,3,1640
2092,42,3601
3656,3,2148
3651,1,1704
3652,18,2091
2524,49,3036
2520,47,2995
2523,1,3036
2522,1,3037
2529,22,3034
2528,46,3033
4493,4,1693
5065,1,1284
5066,2,1283
5061,3,1290
4491,1,1694
5063,1,1288
4880,1,788
2707,1,2885
4883,1,1415
5069,1,1279
5068,1,1282
2703,1,2889
1828,36,3884
1825,4253,3903
4405,2,1730
1826,2,3897
1821,218,3903
2411,2,3205
929,12,4808
2413,111,3185
2144,438,3538
2415,5,3202
2142,381,3368
2416,149,3202
920,1,4698
2418,21,3199
922,7,4788
4970,2,1346
4971,7,1347
926,43,4831
4973,3,1330
5393,1,966
5396,1,961
5394,1,959
5399,6,958
1920,1,3768
3277,63,2398
3274,33,2399
1923,172,3761
1924,1,3749
1925,5,3738
1927,3,3035
1929,7,3279
3278,3,2398
3470,1,2268
834,7,276
3318,2,2248
5489,14,873
3311,2,2374
5486,1,870
5484,10,721
5483,86,868
3316,1,2032
5249,2,887
5248,6,111
1728,15,4020
1726,651,3995
5244,3,1092
1724,19,4026
1725,189,4018
5241,5,1097
2357,1,499
18199,16,36
4386,1,1743
3004,1,2559
3007,2,2558
3001,2,2509
5621,1,9
3003,69,1918
17969,3,99
1580,48,4039
1581,788,4134
17962,2,103
1587,56,4128
1584,239,3994
1585,10,4089
1038,42,4660
1033,743,4694
1036,2,4686
1034,133,4691
1211,31,4436
1217,10,4455
1215,51,4455
1218,19,4445
1219,1,3243
5658,10,701
5656,1,702
4373,1,1757
5653,2,704
5650,3,703
4375,1,1641
2899,1,2424
2898,8,1126
1107,19,4593
1104,1,4596
1450,2,4270
1451,167,4268
1452,13,4259
1101,9,4475
17892,3,124
1109,59,4593
4081,5,1899
4082,8,1895
4083,4,1857
1722,3,3986
3861,8,2031
3867,7,1991
3735,54,2106
5722,20,644
5723,4,645
5726,8,600
5724,13,637
3732,4,2102
5636,1,726
2136,55,3544
3915,6,1985
3914,1,1983
3910,2,1988
3918,7,1981
4920,282,1302
2132,521,3548
4796,2,1484
4790,4,1474
4792,2,1480
5836,2,545
5834,2,548
4151,1,1873
5832,8,526
4157,1,1864
4154,29,1872
5831,4,550
5838,2,543
5839,2,543
4699,11,1566
6088,1,224
6087,23,225
6085,1,229
6082,1,231
6083,14,230
5901,5,464
5909,7,451
3489,82,2259
3488,69,2191
3481,2,2262
3485,2,2263
3487,4,2260
4562,2,1648
3648,2,2151
3647,8,2156
4568,2,1646
3642,344,2158
2554,6,3017
2556,1,3017
2557,1,2364
2558,62,3016
2559,4,3012
2397,85,3212
2392,9,3212
3075,1,2509
2391,2,2930
4717,35,1413
2778,223,2804
5011,1,1321
5012,202,1320
5014,1,1314
5015,1,898
5016,4,1319
5017,1,1287
4893,7,1409
4892,1,1409
2772,6,2795
2773,86,2819
2774,5,2765
4896,2,1396
2777,10,2810
1859,29,3830
4419,2,1731
4418,1,1731
1853,13,3865
1854,3,3092
1855,1,3861
1856,5,3686
1857,7,3845
2172,7,3492
2173,3,3490
6066,1,261
2171,1,3490
919,137,4820
918,61,4839
6062,1,264
2175,172,3481
4967,22,1328
914,63,4843
2178,8,3441
916,2,4472
911,123,4778
913,4,2229
912,1017,4839
2604,50,2986
2607,1,2897
1420,2,4178
1975,5,1216
1932,5,3756
1931,3,3757
3262,184,2385
5129,2,1225
4712,1,1553
5126,2,1225
5120,6,1230
5122,1,1076
5123,10,1226
3464,229,2272
3460,41,2267
3469,28,2269
18210,1,34
5835,1,545
5238,3,1093
1738,3,3927
1731,2,2769
1733,5,4007
1732,26,3976
1734,5,4016
1737,9,4003
2404,9,3205
755,506,4052
1594,6,4124
2958,21,2580
1590,19,4113
3076,1,2509
3078,1,2454
2950,24,2457
2951,52,2587
2952,196,2590
1024,5,4586
1027,250,4700
1026,581,4701
1021,37,4704
1020,4,4710
1022,5,4698
4906,7,1400
1029,9,4290
1028,3,4650
1209,2,4459
1205,1,2940
1204,16,4461
1206,215,4433
4369,1,1760
1203,377,4452
1202,1,4447
5649,9,707
18036,3,81
5640,1,722
5643,2,715
5645,1,710
5644,1,707
5647,104,665
4276,3,1802
3104,2,2496
3105,37,2493
3106,52,2491
3107,1,2492
3103,33,2496
1111,3,4558
1445,8,4245
1112,5,4590
1442,3,4041
1440,299,4247
4279,2,1562
4278,18,1794
4859,1,1420
5734,81,634
5736,1,631
5732,2,634
5739,17,612
5738,2,631
4853,3,1335
4725,34,1021
1061,1,4662
3922,4,1981
3928,1,1974
3929,23,1974
4372,3,1757
5657,2,701
4787,1,1386
4785,2,1492
4784,1,1492
4781,4,1493
5820,6,567
5823,3,535
4149,168,1871
5827,1,553
5829,6,553
5828,4,547
4146,5,818
4140,1,1877
4143,2,1875
3852,100,2033
3850,1,2034
3858,101,2031
6099,2,207
6091,2,217
6092,14,213
6095,278,209
6094,17,183
6097,1,207
6096,2,209
5918,1,443
5915,2,448
5917,1,443
5910,1,360
4558,2,1653
3672,4,2109
3673,5,2090
3676,3,2139
4553,1,1655
4456,4,1716
2543,5,3027
2542,2,2988
2541,206,3030
2540,35,2963
2546,20,3026
1455,41,4260
2548,1,3018
2380,27,3213
2382,1,3220
2385,7,2925
2386,17,2730
2389,546,3215
5003,1,1327
2769,5,2822
2768,29,2807
3584,3,2195
3585,19,2181
5005,1,631
3587,5,2194
2763,1,2823
