Included features&0&1&2
I&0.547 $\pm$ 0.052&0.560 $\pm$ 0.025&0.542 $\pm$ 0.021
T&0.513 $\pm$ 0.039&0.508 $\pm$ 0.024&0.503 $\pm$ 0.009
O&0.507 $\pm$ 0.031&0.499 $\pm$ 0.009&0.505 $\pm$ 0.014
T_r&0.633 $\pm$ 0.054&0.618 $\pm$ 0.040&0.614 $\pm$ 0.021
O_r&0.588 $\pm$ 0.038&0.610 $\pm$ 0.041&0.598 $\pm$ 0.022
I, T_r&0.638 $\pm$ 0.048&0.661 $\pm$ 0.038&0.624 $\pm$ 0.019
I, O&0.551 $\pm$ 0.047&0.556 $\pm$ 0.029&0.537 $\pm$ 0.022
I, T&0.557 $\pm$ 0.055&0.564 $\pm$ 0.034&0.548 $\pm$ 0.024
I, O_r&0.605 $\pm$ 0.056&0.630 $\pm$ 0.042&0.608 $\pm$ 0.020
O, T_r&0.631 $\pm$ 0.049&0.623 $\pm$ 0.035&0.611 $\pm$ 0.025
O, T&0.523 $\pm$ 0.035&0.509 $\pm$ 0.023&0.512 $\pm$ 0.005
T_r, T&0.622 $\pm$ 0.050&0.622 $\pm$ 0.038&0.607 $\pm$ 0.024
O_r, T&0.575 $\pm$ 0.038&0.604 $\pm$ 0.037&0.595 $\pm$ 0.020
O_r, O&0.578 $\pm$ 0.039&0.608 $\pm$ 0.047&0.594 $\pm$ 0.032
O_r, T_r&0.658 $\pm$ 0.031&0.648 $\pm$ 0.035&0.644 $\pm$ 0.027
I, O_r, T_r&0.646 $\pm$ 0.053&0.677 $\pm$ 0.038&0.656 $\pm$ 0.022
I, O, T_r&0.638 $\pm$ 0.052&0.656 $\pm$ 0.038&0.624 $\pm$ 0.020
I, O, T&0.557 $\pm$ 0.061&0.564 $\pm$ 0.034&0.546 $\pm$ 0.025
I, T_r, T&0.628 $\pm$ 0.051&0.658 $\pm$ 0.040&0.627 $\pm$ 0.020
I, O_r, O&0.593 $\pm$ 0.064&0.624 $\pm$ 0.047&0.615 $\pm$ 0.017
I, O_r, T&0.592 $\pm$ 0.058&0.627 $\pm$ 0.044&0.614 $\pm$ 0.024
O, T_r, T&0.629 $\pm$ 0.047&0.618 $\pm$ 0.038&0.607 $\pm$ 0.025
O_r, T_r, T&0.638 $\pm$ 0.021&0.643 $\pm$ 0.035&0.640 $\pm$ 0.024
O_r, O, T_r&0.650 $\pm$ 0.022&0.643 $\pm$ 0.034&0.641 $\pm$ 0.027
O_r, O, T&0.588 $\pm$ 0.048&0.609 $\pm$ 0.045&0.596 $\pm$ 0.025
I, O_r, T_r, T&0.649 $\pm$ 0.049&0.672 $\pm$ 0.039&0.652 $\pm$ 0.018
I, O_r, O, T&0.599 $\pm$ 0.067&0.625 $\pm$ 0.043&0.615 $\pm$ 0.018
I, O, T_r, T&0.636 $\pm$ 0.048&0.658 $\pm$ 0.036&0.623 $\pm$ 0.023
I, O_r, O, T_r&0.649 $\pm$ 0.051&0.676 $\pm$ 0.035&0.654 $\pm$ 0.019
O_r, O, T_r, T&0.646 $\pm$ 0.026&0.639 $\pm$ 0.033&0.640 $\pm$ 0.027
I, O_r, O, T_r, T&0.654 $\pm$ 0.051&0.673 $\pm$ 0.037&0.652 $\pm$ 0.023
