Date & Time,First posts,Follow-up posts,Inactivity,Questions,Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2006-03-10 20:00:00,0.0,1.0,13336.0,0.0,7.0,0.0928571428571,0.185714285714,6.28571428571
2006-04-15 12:00:00,0.0,1.0,855.0,0.0,5.0,0.12,0.18,7.6
2006-05-12 17:00:00,0.0,1.0,652.0,0.222222222222,4.5,-0.0666666666667,0.322222222222,12.4444444444
2006-07-06 01:00:00,0.0,1.0,1303.0,0.1,10.0,0.135,0.246666666667,13.0
2006-07-06 08:00:00,0.0,1.0,6.0,0.0,2.0,0.0,0.15,24.5
2006-08-08 10:00:00,0.0,1.0,793.0,0.6,5.0,0.0,0.0,8.0
2006-09-30 00:00:00,0.0,1.0,1261.0,1.0,1.0,0.0,0.0,9.0
2006-10-21 02:00:00,0.0,1.0,505.0,0.0,4.0,0.0,0.0,7.25
2006-10-27 22:00:00,0.0,1.0,163.0,0.0,3.0,0.0,0.0,2.0
2006-11-06 08:00:00,0.0,1.0,225.0,0.666666666667,3.0,0.264583333333,0.65,6.33333333333
2006-11-10 23:00:00,0.0,1.0,110.0,0.0,4.0,0.36875,0.49375,18.5
2006-11-11 00:00:00,0.0,1.0,0.0,0.0,3.0,0.133333333333,0.3,6.33333333333
2006-11-14 19:00:00,0.0,1.0,90.0,0.0,3.0,-0.133333333333,0.366666666667,6.0
2006-12-06 01:00:00,0.0,1.0,509.0,0.0,3.0,0.0,0.0,6.66666666667
2006-12-10 13:00:00,0.0,1.0,107.0,0.0,1.0,0.0,0.0,5.0
2006-12-12 23:00:00,0.0,1.0,57.0,0.333333333333,6.0,0.108333333333,0.191666666667,13.0
2006-12-24 11:00:00,0.0,1.0,275.0,0.333333333333,3.0,0.0333333333333,0.075,5.5
2007-02-11 21:00:00,0.0,1.0,1185.0,0.181818181818,11.0,-0.0143181818182,0.323484848485,14.8181818182
2007-02-12 10:00:00,0.0,1.0,12.0,0.266666666667,15.0,-0.124444444444,0.26,14.5333333333
2007-02-12 11:00:00,0.0,1.0,0.0,0.0,6.0,-0.00416666666667,0.216666666667,8.33333333333
2007-02-12 23:00:00,0.0,1.0,11.0,0.5,4.0,-0.0125,0.29375,16.5
2007-02-13 11:00:00,0.0,1.0,11.0,0.0,6.5,-0.0892857142857,0.40625,19.4285714286
2007-02-20 00:00:00,0.0,1.0,156.0,0.0,5.0,0.0,0.0,5.4
2007-03-10 01:00:00,0.0,1.0,432.0,0.142857142857,7.0,0.0571428571429,0.142857142857,8.71428571429
2007-03-14 10:00:00,0.0,1.0,104.0,0.0,3.0,0.223333333333,0.483333333333,14.0
2007-03-15 10:00:00,0.0,1.0,23.0,0.285714285714,14.0,0.00178571428571,0.166071428571,9.14285714286
2007-03-17 11:00:00,0.0,1.0,48.0,0.0,14.0,0.124761904762,0.32130952381,14.0714285714
2007-03-19 12:00:00,0.0,1.0,48.0,0.148148148148,8.66666666667,0.0962191358025,0.240432098765,10.1481481481
2007-03-20 00:00:00,0.0,1.0,11.0,0.0909090909091,5.0,0.0382575757576,0.271590909091,14.1818181818
2007-03-21 21:00:00,0.0,1.0,44.0,0.357142857143,6.5,0.108035714286,0.289285714286,7.92857142857
2007-04-02 22:00:00,0.0,1.0,288.0,0.0,2.0,0.0,0.05,16.0
2007-04-07 11:00:00,0.0,1.0,108.0,0.111111111111,9.0,-0.0365740740741,0.138888888889,14.7777777778
2007-04-07 21:00:00,0.0,1.0,9.0,0.0,1.0,0.0,0.0,8.0
2007-04-18 11:00:00,0.0,1.0,253.0,0.0,3.0,0.12,0.333333333333,10.6666666667
