Churn in 1 months;Churn in 2 months;Churn in 3 months
{'AUC_scores': [0.6061574803149605, 0.6213240528355612, 0.6317364797807149, 0.6103594380040323, 0.5552586643055907, 0.5913245607123159, 0.5686975418484166, 0.5749350342546657, 0.6080608305098101, 0.6428255512731409]};{'AUC_scores': [0.6052314045154716, 0.6037263734710095, 0.6051033251375717, 0.5720334222378538, 0.6041109331979457, 0.5798259567014232, 0.587123982253425, 0.578522663545705, 0.5993154024692321, 0.6145036670018886]};{'AUC_scores': [0.5757053396854207, 0.5941319776238254, 0.5808240710019907, 0.5921733554116116, 0.5969736540816428, 0.5983422210571026, 0.5936278360289415, 0.5928041616885703, 0.5817754644990046, 0.6006708900818408]}
{'AUC_scores': [0.6161565242048552, 0.6271314021298176, 0.6108906213087644, 0.6499140147989209, 0.636592861082657, 0.6169193363844394, 0.6497345578852849, 0.6324907473029372, 0.654985395121181, 0.5892688382056452]};{'AUC_scores': [0.5983240291557983, 0.5980114260602065, 0.575094839187845, 0.5820117442047767, 0.6121664161677087, 0.5921274053118064, 0.604653290012879, 0.5897506216176686, 0.6269508564735737, 0.6080975552616295]};{'AUC_scores': [0.6153389355742297, 0.6271480342640341, 0.6048947249677339, 0.5994667266664896, 0.5997928145254041, 0.6111094520801346, 0.6074021464646464, 0.5922427466022511, 0.6218853557075372, 0.5951676102874032]}
{'AUC_scores': [0.5678188976377951, 0.5502449629011169, 0.5501512096774194, 0.5153461191264274, 0.5240146134828276, 0.5490111102356001, 0.5770375620127569, 0.5169890266045629, 0.5496768600252206, 0.5726200226814516]};{'AUC_scores': [0.5486083348771903, 0.548074532344639, 0.5418572111118696, 0.5502671643975992, 0.5367938559063757, 0.5273177355031835, 0.5760980903836305, 0.5267576408553851, 0.5258344758940029, 0.531935353180356]};{'AUC_scores': [0.5601030368583628, 0.5636809204084952, 0.5643563001286578, 0.5801861374201974, 0.5543382059574693, 0.5680633939502524, 0.5638051573553513, 0.5559391835566669, 0.5700194684167486, 0.5650502150890016]}
{'AUC_scores': [0.6058527663465935, 0.6233700707945067, 0.5904719108209955, 0.6350787401574803, 0.6069375541381212, 0.6135411416330645, 0.6321088543319582, 0.6179225202213708, 0.6061997071004519, 0.5849817081861806]};{'AUC_scores': [0.5766818561036655, 0.6001084810219156, 0.6187463414634147, 0.593329235452523, 0.6119301838038125, 0.592331048947638, 0.5960116907132994, 0.6002231544033363, 0.6247617236823503, 0.6353339805919977]};{'AUC_scores': [0.6085039001715346, 0.6123644100368325, 0.6167817127348615, 0.5912670232817436, 0.5952468844438287, 0.5962653260995803, 0.6028829404250378, 0.582729731074871, 0.5948841106299669, 0.6069377710552976]}
{'AUC_scores': [0.5958291330645162, 0.623629662298387, 0.6160112182517176, 0.5483520463600144, 0.5814650616095799, 0.5705618154597746, 0.5761607213477814, 0.5791353857800771, 0.6245058666036696, 0.6082033534031828]};{'AUC_scores': [0.55990137681867, 0.5636316877443763, 0.5821931501238518, 0.558929206948162, 0.5931772514899387, 0.5698537671801585, 0.607496194824962, 0.5935842575469994, 0.5933166578901174, 0.5754149985352992]};{'AUC_scores': [0.5970263645751683, 0.5937725137364918, 0.5905206021214262, 0.5833011857681277, 0.5826577502148167, 0.571619537744199, 0.597288115908365, 0.5908605607104489, 0.5923716636191374, 0.5973619861911539]}
{'AUC_scores': [0.5543190416141235, 0.5558080808080809, 0.5989281000015904, 0.6014835858585859, 0.6009546009546008, 0.5471469104665826, 0.5788461538461539, 0.5677612410426017, 0.5941261738198778, 0.5786299212598425]};{'AUC_scores': [0.5381987274810462, 0.5498296111037981, 0.5463795332048874, 0.5815075810794991, 0.5630658300791247, 0.5718551634700703, 0.5717908082408875, 0.5643295406287981, 0.5937349162624022, 0.5715354351847783]};{'AUC_scores': [0.5650024926940423, 0.5599917211607298, 0.5621288515406163, 0.574052508120411, 0.5483578459852925, 0.5587414908136048, 0.5593035845401408, 0.5659483262732424, 0.5741324515400955, 0.5549604637679236]}
{'AUC_scores': [0.626317863052557, 0.622771653543307, 0.6211674342312788, 0.5836107473612798, 0.5799000362644465, 0.6226632018269156, 0.612167929074217, 0.6172032828282829, 0.6211311353925232, 0.5869419642857143]};{'AUC_scores': [0.5950422691771405, 0.59129395431147, 0.5791392423577593, 0.5991614255765199, 0.5899080555081336, 0.5875201288244768, 0.6102029573365446, 0.5891637455696017, 0.5770196479937595, 0.5826649569232419]};{'AUC_scores': [0.5920130582137162, 0.5899419769369537, 0.5800141618720234, 0.5741935109196681, 0.5904678707192776, 0.5713044625498791, 0.5913049071480444, 0.5904478221054308, 0.5931916235231647, 0.5820806069494585]}
{'AUC_scores': [0.5311402610900272, 0.5718065003779289, 0.5968974500671036, 0.5927637795275591, 0.5899613899613899, 0.6154962687155862, 0.5687645687645687, 0.5995149835440845, 0.5996690568119138, 0.5448460508701471]};{'AUC_scores': [0.5803996704352108, 0.5781448817515686, 0.58058398863653, 0.5848658003163384, 0.5656736553971964, 0.5537229971187176, 0.565637112698374, 0.5804868238219448, 0.567556296914095, 0.5477143094135615]};{'AUC_scores': [0.5533934478445373, 0.581475122242544, 0.6020959367842837, 0.5612580185701499, 0.5826335093104493, 0.5692214217875821, 0.578188884983869, 0.5729588704726827, 0.5973570573031582, 0.5763385862059807]}
{'AUC_scores': [0.5911482537532098, 0.6317758628837883, 0.5939053058391051, 0.6657001024347964, 0.6277966849435936, 0.6522653849184462, 0.6490278565576353, 0.6107954545454546, 0.6659987693861129, 0.624023622047244]};{'AUC_scores': [0.5843138976700621, 0.6063418736744595, 0.5956657350911335, 0.6200900083864802, 0.6024252171745071, 0.6122812149578276, 0.6199297971918877, 0.6057091675138813, 0.6268745673137864, 0.6179750886728108]};{'AUC_scores': [0.6102216784546006, 0.6063830669781518, 0.6103492812964536, 0.6147474822889187, 0.6127387776879736, 0.6052902461476088, 0.6156919705848176, 0.6184120746673042, 0.6260804555068484, 0.6129151542668558]}
{'AUC_scores': [0.5562566962878931, 0.5907007874015748, 0.5807747444036611, 0.6306037200504414, 0.6205989382315411, 0.5809455361091805, 0.6110716932343155, 0.5633120718166784, 0.6093255436751019, 0.5687960494138807]};{'AUC_scores': [0.598608536585366, 0.5945970360604507, 0.6064296686416502, 0.6227883874491598, 0.6122799233540874, 0.5836172268887055, 0.60214431802096, 0.5915857273808827, 0.5957835884665154, 0.6100848775588805]};{'AUC_scores': [0.587127887295898, 0.5805718537714759, 0.5964744642519434, 0.5810296500969738, 0.569208353569694, 0.5817908724144024, 0.579488267397555, 0.5955073112367453, 0.5907384505569296, 0.589541746332602]}
{'AUC_scores': [0.6462563051702396, 0.6521574803149606, 0.6227264853628962, 0.6457715601539336, 0.6596299212598425, 0.5778021043346774, 0.6245665195460277, 0.6395968708598827, 0.6258948466315839, 0.622119851956847]};{'AUC_scores': [0.6222988573074238, 0.6144232741694425, 0.6167877960149257, 0.6183465154745815, 0.611682072043509, 0.5752608229329174, 0.6201070653366827, 0.6181917928461707, 0.6082174203652295, 0.5893758196541485]};{'AUC_scores': [0.607381228100446, 0.6127578174771714, 0.5963838827522747, 0.6166725282600689, 0.5924879727936297, 0.6271428488424695, 0.6024126816126238, 0.6151484304936455, 0.6142620449892313, 0.6325472793629727]}
{'AUC_scores': [0.5872122438654187, 0.6268434486670449, 0.6482592563353596, 0.5900926451124977, 0.6531282132405284, 0.6355216733870968, 0.5831251581077663, 0.6157886447751791, 0.5909040785141544, 0.586381937317439]};{'AUC_scores': [0.6022333292697793, 0.6005611045541889, 0.6069219512195122, 0.6064629735389302, 0.5864153141865374, 0.5921073803904742, 0.6096410828941531, 0.596875, 0.6132269560596532, 0.5955934760110133]};{'AUC_scores': [0.5923336721780803, 0.6071836106687337, 0.5915901652265176, 0.6012267750497677, 0.5776489968720424, 0.5809747377763769, 0.6012367337289886, 0.6079940889071536, 0.5876661119912846, 0.6121030601958825]}
{'AUC_scores': [0.6173871958421924, 0.575919943266882, 0.6326652801411736, 0.613923751633781, 0.584904469652746, 0.6035718787420432, 0.6319711690114189, 0.6413002334237587, 0.6198061160151324, 0.5675868407707911]};{'AUC_scores': [0.5803600642675405, 0.5862693845275228, 0.5868577446042991, 0.6059550167273011, 0.607359861507327, 0.6107944711245461, 0.5606656580937973, 0.5783040898609086, 0.5705583323174448, 0.5849168008588298]};{'AUC_scores': [0.5982608342155129, 0.5682636335943252, 0.5792113389527951, 0.5886037941179643, 0.5849943969946989, 0.5898208360982083, 0.5875978353868638, 0.5881437653761814, 0.5952476358058336, 0.6019545043935288]}
{'AUC_scores': [0.647577439909154, 0.6157355606335198, 0.6210238725119677, 0.5420296717171718, 0.5986505681818182, 0.6588267716535434, 0.6941181102362205, 0.6239395378284267, 0.6743107690366539, 0.6050056721497448]};{'AUC_scores': [0.5982768292682927, 0.5926977934901865, 0.5896385630319733, 0.6024595960088562, 0.5778599783471671, 0.605104775293239, 0.5794735120834493, 0.6267174399719064, 0.6298877232001328, 0.580682408142075]};{'AUC_scores': [0.6154051296514425, 0.6096956700278323, 0.6155901023491617, 0.612427845212159, 0.614061436563138, 0.6386623421869038, 0.6025234838719317, 0.6090017156870878, 0.6118095370812762, 0.597177512000219]}
