,,Date & Time,ETD,Sentiment
1,13403,2006-03-13 15:00:00,490.0,0.018218750000000002
1,13761,2006-03-28 13:00:00,475.0,0.07
1,13762,2006-03-28 14:00:00,475.0,0.07515873015873015
1,14077,2006-04-10 17:00:00,462.0,-0.12499999999999999
1,14123,2006-04-12 15:00:00,460.0,-0.1586904761904762
1,15107,2006-05-23 15:00:00,419.0,0.07619047619047618
1,21749,2007-02-24 09:00:00,142.0,0.0
1,21755,2007-02-24 15:00:00,142.0,-0.016666666666666663
1,21831,2007-02-27 19:00:00,139.0,-0.18874999999999997
1,22025,2007-03-07 21:00:00,131.0,-0.6499999999999999
1,22239,2007-03-16 19:00:00,122.0,-0.05500000000000001
2,7594,2005-07-14 14:00:00,654.0,-0.2
2,7639,2005-07-16 11:00:00,652.0,0.0
2,7665,2005-07-17 13:00:00,651.0,0.05
2,7795,2005-07-22 23:00:00,646.0,0.10277777777777779
2,7796,2005-07-23 00:00:00,646.0,0.0
2,7806,2005-07-23 10:00:00,645.0,0.0071428571428571435
2,7843,2005-07-24 23:00:00,644.0,-0.2125
2,7866,2005-07-25 22:00:00,643.0,0.125
2,7893,2005-07-27 01:00:00,641.0,0.15833333333333335
2,8178,2005-08-07 22:00:00,630.0,0.0
2,8276,2005-08-12 00:00:00,626.0,0.0
2,8319,2005-08-13 19:00:00,624.0,0.0
2,8660,2005-08-28 00:00:00,610.0,-0.06944444444444443
2,8706,2005-08-29 22:00:00,608.0,0.06190476190476191
2,8707,2005-08-29 23:00:00,608.0,0.0
2,8948,2005-09-09 00:00:00,598.0,0.10069444444444446
2,8958,2005-09-09 10:00:00,597.0,-0.08416666666666664
2,9654,2005-10-08 10:00:00,568.0,-0.03796296296296296
2,9994,2005-10-22 14:00:00,554.0,0.10674603174603174
2,10013,2005-10-23 09:00:00,553.0,0.2125
2,11240,2005-12-13 12:00:00,502.0,0.07250000000000001
2,11287,2005-12-15 11:00:00,500.0,0.0
2,11368,2005-12-18 20:00:00,497.0,0.049166666666666664
2,13701,2006-03-26 01:00:00,399.0,0.008653846153846158
2,13821,2006-03-31 01:00:00,394.0,0.10454545454545454
2,16436,2006-07-18 00:00:00,286.0,0.0
2,16534,2006-07-22 02:00:00,281.0,0.1
2,16832,2006-08-03 12:00:00,269.0,-0.1
2,17430,2006-08-28 10:00:00,244.0,0.030000000000000027
2,18253,2006-10-01 17:00:00,210.0,0.18333333333333335
2,19039,2006-11-03 11:00:00,177.0,-0.011363636363636355
2,20313,2006-12-26 13:00:00,124.0,-0.014291187739463591
3,21187,2007-01-31 23:00:00,1047.0,0.0
3,21207,2007-02-01 19:00:00,1046.0,-0.0903125
3,21235,2007-02-02 23:00:00,1045.0,0.14814814814814814
3,21258,2007-02-03 22:00:00,1044.0,-0.041666666666666664
3,21273,2007-02-04 13:00:00,1043.0,0.0
3,21301,2007-02-05 17:00:00,1042.0,-0.09916666666666665
3,21392,2007-02-09 12:00:00,1038.0,0.08499999999999999
3,21663,2007-02-20 19:00:00,1027.0,-0.16
3,21689,2007-02-21 21:00:00,1026.0,0.0
3,21968,2007-03-05 12:00:00,1014.0,0.0
3,22062,2007-03-09 10:00:00,1010.0,0.1236111111111111
3,22064,2007-03-09 12:00:00,1010.0,-0.0071428571428571435
3,22066,2007-03-09 14:00:00,1010.0,0.05000000000000001
3,22100,2007-03-11 00:00:00,1009.0,0.0
3,22123,2007-03-11 23:00:00,1008.0,0.09642857142857143
3,22167,2007-03-13 19:00:00,1006.0,0.0553888888888889
3,22168,2007-03-13 20:00:00,1006.0,-0.20416666666666664
3,22191,2007-03-14 19:00:00,1005.0,0.8958333333333333
3,22192,2007-03-14 20:00:00,1005.0,0.041666666666666664
3,22205,2007-03-15 09:00:00,1004.0,0.07819444444444446
3,22307,2007-03-19 15:00:00,1000.0,-0.012954545454545451
3,22313,2007-03-19 21:00:00,1000.0,0.1
3,22335,2007-03-20 19:00:00,999.0,0.0031250000000000075
3,22376,2007-03-22 12:00:00,997.0,0.24208333333333334
3,22381,2007-03-22 17:00:00,997.0,0.0796875
3,22401,2007-03-23 13:00:00,996.0,-0.375
3,22413,2007-03-24 01:00:00,995.0,0.0
3,22649,2007-04-02 21:00:00,986.0,0.04571428571428572
3,22674,2007-04-03 22:00:00,985.0,-0.09111111111111111
3,22865,2007-04-11 21:00:00,977.0,0.122
3,23154,2007-04-23 22:00:00,965.0,0.0
3,23224,2007-04-26 20:00:00,962.0,0.06666666666666667
3,23587,2007-05-11 23:00:00,947.0,-0.3666666666666667
3,24056,2007-05-31 12:00:00,927.0,-0.011305555555555558
3,24372,2007-06-13 16:00:00,914.0,-0.16499999999999998
3,24375,2007-06-13 19:00:00,914.0,0.012214912280701757
3,24390,2007-06-14 10:00:00,913.0,0.0
3,24472,2007-06-17 20:00:00,910.0,-0.01904761904761906
3,24517,2007-06-19 17:00:00,908.0,0.07383333333333335
3,24857,2007-07-03 21:00:00,894.0,0.07676900584795322
3,24871,2007-07-04 11:00:00,893.0,0.14614197530864198
3,24918,2007-07-06 10:00:00,891.0,-0.05
3,24920,2007-07-06 12:00:00,891.0,0.268
3,24967,2007-07-08 11:00:00,889.0,0.275
3,25002,2007-07-09 22:00:00,888.0,0.0
3,25024,2007-07-10 20:00:00,887.0,0.0
3,25069,2007-07-12 17:00:00,885.0,0.0823125
3,25166,2007-07-16 18:00:00,881.0,-0.221875
3,25508,2007-07-31 00:00:00,867.0,-0.06761904761904762
3,25574,2007-08-02 18:00:00,864.0,0.02
3,25651,2007-08-05 23:00:00,861.0,0.35
3,25662,2007-08-06 10:00:00,860.0,-0.009523809523809521
3,25699,2007-08-07 23:00:00,859.0,-0.175
3,25809,2007-08-12 13:00:00,854.0,-0.19083333333333335
3,25818,2007-08-12 22:00:00,854.0,-0.10833333333333332
3,25819,2007-08-12 23:00:00,854.0,0.01823529411764707
3,25834,2007-08-13 14:00:00,853.0,0.10875000000000001
3,25835,2007-08-13 15:00:00,853.0,0.2
3,25839,2007-08-13 19:00:00,853.0,0.012500000000000025
3,25842,2007-08-13 22:00:00,853.0,-0.08416666666666665
3,25844,2007-08-14 00:00:00,853.0,0.10277777777777779
3,25881,2007-08-15 13:00:00,851.0,0.11875
3,26228,2007-08-30 00:00:00,837.0,0.7150000000000001
3,26250,2007-08-30 22:00:00,836.0,0.10375152625152625
3,26251,2007-08-30 23:00:00,836.0,0.21666666666666665
3,26296,2007-09-01 20:00:00,834.0,0.0
3,26397,2007-09-06 01:00:00,829.0,0.07125
3,26398,2007-09-06 02:00:00,829.0,0.13611111111111113
3,26416,2007-09-06 20:00:00,829.0,0.13511029411764705
3,26430,2007-09-07 10:00:00,828.0,0.0
3,26771,2007-09-21 15:00:00,814.0,0.07785714285714285
3,26772,2007-09-21 16:00:00,814.0,-0.009848484848484846
3,26773,2007-09-21 17:00:00,814.0,0.09999999999999999
3,26778,2007-09-21 22:00:00,814.0,0.01767361111111111
3,26795,2007-09-22 15:00:00,813.0,0.0
3,27368,2007-10-16 12:00:00,789.0,-0.032692307692307694
3,27371,2007-10-16 15:00:00,789.0,0.10833333333333334
3,27393,2007-10-17 13:00:00,788.0,0.022727272727272728
3,27399,2007-10-17 19:00:00,788.0,0.23750000000000002
3,27415,2007-10-18 11:00:00,787.0,-0.15624999999999997
3,27445,2007-10-19 17:00:00,786.0,0.0
3,27490,2007-10-21 14:00:00,784.0,-0.02857142857142858
3,27493,2007-10-21 17:00:00,784.0,0.0
3,27511,2007-10-22 11:00:00,783.0,0.094
3,27560,2007-10-24 12:00:00,781.0,0.08250000000000002
3,27566,2007-10-24 18:00:00,781.0,0.11481481481481483
3,27567,2007-10-24 19:00:00,781.0,0.25
3,27593,2007-10-25 21:00:00,780.0,0.21666666666666667
3,27607,2007-10-26 11:00:00,779.0,0.0
3,27611,2007-10-26 15:00:00,779.0,0.2388888888888889
3,27620,2007-10-27 00:00:00,779.0,-0.009191919191919194
3,27632,2007-10-27 12:00:00,778.0,-0.00420087575259988
3,27690,2007-10-29 22:00:00,776.0,0.07948333333333336
3,27707,2007-10-30 15:00:00,775.0,-0.13333333333333333
3,28023,2007-11-12 19:00:00,762.0,0.032837301587301596
3,28123,2007-11-16 23:00:00,758.0,0.14375
3,28184,2007-11-19 12:00:00,755.0,0.05
3,28266,2007-11-22 22:00:00,752.0,0.18010416666666665
3,28290,2007-11-23 22:00:00,751.0,-0.06944444444444443
3,28303,2007-11-24 11:00:00,750.0,-0.016666666666666646
3,28764,2007-12-13 16:00:00,731.0,0.20625000000000002
3,28768,2007-12-13 20:00:00,731.0,0.025
3,28770,2007-12-13 22:00:00,731.0,0.3534722222222222
3,28911,2007-12-19 19:00:00,725.0,0.0
3,29770,2008-01-24 14:00:00,689.0,0.07138888888888889
3,29771,2008-01-24 15:00:00,689.0,-0.07954545454545453
3,29873,2008-01-28 21:00:00,685.0,-0.05625
3,29874,2008-01-28 22:00:00,685.0,0.125
3,30057,2008-02-05 13:00:00,677.0,-0.01875
3,31454,2008-04-03 18:00:00,619.0,0.0
3,31592,2008-04-09 12:00:00,613.0,0.05797101449275362
3,31602,2008-04-09 22:00:00,613.0,0.0
3,31626,2008-04-10 22:00:00,612.0,0.11583333333333332
3,32724,2008-05-26 16:00:00,566.0,0.028571428571428574
3,32766,2008-05-28 10:00:00,564.0,0.22923611111111108
3,32773,2008-05-28 17:00:00,564.0,0.0875
3,33367,2008-06-22 11:00:00,539.0,0.01333333333333333
3,33377,2008-06-22 21:00:00,539.0,0.13125
3,33378,2008-06-22 22:00:00,539.0,0.0
3,33416,2008-06-24 12:00:00,537.0,0.07287037037037038
3,33417,2008-06-24 13:00:00,537.0,0.027942386831275725
3,33419,2008-06-24 15:00:00,537.0,0.0
3,33420,2008-06-24 16:00:00,537.0,0.075
3,33425,2008-06-24 21:00:00,537.0,0.33252314814814815
3,33607,2008-07-02 11:00:00,529.0,0.0
3,33756,2008-07-08 16:00:00,523.0,0.025
3,34020,2008-07-19 16:00:00,512.0,0.1804938271604938
3,34473,2008-08-07 13:00:00,493.0,0.14416666666666664
3,34642,2008-08-14 14:00:00,486.0,0.08666666666666667
3,34665,2008-08-15 13:00:00,485.0,0.022222222222222216
3,34666,2008-08-15 14:00:00,485.0,0.21979166666666666
3,34667,2008-08-15 15:00:00,485.0,-0.075
3,34712,2008-08-17 12:00:00,483.0,-0.060925925925925925
3,34783,2008-08-20 11:00:00,480.0,0.0
