Included features&0&1&2\\
I&0.571 $\pm$ 0.035&0.551 $\pm$ 0.035&0.546 $\pm$ 0.020\\
T&0.516 $\pm$ 0.014&0.515 $\pm$ 0.008&0.509 $\pm$ 0.009\\
O&0.507 $\pm$ 0.014&0.505 $\pm$ 0.005&0.506 $\pm$ 0.009\\
T\_r&0.632 $\pm$ 0.021&0.634 $\pm$ 0.025&0.625 $\pm$ 0.011\\
O\_r&0.600 $\pm$ 0.046&0.603 $\pm$ 0.021&0.602 $\pm$ 0.013\\
I, T\_r&0.645 $\pm$ 0.039&0.639 $\pm$ 0.031&0.635 $\pm$ 0.017\\
I, O&0.580 $\pm$ 0.035&0.553 $\pm$ 0.034&0.547 $\pm$ 0.026\\
I, T&0.586 $\pm$ 0.032&0.557 $\pm$ 0.032&0.551 $\pm$ 0.025\\
I, O\_r&0.623 $\pm$ 0.047&0.618 $\pm$ 0.032&0.616 $\pm$ 0.016\\
O, T\_r&0.630 $\pm$ 0.033&0.630 $\pm$ 0.025&0.624 $\pm$ 0.018\\
O, T&0.516 $\pm$ 0.015&0.516 $\pm$ 0.012&0.511 $\pm$ 0.008\\
T\_r, T&0.631 $\pm$ 0.032&0.634 $\pm$ 0.022&0.624 $\pm$ 0.012\\
O\_r, T&0.611 $\pm$ 0.045&0.604 $\pm$ 0.022&0.607 $\pm$ 0.012\\
O\_r, O&0.606 $\pm$ 0.051&0.603 $\pm$ 0.021&0.604 $\pm$ 0.015\\
O\_r, T\_r&0.641 $\pm$ 0.030&0.646 $\pm$ 0.024&0.647 $\pm$ 0.019\\
I, O\_r, T\_r&0.666 $\pm$ 0.040&0.658 $\pm$ 0.028&0.659 $\pm$ 0.019\\
I, O, T\_r&0.650 $\pm$ 0.043&0.643 $\pm$ 0.033&0.635 $\pm$ 0.015\\
I, O, T&0.584 $\pm$ 0.031&0.559 $\pm$ 0.032&0.546 $\pm$ 0.027\\
I, T\_r, T&0.649 $\pm$ 0.041&0.642 $\pm$ 0.031&0.635 $\pm$ 0.014\\
I, O\_r, O&0.629 $\pm$ 0.047&0.617 $\pm$ 0.032&0.611 $\pm$ 0.017\\
I, O\_r, T&0.631 $\pm$ 0.047&0.622 $\pm$ 0.028&0.617 $\pm$ 0.017\\
O, T\_r, T&0.630 $\pm$ 0.033&0.630 $\pm$ 0.029&0.622 $\pm$ 0.013\\
O\_r, T\_r, T&0.635 $\pm$ 0.035&0.646 $\pm$ 0.024&0.643 $\pm$ 0.018\\
O\_r, O, T\_r&0.635 $\pm$ 0.030&0.645 $\pm$ 0.022&0.642 $\pm$ 0.018\\
O\_r, O, T&0.607 $\pm$ 0.045&0.605 $\pm$ 0.020&0.605 $\pm$ 0.010\\
I, O\_r, T\_r, T&0.668 $\pm$ 0.044&0.661 $\pm$ 0.026&0.659 $\pm$ 0.018\\
I, O\_r, O, T&0.629 $\pm$ 0.044&0.619 $\pm$ 0.027&0.617 $\pm$ 0.016\\
I, O, T\_r, T&0.651 $\pm$ 0.043&0.641 $\pm$ 0.032&0.634 $\pm$ 0.016\\
I, O\_r, O, T\_r&0.670 $\pm$ 0.044&0.658 $\pm$ 0.025&0.662 $\pm$ 0.019\\
O\_r, O, T\_r, T&0.633 $\pm$ 0.039&0.647 $\pm$ 0.025&0.641 $\pm$ 0.019\\
I, O\_r, O, T\_r, T&0.666 $\pm$ 0.045&0.661 $\pm$ 0.026&0.659 $\pm$ 0.019\\
\\
