Included features&values&Churn in 1 month&Churn in 2 months&Churn in 3 months\\
((3, 11))&AUC&0.638 $\pm$ 0.040&0.611 $\pm$ 0.032&0.572 $\pm$ 0.017\\
((3, 11))&learning\_rate&0.05&0.05&0.05\\
((3, 11))&n\_estimators&800&800&800\\
((3, 11))&max\_depth&4&4&4\\
((13, 14))&AUC&0.659 $\pm$ 0.042&0.656 $\pm$ 0.018&0.688 $\pm$ 0.017\\
((13, 14))&learning\_rate&0.2&0.2&0.2\\
((13, 14))&n\_estimators&800&800&800\\
((13, 14))&max\_depth&8&8&8\\
((6, 7))&AUC&0.509 $\pm$ 0.014&0.508 $\pm$ 0.011&0.510 $\pm$ 0.007\\
((6, 7))&learning\_rate&0.2&0.05&0.1\\
((6, 7))&n\_estimators&800&800&800\\
((6, 7))&max\_depth&6&8&4\\
((9, 10, 12))&AUC&0.708 $\pm$ 0.030&0.730 $\pm$ 0.016&0.731 $\pm$ 0.007\\
((9, 10, 12))&learning\_rate&0.1&0.2&0.2\\
((9, 10, 12))&n\_estimators&800&800&800\\
((9, 10, 12))&max\_depth&6&8&8\\
((4, 5, 8))&AUC&0.518 $\pm$ 0.022&0.518 $\pm$ 0.017&0.516 $\pm$ 0.008\\
((4, 5, 8))&learning\_rate&0.05&0.1&0.05\\
((4, 5, 8))&n\_estimators&800&800&800\\
((4, 5, 8))&max\_depth&4&4&4\\
((3, 11), (13, 14))&AUC&0.750 $\pm$ 0.034&0.718 $\pm$ 0.017&0.685 $\pm$ 0.024\\
((3, 11), (13, 14))&learning\_rate&0.05&0.05&0.2\\
((3, 11), (13, 14))&n\_estimators&800&800&800\\
((3, 11), (13, 14))&max\_depth&8&8&8\\
((3, 11), (6, 7))&AUC&0.635 $\pm$ 0.040&0.571 $\pm$ 0.031&0.583 $\pm$ 0.025\\
((3, 11), (6, 7))&learning\_rate&0.05&0.05&0.05\\
((3, 11), (6, 7))&n\_estimators&800&800&800\\
((3, 11), (6, 7))&max\_depth&4&4&4\\
((3, 11), (9, 10, 12))&AUC&0.729 $\pm$ 0.046&0.753 $\pm$ 0.012&0.756 $\pm$ 0.012\\
((3, 11), (9, 10, 12))&learning\_rate&0.05&0.1&0.2\\
((3, 11), (9, 10, 12))&n\_estimators&800&800&800\\
((3, 11), (9, 10, 12))&max\_depth&6&6&6\\
((3, 11), (4, 5, 8))&AUC&0.633 $\pm$ 0.052&0.595 $\pm$ 0.035&0.584 $\pm$ 0.018\\
((3, 11), (4, 5, 8))&learning\_rate&0.05&0.05&0.05\\
((3, 11), (4, 5, 8))&n\_estimators&800&800&800\\
((3, 11), (4, 5, 8))&max\_depth&4&4&4\\
((13, 14), (6, 7))&AUC&0.629 $\pm$ 0.041&0.697 $\pm$ 0.020&0.677 $\pm$ 0.020\\
((13, 14), (6, 7))&learning\_rate&0.2&0.2&0.2\\
((13, 14), (6, 7))&n\_estimators&800&800&800\\
((13, 14), (6, 7))&max\_depth&8&8&8\\
((13, 14), (9, 10, 12))&AUC&0.783 $\pm$ 0.024&0.750 $\pm$ 0.016&0.750 $\pm$ 0.016\\
((13, 14), (9, 10, 12))&learning\_rate&0.2&0.1&0.2\\
((13, 14), (9, 10, 12))&n\_estimators&800&800&800\\
((13, 14), (9, 10, 12))&max\_depth&8&8&8\\
((13, 14), (4, 5, 8))&AUC&0.649 $\pm$ 0.046&0.707 $\pm$ 0.021&0.689 $\pm$ 0.016\\
((13, 14), (4, 5, 8))&learning\_rate&0.2&0.2&0.2\\
((13, 14), (4, 5, 8))&n\_estimators&800&800&800\\
((13, 14), (4, 5, 8))&max\_depth&8&8&8\\
((6, 7), (9, 10, 12))&AUC&0.739 $\pm$ 0.026&0.718 $\pm$ 0.022&0.728 $\pm$ 0.013\\
((6, 7), (9, 10, 12))&learning\_rate&0.1&0.2&0.2\\
((6, 7), (9, 10, 12))&n\_estimators&800&800&800\\
((6, 7), (9, 10, 12))&max\_depth&8&8&8\\
((6, 7), (4, 5, 8))&AUC&0.505 $\pm$ 0.027&0.511 $\pm$ 0.018&0.522 $\pm$ 0.010\\
((6, 7), (4, 5, 8))&learning\_rate&0.05&0.05&0.05\\
((6, 7), (4, 5, 8))&n\_estimators&800&800&800\\
((6, 7), (4, 5, 8))&max\_depth&8&4&6\\
((9, 10, 12), (4, 5, 8))&AUC&0.746 $\pm$ 0.028&0.717 $\pm$ 0.015&0.725 $\pm$ 0.015\\
((9, 10, 12), (4, 5, 8))&learning\_rate&0.2&0.2&0.2\\
((9, 10, 12), (4, 5, 8))&n\_estimators&800&800&800\\
((9, 10, 12), (4, 5, 8))&max\_depth&8&8&8\\
((3, 11), (13, 14), (6, 7))&AUC&0.715 $\pm$ 0.032&0.707 $\pm$ 0.020&0.700 $\pm$ 0.018\\
((3, 11), (13, 14), (6, 7))&learning\_rate&0.05&0.2&0.2\\
((3, 11), (13, 14), (6, 7))&n\_estimators&800&800&800\\
((3, 11), (13, 14), (6, 7))&max\_depth&8&6&8\\
((3, 11), (13, 14), (9, 10, 12))&AUC&0.795 $\pm$ 0.032&0.782 $\pm$ 0.024&0.783 $\pm$ 0.019\\
((3, 11), (13, 14), (9, 10, 12))&learning\_rate&0.05&0.1&0.1\\
((3, 11), (13, 14), (9, 10, 12))&n\_estimators&800&800&800\\
((3, 11), (13, 14), (9, 10, 12))&max\_depth&6&8&8\\
((3, 11), (13, 14), (4, 5, 8))&AUC&0.735 $\pm$ 0.037&0.678 $\pm$ 0.032&0.690 $\pm$ 0.019\\
((3, 11), (13, 14), (4, 5, 8))&learning\_rate&0.05&0.2&0.2\\
((3, 11), (13, 14), (4, 5, 8))&n\_estimators&800&800&800\\
((3, 11), (13, 14), (4, 5, 8))&max\_depth&8&6&8\\
((3, 11), (6, 7), (9, 10, 12))&AUC&0.786 $\pm$ 0.037&0.745 $\pm$ 0.026&0.741 $\pm$ 0.021\\
((3, 11), (6, 7), (9, 10, 12))&learning\_rate&0.05&0.1&0.1\\
((3, 11), (6, 7), (9, 10, 12))&n\_estimators&800&800&800\\
((3, 11), (6, 7), (9, 10, 12))&max\_depth&8&8&8\\
((3, 11), (6, 7), (4, 5, 8))&AUC&0.571 $\pm$ 0.043&0.571 $\pm$ 0.031&0.578 $\pm$ 0.032\\
((3, 11), (6, 7), (4, 5, 8))&learning\_rate&0.05&0.05&0.05\\
((3, 11), (6, 7), (4, 5, 8))&n\_estimators&800&800&800\\
((3, 11), (6, 7), (4, 5, 8))&max\_depth&4&4&4\\
((3, 11), (9, 10, 12), (4, 5, 8))&AUC&0.764 $\pm$ 0.039&0.769 $\pm$ 0.028&0.726 $\pm$ 0.016\\
((3, 11), (9, 10, 12), (4, 5, 8))&learning\_rate&0.1&0.1&0.2\\
((3, 11), (9, 10, 12), (4, 5, 8))&n\_estimators&800&800&800\\
((3, 11), (9, 10, 12), (4, 5, 8))&max\_depth&8&8&6\\
((13, 14), (6, 7), (9, 10, 12))&AUC&0.750 $\pm$ 0.050&0.750 $\pm$ 0.025&0.759 $\pm$ 0.026\\
((13, 14), (6, 7), (9, 10, 12))&learning\_rate&0.1&0.2&0.2\\
((13, 14), (6, 7), (9, 10, 12))&n\_estimators&800&800&800\\
((13, 14), (6, 7), (9, 10, 12))&max\_depth&6&6&8\\
((13, 14), (6, 7), (4, 5, 8))&AUC&0.690 $\pm$ 0.029&0.670 $\pm$ 0.019&0.698 $\pm$ 0.019\\
((13, 14), (6, 7), (4, 5, 8))&learning\_rate&0.2&0.2&0.2\\
((13, 14), (6, 7), (4, 5, 8))&n\_estimators&800&800&800\\
((13, 14), (6, 7), (4, 5, 8))&max\_depth&8&6&8\\
((13, 14), (9, 10, 12), (4, 5, 8))&AUC&0.725 $\pm$ 0.047&0.750 $\pm$ 0.029&0.743 $\pm$ 0.012\\
((13, 14), (9, 10, 12), (4, 5, 8))&learning\_rate&0.05&0.1&0.2\\
((13, 14), (9, 10, 12), (4, 5, 8))&n\_estimators&800&800&800\\
((13, 14), (9, 10, 12), (4, 5, 8))&max\_depth&8&8&8\\
((6, 7), (9, 10, 12), (4, 5, 8))&AUC&0.710 $\pm$ 0.039&0.713 $\pm$ 0.030&0.731 $\pm$ 0.011\\
((6, 7), (9, 10, 12), (4, 5, 8))&learning\_rate&0.1&0.2&0.2\\
((6, 7), (9, 10, 12), (4, 5, 8))&n\_estimators&800&800&800\\
((6, 7), (9, 10, 12), (4, 5, 8))&max\_depth&8&8&8\\
((3, 11), (13, 14), (6, 7), (9, 10, 12))&AUC&0.784 $\pm$ 0.032&0.792 $\pm$ 0.033&0.755 $\pm$ 0.016\\
((3, 11), (13, 14), (6, 7), (9, 10, 12))&learning\_rate&0.05&0.1&0.1\\
((3, 11), (13, 14), (6, 7), (9, 10, 12))&n\_estimators&800&800&800\\
((3, 11), (13, 14), (6, 7), (9, 10, 12))&max\_depth&6&8&8\\
((3, 11), (13, 14), (6, 7), (4, 5, 8))&AUC&0.674 $\pm$ 0.041&0.705 $\pm$ 0.024&0.711 $\pm$ 0.021\\
((3, 11), (13, 14), (6, 7), (4, 5, 8))&learning\_rate&0.1&0.2&0.2\\
((3, 11), (13, 14), (6, 7), (4, 5, 8))&n\_estimators&800&800&800\\
((3, 11), (13, 14), (6, 7), (4, 5, 8))&max\_depth&6&6&8\\
((3, 11), (13, 14), (9, 10, 12), (4, 5, 8))&AUC&0.800 $\pm$ 0.026&0.772 $\pm$ 0.022&0.769 $\pm$ 0.016\\
((3, 11), (13, 14), (9, 10, 12), (4, 5, 8))&learning\\_rate&0.05&0.1&0.1\\
((3, 11), (13, 14), (9, 10, 12), (4, 5, 8))&n\_estimators&800&800&800\\
((3, 11), (13, 14), (9, 10, 12), (4, 5, 8))&max\_depth&8&8&8\\
((3, 11), (6, 7), (9, 10, 12), (4, 5, 8))&AUC&0.758 $\pm$ 0.046&0.746 $\pm$ 0.020&0.731 $\pm$ 0.015\\
