Churn in 1 months&Churn in 2 months&Churn in 3 months&Values\\
((3, 11))&AUC & 0.546 $\pm$ 0.024&0.540 $\pm$ 0.010&0.541 $\pm$ 0.008\\
((13, 14))&AUC & 0.563 $\pm$ 0.021&0.560 $\pm$ 0.013&0.565 $\pm$ 0.011\\
((6, 7))&AUC & 0.498 $\pm$ 0.011&0.506 $\pm$ 0.009&0.511 $\pm$ 0.006\\
((9, 10, 12))&AUC & 0.593 $\pm$ 0.017&0.573 $\pm$ 0.019&0.566 $\pm$ 0.011\\
((4, 5, 8))&AUC & 0.518 $\pm$ 0.009&0.514 $\pm$ 0.007&0.517 $\pm$ 0.006\\
((3, 11), (13, 14))&AUC & 0.592 $\pm$ 0.010&0.585 $\pm$ 0.012&0.588 $\pm$ 0.009\\
((3, 11), (6, 7))&AUC & 0.540 $\pm$ 0.012&0.550 $\pm$ 0.013&0.559 $\pm$ 0.009\\
((3, 11), (9, 10, 12))&AUC & 0.615 $\pm$ 0.022&0.594 $\pm$ 0.013&0.600 $\pm$ 0.012\\
((3, 11), (4, 5, 8))&AUC & 0.550 $\pm$ 0.018&0.551 $\pm$ 0.014&0.552 $\pm$ 0.009\\
((13, 14), (6, 7))&AUC & 0.560 $\pm$ 0.022&0.556 $\pm$ 0.017&0.567 $\pm$ 0.011\\
((13, 14), (9, 10, 12))&AUC & 0.604 $\pm$ 0.023&0.578 $\pm$ 0.012&0.587 $\pm$ 0.012\\
((13, 14), (4, 5, 8))&AUC & 0.584 $\pm$ 0.018&0.562 $\pm$ 0.011&0.569 $\pm$ 0.009\\
((6, 7), (9, 10, 12))&AUC & 0.595 $\pm$ 0.026&0.566 $\pm$ 0.012&0.577 $\pm$ 0.007\\
((6, 7), (4, 5, 8))&AUC & 0.518 $\pm$ 0.008&0.512 $\pm$ 0.004&0.521 $\pm$ 0.005\\
((9, 10, 12), (4, 5, 8))&AUC & 0.585 $\pm$ 0.009&0.574 $\pm$ 0.014&0.572 $\pm$ 0.007\\
((3, 11), (13, 14), (6, 7))&AUC & 0.593 $\pm$ 0.019&0.586 $\pm$ 0.009&0.583 $\pm$ 0.011\\
((3, 11), (13, 14), (9, 10, 12))&AUC & 0.628 $\pm$ 0.021&0.616 $\pm$ 0.010&0.609 $\pm$ 0.014\\
((3, 11), (13, 14), (4, 5, 8))&AUC & 0.601 $\pm$ 0.027&0.595 $\pm$ 0.014&0.591 $\pm$ 0.008\\
((3, 11), (6, 7), (9, 10, 12))&AUC & 0.628 $\pm$ 0.020&0.599 $\pm$ 0.014&0.607 $\pm$ 0.011\\
((3, 11), (6, 7), (4, 5, 8))&AUC & 0.547 $\pm$ 0.021&0.541 $\pm$ 0.015&0.565 $\pm$ 0.007\\
((3, 11), (9, 10, 12), (4, 5, 8))&AUC & 0.612 $\pm$ 0.015&0.605 $\pm$ 0.017&0.601 $\pm$ 0.010\\
((13, 14), (6, 7), (9, 10, 12))&AUC & 0.592 $\pm$ 0.024&0.580 $\pm$ 0.016&0.590 $\pm$ 0.008\\
((13, 14), (6, 7), (4, 5, 8))&AUC & 0.578 $\pm$ 0.020&0.565 $\pm$ 0.016&0.562 $\pm$ 0.008\\
((13, 14), (9, 10, 12), (4, 5, 8))&AUC & 0.609 $\pm$ 0.017&0.590 $\pm$ 0.009&0.585 $\pm$ 0.008\\
((6, 7), (9, 10, 12), (4, 5, 8))&AUC & 0.581 $\pm$ 0.025&0.570 $\pm$ 0.012&0.577 $\pm$ 0.014\\
((3, 11), (13, 14), (6, 7), (9, 10, 12))&AUC & 0.631 $\pm$ 0.026&0.609 $\pm$ 0.012&0.613 $\pm$ 0.006\\
((3, 11), (13, 14), (6, 7), (4, 5, 8))&AUC & 0.591 $\pm$ 0.024&0.602 $\pm$ 0.011&0.585 $\pm$ 0.008\\
((3, 11), (13, 14), (9, 10, 12), (4, 5, 8))&AUC & 0.632 $\pm$ 0.022&0.609 $\pm$ 0.014&0.612 $\pm$ 0.012\\
((3, 11), (6, 7), (9, 10, 12), (4, 5, 8))&AUC & 0.612 $\pm$ 0.026&0.601 $\pm$ 0.008&0.596 $\pm$ 0.011\\
((13, 14), (6, 7), (9, 10, 12), (4, 5, 8))&AUC & 0.609 $\pm$ 0.024&0.587 $\pm$ 0.016&0.588 $\pm$ 0.009\\
((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8))&AUC & 0.628 $\pm$ 0.041&0.598 $\pm$ 0.017&0.613 $\pm$ 0.010\\






























































