Date & Time,ETD
2012-04-04 16:00:00,1925.0
2012-04-04 21:00:00,1925.0
2012-04-25 14:00:00,1904.0
2012-04-25 17:00:00,1904.0
2012-05-08 17:00:00,1891.0
2012-05-08 21:00:00,1891.0
2012-05-10 11:00:00,1890.0
2012-05-11 17:00:00,1888.0
2012-05-16 17:00:00,1883.0
2012-05-16 20:00:00,1883.0
2012-06-14 15:00:00,1854.0
2012-06-14 16:00:00,1854.0
2012-06-16 10:00:00,1853.0
2012-06-16 16:00:00,1852.0
2012-06-17 11:00:00,1852.0
2012-06-28 15:00:00,1840.0
2012-06-29 12:00:00,1839.0
2012-07-10 10:00:00,1829.0
2012-07-10 16:00:00,1828.0
2012-07-14 16:00:00,1824.0
2012-09-02 16:00:00,1774.0
2012-09-09 11:00:00,1768.0
2012-09-17 16:00:00,1759.0
2012-09-18 11:00:00,1759.0
2012-09-21 16:00:00,1755.0
2013-01-01 18:00:00,1653.0
2013-01-03 17:00:00,1651.0
2013-01-28 17:00:00,1626.0
2013-01-30 10:00:00,1625.0
2013-01-30 11:00:00,1625.0
2013-03-20 11:00:00,1576.0
2013-03-28 09:00:00,1568.0
2013-04-04 16:00:00,1560.0
2013-04-17 17:00:00,1547.0
2013-04-24 12:00:00,1540.0
2013-05-08 13:00:00,1526.0
2013-05-08 18:00:00,1526.0
2013-05-12 15:00:00,1522.0
2013-05-12 17:00:00,1522.0
2013-05-14 11:00:00,1521.0
2013-05-17 18:00:00,1517.0
2013-05-21 12:00:00,1513.0
2013-05-23 12:00:00,1511.0
2013-05-23 13:00:00,1511.0
2013-05-24 11:00:00,1511.0
2013-05-25 09:00:00,1510.0
2013-05-26 17:00:00,1508.0
2013-05-28 09:00:00,1507.0
2013-06-09 12:00:00,1494.0
2013-08-02 15:00:00,1440.0
2014-06-19 17:00:00,1119.0
2015-01-28 09:00:00,897.0
2015-01-29 10:00:00,896.0
2015-01-30 11:00:00,895.0
2015-02-10 10:00:00,884.0
2015-02-11 09:00:00,883.0
2015-03-20 17:00:00,845.0
2015-03-23 18:00:00,842.0
