Date & Time,ETD
2009-04-13 23:00:00,899.0
2009-04-17 12:00:00,895.0
2009-04-22 17:00:00,890.0
2009-04-27 16:00:00,885.0
2009-04-27 17:00:00,885.0
2009-04-28 18:00:00,884.0
2009-04-30 13:00:00,882.0
2009-05-03 22:00:00,879.0
2009-05-18 09:00:00,864.0
2009-05-24 22:00:00,858.0
2009-05-27 14:00:00,855.0
2009-06-03 21:00:00,848.0
2009-06-05 09:00:00,846.0
2009-06-10 13:00:00,841.0
2009-06-15 22:00:00,836.0
2009-06-17 22:00:00,834.0
2009-06-23 19:00:00,828.0
2009-06-23 22:00:00,828.0
2009-06-30 14:00:00,821.0
2009-07-03 18:00:00,818.0
2009-07-07 22:00:00,814.0
2009-07-10 20:00:00,811.0
2009-07-13 22:00:00,808.0
2009-07-14 17:00:00,807.0
2009-07-15 14:00:00,806.0
2009-08-02 12:00:00,788.0
2009-08-03 09:00:00,787.0
2009-08-03 21:00:00,787.0
2009-08-04 12:00:00,786.0
2009-08-11 21:00:00,779.0
2009-08-14 14:00:00,776.0
2009-08-18 14:00:00,772.0
2009-08-20 22:00:00,770.0
2009-08-22 23:00:00,768.0
2009-09-01 23:00:00,758.0
2009-09-04 22:00:00,755.0
2009-09-26 18:00:00,733.0
2009-09-28 23:00:00,731.0
2009-09-29 20:00:00,730.0
2009-10-13 22:00:00,716.0
2009-10-26 19:00:00,703.0
2009-10-27 14:00:00,702.0
2009-11-14 14:00:00,684.0
2009-11-16 19:00:00,682.0
2009-11-24 09:00:00,674.0
2009-11-24 21:00:00,674.0
