Date & Time,Inactivity,Over past 30 days
2005-05-06 04:00:00,1,46.06666666666667
2005-05-07 04:00:00,2,42.53333333333333
2005-05-08 04:00:00,0,38.9
2005-05-09 04:00:00,1,35.266666666666666
2005-05-10 04:00:00,0,31.566666666666666
2005-05-11 04:00:00,1,27.866666666666667
2005-05-12 04:00:00,0,24.1
2005-05-13 04:00:00,0,20.3
2005-05-14 04:00:00,1,16.5
2005-05-15 04:00:00,0,12.633333333333333
2005-05-16 04:00:00,0,8.733333333333333
2005-05-17 04:00:00,0,4.8
2005-05-18 04:00:00,1,0.8666666666666667
2005-05-19 04:00:00,2,0.9333333333333333
2005-05-20 04:00:00,0,0.9333333333333333
2005-05-21 04:00:00,1,0.9666666666666667
2005-05-22 04:00:00,2,1.0333333333333334
2005-05-23 04:00:00,0,1.0
2005-05-24 04:00:00,0,0.9333333333333333
2005-05-25 04:00:00,1,0.9666666666666667
2005-05-26 04:00:00,2,1.0333333333333334
2005-05-27 04:00:00,0,1.0333333333333334
2005-05-28 04:00:00,1,1.0333333333333334
2005-05-29 04:00:00,0,1.0333333333333334
2005-05-30 04:00:00,0,1.0
2005-05-31 04:00:00,1,1.0
2005-06-01 04:00:00,0,0.9354838709677419
2005-06-02 04:00:00,0,0.8387096774193549
2005-06-03 04:00:00,0,0.7096774193548387
2005-06-04 04:00:00,1,0.5806451612903226
2005-06-05 04:00:00,2,0.6451612903225806
2005-06-06 04:00:00,3,0.7096774193548387
2005-06-07 04:00:00,4,0.7741935483870968
2005-06-08 04:00:00,5,0.9354838709677419
2005-06-09 04:00:00,6,1.096774193548387
2005-06-10 04:00:00,7,1.3225806451612903
2005-06-11 04:00:00,0,1.2903225806451613
2005-06-12 04:00:00,0,1.2903225806451613
2005-06-13 04:00:00,1,1.3225806451612903
2005-06-14 04:00:00,0,1.2903225806451613
2005-06-15 04:00:00,1,1.3225806451612903
2005-06-16 04:00:00,0,1.3225806451612903
2005-06-17 04:00:00,0,1.3225806451612903
2005-06-18 04:00:00,0,1.2903225806451613
2005-06-19 04:00:00,1,1.2580645161290323
2005-06-20 04:00:00,0,1.2580645161290323
2005-06-21 04:00:00,1,1.2580645161290323
2005-06-22 04:00:00,0,1.1935483870967742
2005-06-23 04:00:00,0,1.1935483870967742
2005-06-24 04:00:00,0,1.1935483870967742
2005-06-25 04:00:00,0,1.1612903225806452
2005-06-26 04:00:00,0,1.096774193548387
2005-06-27 04:00:00,1,1.1290322580645162
2005-06-28 04:00:00,0,1.096774193548387
2005-06-29 04:00:00,0,1.096774193548387
2005-06-30 04:00:00,1,1.1290322580645162
2005-07-01 04:00:00,0,1.1333333333333333
2005-07-02 04:00:00,0,1.1333333333333333
2005-07-03 04:00:00,0,1.1333333333333333
2005-07-04 04:00:00,0,1.1
2005-07-05 04:00:00,0,1.0333333333333334
2005-07-06 04:00:00,0,0.9333333333333333
2005-07-07 04:00:00,1,0.8333333333333334
2005-07-08 04:00:00,0,0.6666666666666666
2005-07-09 04:00:00,1,0.5
2005-07-10 04:00:00,0,0.26666666666666666
2005-07-11 04:00:00,1,0.3
